Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,22703.203,0.044046648,0.03555,0.05029045,0.06292969
Aktualizacja (Update),1,2,15310.685,0.13025548,0.072077,0.105672054,0.17377038
Aktualizacja (Update),1,4,12650.468,0.31314194,0.16909,0.292362,0.5026608
Aktualizacja (Update),1,8,8042.1045,0.98114246,0.55071,0.7902035,16.40851
Aktualizacja (Update),2,1,22204.496,0.045035925,0.036318,0.051404048,0.06341701
Aktualizacja (Update),2,2,22938.191,0.08718893,0.072147,0.09750445,0.1272537
Aktualizacja (Update),2,4,18141.906,0.21993296,0.178517,0.22901745,0.32539842
Aktualizacja (Update),2,8,13148.689,0.60117376,0.526124,0.66092,1.0583988
Aktualizacja (Update),4,1,21044.223,0.047518983,0.037365,0.05336,0.069144696
Aktualizacja (Update),4,2,22467.568,0.088946514,0.072636,0.098268,0.13682449
Aktualizacja (Update),4,4,15558.411,0.25707144,0.180612,0.23865099,0.36164647
Aktualizacja (Update),4,8,12975.771,0.6133372,0.539881,0.70373,1.0612011
Odczyt (Read),1,1,70818.32,0.014120639,0.012782,0.02228,0.0350617
Odczyt (Read),1,2,43121.258,0.04286088,0.024235,0.0535,0.07668869
Odczyt (Read),1,4,34492.4,0.10982269,0.037226,0.112587,0.17251408
Odczyt (Read),1,8,11922.437,0.65375304,0.173559,0.44064146,0.7286056
Odczyt (Read),2,1,70870.35,0.014110272,0.012782,0.02235,0.03429369
Odczyt (Read),2,2,77248.86,0.025767468,0.023607,0.049169,0.063417
Odczyt (Read),2,4,66298.484,0.06004539,0.043931,0.112446,0.1565877
Odczyt (Read),2,8,22958.541,0.3385913,0.1909495,0.437214,0.6280299
Odczyt (Read),4,1,70187.336,0.014247583,0.012851,0.022838,0.033873998
Odczyt (Read),4,2,78757.06,0.024990119,0.022489,0.04972705,0.06530369
Odczyt (Read),4,4,80396.26,0.049385887,0.042883,0.108325,0.14757769
Odczyt (Read),4,8,38170.633,0.20641302,0.184802,0.409764,0.53429437
Usuwanie (Delete),1,1,31322.258,0.031926177,0.026191,0.03897645,0.058809802
Usuwanie (Delete),1,2,19563.7,0.09829454,0.05762,0.094776,0.13619651
Usuwanie (Delete),1,4,15669.508,0.24732627,0.133889,0.206525,0.3525688
Usuwanie (Delete),1,8,10738.051,0.7389301,0.39904648,0.631098,11.082817
Usuwanie (Delete),2,1,31038.871,0.032217667,0.02661,0.039531,0.0581804
Usuwanie (Delete),2,2,29450.334,0.06784209,0.058249,0.089678,0.118801996
Usuwanie (Delete),2,4,26682.36,0.14977579,0.131933,0.17754,0.2416557
Usuwanie (Delete),2,8,18019.371,0.43789518,0.36374,0.596944,0.82526207
Usuwanie (Delete),4,1,30984.803,0.032273885,0.026331,0.039601,0.0581797
Usuwanie (Delete),4,2,31485.555,0.063370705,0.054477,0.085068,0.113494694
Usuwanie (Delete),4,4,27495.805,0.14437151,0.127602,0.173558,0.2332737
Usuwanie (Delete),4,8,18368.871,0.43341073,0.369465,0.5621635,0.662174
Zapis (Insert),1,1,29555.414,0.033834748,0.027658,0.043791,0.059157
Zapis (Insert),1,2,19287.156,0.10354822,0.06209,0.097221,0.147578
Zapis (Insert),1,4,15484.77,0.25683138,0.154981,0.24486804,0.3956635
Zapis (Insert),1,8,9385.354,0.83088964,0.554621,0.89161205,11.697205
Zapis (Insert),2,1,28200.277,0.035460643,0.027902499,0.043231998,0.057694193
Zapis (Insert),2,2,27936.041,0.07147972,0.061112,0.09100845,0.1181054
Zapis (Insert),2,4,21197.64,0.18829127,0.157984,0.234112,0.31890407
Zapis (Insert),2,8,12375.528,0.64152825,0.578925,0.90055007,1.1617674
Zapis (Insert),4,1,29728.908,0.033637293,0.027728,0.043023,0.057270013
Zapis (Insert),4,2,27376.98,0.07303956,0.06202,0.091494,0.115728
Zapis (Insert),4,4,22757.162,0.17402673,0.1504055,0.21239,0.2908244
Zapis (Insert),4,8,13159.786,0.59582245,0.529683,0.8163195,1.0383447
