Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,133266.67,0.007503751,0.006705,0.011314,0.017042
Aktualizacja (Update),1,2,74492.41,0.026558254,0.010965,0.030102,0.04092701
Aktualizacja (Update),1,4,51517.38,0.0766788,0.02186,0.058317,0.083531
Aktualizacja (Update),1,8,31089.035,0.25032622,0.045812,0.1197,0.184092
Aktualizacja (Update),2,1,135452.17,0.0073826793,0.006704,0.011035,0.016552
Aktualizacja (Update),2,2,142009.12,0.013898902,0.010686,0.028147,0.034572
Aktualizacja (Update),2,4,106129.65,0.03709682,0.021372,0.05713,0.07997
Aktualizacja (Update),2,8,66260.98,0.11791584,0.04456,0.113074,0.160567
Aktualizacja (Update),4,1,133829.08,0.007472218,0.0067050005,0.011105,0.016622
Aktualizacja (Update),4,2,140984.7,0.013949807,0.010826,0.027588,0.034642
Aktualizacja (Update),4,4,156269.3,0.025194926,0.021162,0.055106,0.074452
Aktualizacja (Update),4,8,131003.3,0.060134273,0.046375,0.11538,0.158332
Odczyt (Read),1,1,252827.56,0.003955265,0.003422,0.006216,0.011664
Odczyt (Read),1,2,158187.17,0.010729756,0.003842,0.009498,0.023327
Odczyt (Read),1,4,131933.27,0.027573027,0.005727,0.019486,0.04525869
Odczyt (Read),1,8,63955.676,0.11439711,0.012431,0.055798,0.107266
Odczyt (Read),2,1,251856.48,0.003970515,0.003701,0.006356,0.00873
Odczyt (Read),2,2,400894.12,0.0049585793,0.003841,0.008171,0.021232689
Odczyt (Read),2,4,263787.8,0.014040066,0.005727,0.018438,0.042814
Odczyt (Read),2,8,148911.5,0.051988408,0.011524,0.046654,0.086604
Odczyt (Read),4,1,253264.0,0.003948449,0.0034220002,0.006565,0.00894
Odczyt (Read),4,2,386502.22,0.005150403,0.0038420004,0.008242,0.021372
Odczyt (Read),4,4,548548.0,0.0072534992,0.0053780004,0.017601,0.041556
Odczyt (Read),4,8,289209.03,0.026513614,0.011874,0.040439,0.083881
Usuwanie (Delete),1,1,112547.48,0.00888514,0.007333,0.012432,0.01767
Usuwanie (Delete),1,2,58736.28,0.032939196,0.019067,0.038273,0.053499
Usuwanie (Delete),1,4,40563.016,0.095757365,0.030311,0.077384,0.111607
Usuwanie (Delete),1,8,24701.295,0.31524342,0.063693,0.163143,0.26168668
Usuwanie (Delete),2,1,112134.11,0.008917893,0.0075430004,0.012083,0.017391
Usuwanie (Delete),2,2,98328.086,0.020172939,0.019136,0.036737,0.04868
Usuwanie (Delete),2,4,83966.65,0.047103927,0.030241,0.07529,0.104553
Usuwanie (Delete),2,8,52071.324,0.14961961,0.061531,0.151208,0.219933
Usuwanie (Delete),4,1,109506.305,0.009131894,0.007613,0.012641,0.01767
Usuwanie (Delete),4,2,96380.96,0.02054333,0.019556,0.037087,0.049029
Usuwanie (Delete),4,4,107950.73,0.03641676,0.030801,0.074382,0.099386
Usuwanie (Delete),4,8,103929.44,0.07622684,0.063976,0.153304,0.20813
Zapis (Insert),1,1,105234.44,0.0095025925,0.006774,0.02242,0.031709
Zapis (Insert),1,2,59261.51,0.03326692,0.016203,0.04428,0.070681
Zapis (Insert),1,4,42013.332,0.09082248,0.026261,0.082483,0.13528469
Zapis (Insert),1,8,26915.846,0.28935972,0.055803,0.201773,0.39292926
Zapis (Insert),2,1,110010.67,0.009090027,0.006705,0.022071,0.029474
Zapis (Insert),2,2,97679.3,0.020376371,0.01767,0.042045,0.064604
Zapis (Insert),2,4,82597.664,0.047266904,0.028075999,0.085277,0.136053
Zapis (Insert),2,8,55583.684,0.14127672,0.056293,0.195628,0.356195
Zapis (Insert),4,1,110511.01,0.009048872,0.0067050005,0.021861,0.029054001
Zapis (Insert),4,2,96003.75,0.020628516,0.01788,0.042534,0.065792
Zapis (Insert),4,4,105677.25,0.037749056,0.028564999,0.084369,0.131024
Zapis (Insert),4,8,101904.945,0.07744403,0.055943,0.190111,0.335243
