Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Aktualizacja (Update),1,1,88.1475,733.475,0.0,2048.0,4
Aktualizacja (Update),1,2,95.793,791.99,0.0,4096.0,10
Aktualizacja (Update),1,4,101.57285714285716,917.3357142857144,0.0,18432.0,28
Aktualizacja (Update),1,8,100.88828571428571,1178.0211428571429,493.7,21504.0,70
Aktualizacja (Update),2,1,97.76,693.525,0.0,1433.6000000000058,4
Aktualizacja (Update),2,2,145.52857142857144,745.1142857142858,1.0,5120.0,7
Aktualizacja (Update),2,4,115.56217391304348,864.9260869565217,0.0,10240.0,23
Aktualizacja (Update),2,8,147.7046,1014.14552,1566.7200000000005,21504.0,50
Aktualizacja (Update),4,1,22.854285714285712,704.2214285714286,0.1000000000000014,4096.0,14
Aktualizacja (Update),4,2,154.96428571428572,751.1285714285714,0.0999999999999978,5120.0,7
Aktualizacja (Update),4,4,147.25052631578947,868.5052631578947,0.0999999999999978,10240.0,19
Aktualizacja (Update),4,8,127.50482142857145,1127.238,894.24,22528.0,56
Odczyt (Read),1,1,95.475,728.2,0.0,0.0,2
Odczyt (Read),1,2,101.2125,756.725,0.0,0.0,4
Odczyt (Read),1,4,101.36111111111111,842.9333333333333,0.0,0.0,9
Odczyt (Read),1,8,102.48394736842106,1080.8267368421052,0.0,6144.0,38
Odczyt (Read),2,1,111.935,680.95,0.0,0.0,2
Odczyt (Read),2,2,181.34,697.1500000000001,0.0,0.0,2
Odczyt (Read),2,4,204.028,803.32,0.0,1024.0,5
Odczyt (Read),2,8,206.0723076923077,962.1076923076924,3231.24,0.0,13
Odczyt (Read),4,1,103.9,686.15,0.0,0.0,2
Odczyt (Read),4,2,209.42,702.35,0.0,0.0,2
Odczyt (Read),4,4,316.83666666666664,774.3000000000001,0.0,0.0,3
Odczyt (Read),4,8,400.2885714285714,984.8788571428572,366.0,0.0,7
Usuwanie (Delete),1,1,91.72,744.725,0.0,3072.0,4
Usuwanie (Delete),1,2,100.66625,775.6,0.0,3072.0,8
Usuwanie (Delete),1,4,101.32818181818185,888.7454545454547,0.0,8192.0,22
Usuwanie (Delete),1,8,82.9643661971831,1100.5568450704225,1323.2,18432.0,71
Usuwanie (Delete),2,1,111.51666666666664,698.8333333333334,0.0,2048.0,3
Usuwanie (Delete),2,2,141.73166666666663,744.0166666666668,0.0,3072.0,6
Usuwanie (Delete),2,4,89.54740740740742,852.5518518518519,67.0,8192.0,27
Usuwanie (Delete),2,8,110.31642857142856,1026.2257142857145,1607.6800000000003,19456.0,56
Usuwanie (Delete),4,1,33.68888888888889,699.5666666666667,0.0,2048.0,9
Usuwanie (Delete),4,2,142.92,743.9499999999999,0.0,4096.0,6
Usuwanie (Delete),4,4,89.12639999999999,869.6519999999999,0.0,8192.0,25
Usuwanie (Delete),4,8,106.22185185185184,1108.6708148148148,532.48,18432.0,54
Zapis (Insert),1,1,91.45,734.725,0.0,1024.0,4
Zapis (Insert),1,2,62.28071428571428,777.6071428571429,0.0,5120.0,14
Zapis (Insert),1,4,87.36280000000001,875.092,0.0,9216.0,25
Zapis (Insert),1,8,89.11188405797103,1091.1834202898551,0.0,35840.0,69
Zapis (Insert),2,1,91.2525,687.8000000000001,0.0,1228.800000000003,4
Zapis (Insert),2,2,138.165,732.8833333333333,0.0,3072.0,6
Zapis (Insert),2,4,138.480625,830.3375,0.0,8192.0,16
Zapis (Insert),2,8,132.08955555555556,1008.3734222222222,1.0,18432.0,45
Zapis (Insert),4,1,96.1375,694.2,0.0,2150.399999999994,4
Zapis (Insert),4,2,111.78,738.0375,0.0,4096.0,8
Zapis (Insert),4,4,98.84227272727274,850.4272727272728,0.1000000000000014,7168.0,22
Zapis (Insert),4,8,135.52906976744185,1042.1385116279068,0.1000000000000014,18432.0,43
