Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Aktualizacja (Update),1,1,98.82142857142856,402.9,0.0,440.3200000000006,7
Aktualizacja (Update),1,2,100.02473684210528,650.8052631578947,0.0,1638.3999999999996,19
Aktualizacja (Update),1,4,101.43735849056604,722.3490566037735,0.0,6553.599999999999,53
Aktualizacja (Update),1,8,100.09714285714286,866.8022857142856,0.0,20582.40000000001,175
Aktualizacja (Update),2,1,103.15285714285712,383.4428571428571,0.0,686.0799999999999,7
Aktualizacja (Update),2,2,179.60909090909092,631.0545454545455,0.0,1546.2399999999998,11
Aktualizacja (Update),2,4,168.013125,705.125,0.0,6451.200000000001,32
Aktualizacja (Update),2,8,208.26123456790123,824.5679012345679,0.0,12697.599999999991,81
Aktualizacja (Update),4,1,124.03571428571428,384.38571428571424,0.0,460.8000000000002,7
Aktualizacja (Update),4,2,184.29,629.7363636363636,0.0,1536.0,11
Aktualizacja (Update),4,4,285.86,694.0722222222222,0.0,4505.600000000002,18
Aktualizacja (Update),4,8,406.5578260869565,827.8804347826087,0.0,16486.40000000001,46
Odczyt (Read),1,1,99.842,400.6,0.0,10.239999999999782,5
Odczyt (Read),1,2,99.10454545454546,645.3363636363637,0.0,1638.3999999999996,11
Odczyt (Read),1,4,101.13612903225804,712.1387096774193,0.0,8089.600000000002,31
Odczyt (Read),1,8,100.94849056603772,845.8141509433963,0.0,13414.399999999994,106
Odczyt (Read),2,1,105.55,380.425,0.0,20.479999999999563,4
Odczyt (Read),2,2,192.41,625.86,0.0,51.19999999999891,5
Odczyt (Read),2,4,201.6783333333333,689.3916666666668,0.0,0.0,12
Odczyt (Read),2,8,207.0480392156863,798.0392156862745,315.69,11980.800000000005,51
Odczyt (Read),4,1,98.92,379.575,0.0,0.0,4
Odczyt (Read),4,2,187.78833333333333,624.85,0.0099999999999997,819.2000000000007,6
Odczyt (Read),4,4,313.4755555555555,687.6666666666666,11.7,2662.399999999998,9
Odczyt (Read),4,8,413.33608695652174,806.4478260869565,0.0,1945.5999999999983,23
Usuwanie (Delete),1,1,96.81428571428572,407.0571428571429,0.0,706.5600000000004,7
Usuwanie (Delete),1,2,100.98956521739132,659.4782608695652,0.0,4096.0,23
Usuwanie (Delete),1,4,101.72803278688524,738.8803278688524,0.0,6451.199999999997,61
Usuwanie (Delete),1,8,102.15351485148514,898.0965346534654,0.0,23347.2,202
Usuwanie (Delete),2,1,100.76142857142858,389.4,0.0,706.5600000000004,7
Usuwanie (Delete),2,2,169.64785714285716,639.8642857142858,0.0,4198.4000000000015,14
Usuwanie (Delete),2,4,206.32833333333332,720.6733333333334,0.0,6041.600000000002,30
Usuwanie (Delete),2,8,208.82393939393936,858.6373737373738,219.0,15052.800000000005,99
Usuwanie (Delete),4,1,96.39571428571428,388.07142857142856,0.0,1064.96,7
Usuwanie (Delete),4,2,182.14928571428567,641.5571428571428,0.0,2560.0,14
Usuwanie (Delete),4,4,282.4478260869565,718.2260869565217,0.0,5734.4000000000015,23
Usuwanie (Delete),4,8,421.7180769230769,855.8346153846154,0.0,18739.2,52
Zapis (Insert),1,1,96.815,360.075,0.0,1228.8000000000002,8
Zapis (Insert),1,2,100.3926086956522,528.3304347826087,0.0,2324.48,23
Zapis (Insert),1,4,101.4703448275862,731.803448275862,0.0,6144.0,58
Zapis (Insert),1,8,100.35576470588236,887.0364705882354,0.0,18636.800000000003,170
Zapis (Insert),2,1,102.015,338.9375,0.0,942.08,8
Zapis (Insert),2,2,167.04714285714286,508.9357142857143,0.0,2334.720000000001,14
Zapis (Insert),2,4,203.6862068965517,711.248275862069,0.1279296875,8703.999999999998,29
Zapis (Insert),2,8,208.5885185185185,853.4975308641975,2.1820703125,12697.6,81
Zapis (Insert),4,1,115.5025,340.3875,0.0,1290.2399999999998,8
Zapis (Insert),4,2,123.323,551.88,0.24,3297.28,20
Zapis (Insert),4,4,247.2417391304348,705.8913043478261,1.2800000000000002,9420.8,23
Zapis (Insert),4,8,373.1725531914894,857.8851063829787,0.0999999999999978,15974.4,47
