Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,13657.032,0.073222354,0.058656,0.10623194,0.1492216
Aktualizacja (Update),1,2,6114.5347,0.32644862,0.222114,0.431116,0.6272593
Aktualizacja (Update),1,4,3695.1694,1.0734441,0.7198885,1.1691113,22.053362
Aktualizacja (Update),1,8,2370.7603,3.3214195,2.1258044,5.2508173,32.915466
Aktualizacja (Update),2,1,13947.598,0.07169694,0.052285,0.10773045,0.14654961
Aktualizacja (Update),2,2,4955.803,0.4032033,0.21286851,0.40075105,0.5612895
Aktualizacja (Update),2,4,3472.3616,1.1475922,0.696271,1.1020886,1.3186553
Aktualizacja (Update),2,8,3468.311,2.30145,1.977313,3.493958,5.716297
Aktualizacja (Update),4,1,7501.818,0.13330102,0.0408865,0.08914055,0.1276631
Aktualizacja (Update),4,2,5380.363,0.37164116,0.179267,0.34440652,0.4885733
Aktualizacja (Update),4,4,2884.2346,1.3858179,0.5919255,0.94166154,1.154881
Aktualizacja (Update),4,8,4295.5107,1.8552023,1.6271651,2.5267973,3.8728414
Odczyt (Read),1,1,33642.62,0.029724201,0.024698999,0.06382805,0.08958941
Odczyt (Read),1,2,12780.944,0.15310359,0.0950735,0.285404,0.51473933
Odczyt (Read),1,4,7971.0254,0.4924038,0.135813,1.0044173,1.6718022
Odczyt (Read),1,8,2563.4526,3.0548594,1.1146181,4.5785875,58.024223
Odczyt (Read),2,1,35185.01,0.028421191,0.021963999,0.06348605,0.087055095
Odczyt (Read),2,2,17352.23,0.114893846,0.0957525,0.259032,0.44562086
Odczyt (Read),2,4,14554.211,0.27146637,0.15113801,0.864058,1.3136415
Odczyt (Read),2,8,5910.7705,1.331309,0.9478875,3.3904278,9.511905
Odczyt (Read),4,1,54249.93,0.018433204,0.014128,0.047064498,0.068748
Odczyt (Read),4,2,24615.799,0.08086806,0.0689275,0.1910075,0.30936033
Odczyt (Read),4,4,22088.99,0.17322071,0.113746494,0.5274017,0.79946357
Odczyt (Read),4,8,10677.435,0.7415927,0.628554,1.763562,2.4290993
Usuwanie (Delete),1,1,17932.928,0.05576334,0.042905003,0.087372996,0.133686
Usuwanie (Delete),1,2,7588.4893,0.26268515,0.185617,0.39874777,0.59152853
Usuwanie (Delete),1,4,4642.4473,0.85784143,0.5767765,0.96470493,7.0960813
Usuwanie (Delete),1,8,2908.4333,2.7370024,1.810497,3.264646,31.913149
Usuwanie (Delete),2,1,19090.836,0.052381154,0.038888,0.088110454,0.12339089
Usuwanie (Delete),2,2,6843.6274,0.29223275,0.186162,0.3648675,0.5281515
Usuwanie (Delete),2,4,5123.8457,0.7760801,0.55261004,0.89539546,1.0859475
Usuwanie (Delete),2,8,4233.9434,1.8854805,1.669141,2.891735,3.6015549
Usuwanie (Delete),4,1,11754.763,0.0850719,0.029609,0.069239,0.104159325
Usuwanie (Delete),4,2,3026.779,0.6606168,0.16966301,0.36979878,0.5401584
Usuwanie (Delete),4,4,5959.1016,0.66427106,0.45532352,0.77258,0.9522482
Usuwanie (Delete),4,8,5212.6455,1.5294651,1.3817279,2.2158108,3.0570493
Zapis (Insert),1,1,16698.795,0.05988456,0.0509405,0.100600995,0.14072
Zapis (Insert),1,2,7218.5405,0.27367866,0.195813,0.359153,0.51197517
Zapis (Insert),1,4,4519.928,0.8782385,0.644873,1.0165089,4.452103
Zapis (Insert),1,8,2653.2976,2.9213579,1.9217515,6.6195264,26.741186
Zapis (Insert),2,1,17234.354,0.058023646,0.044164002,0.0972485,0.13034411
Zapis (Insert),2,2,8967.88,0.2227564,0.1926175,0.34608045,0.47240308
Zapis (Insert),2,4,4891.773,0.8097419,0.5958545,0.9432938,1.1892385
Zapis (Insert),2,8,3745.2205,2.1250641,1.8109396,3.1098762,3.98034
Zapis (Insert),4,1,11452.276,0.08731888,0.032825,0.080013,0.1172051
Zapis (Insert),4,2,7535.1216,0.26527464,0.158786,0.304867,0.41315505
Zapis (Insert),4,4,5342.525,0.7427387,0.52464247,0.8464946,1.034966
Zapis (Insert),4,8,4415.9253,1.7767904,1.5439905,2.7502763,5.635327
