Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,172122.0,0.005809833,0.004759999,0.009509,0.01700301
Aktualizacja (Update),1,2,37757.734,0.052225456,0.018135998,0.102003,0.16886632
Aktualizacja (Update),1,4,20407.143,0.19292623,0.041001,0.25333205,0.39836007
Aktualizacja (Update),1,8,12420.704,0.62604135,0.1090765,0.407949,0.6773421
Aktualizacja (Update),2,1,154096.97,0.0064894203,0.004989997,0.01014,0.017305193
Aktualizacja (Update),2,2,59336.586,0.033695336,0.018196002,0.095529,0.15380639
Aktualizacja (Update),2,4,41131.99,0.09413457,0.047629498,0.2438855,0.3715591
Aktualizacja (Update),2,8,23847.107,0.32686862,0.1226385,0.396611,0.60157406
Aktualizacja (Update),4,1,144514.33,0.006919729,0.0051300013,0.010110001,0.017203998
Aktualizacja (Update),4,2,50675.863,0.03944476,0.024669,0.103163995,0.1623014
Aktualizacja (Update),4,4,48604.55,0.08186966,0.054668,0.23520619,0.34736016
Aktualizacja (Update),4,8,45522.742,0.17435156,0.12693301,0.39219716,0.56044304
Odczyt (Read),1,1,414985.0,0.002409726,0.0019130002,0.0045590005,0.0065929997
Odczyt (Read),1,2,226424.06,0.008644735,0.0022250006,0.009448,0.06447531
Odczyt (Read),1,4,108038.914,0.036586188,0.004218,0.053877,0.16683002
Odczyt (Read),1,8,48096.727,0.16050641,0.0075949994,0.13766375,0.29913813
Odczyt (Read),2,1,410035.75,0.0024388118,0.0019640028,0.004598998,0.006664092
Odczyt (Read),2,2,419744.78,0.004712173,0.0020739972,0.013697051,0.064859204
Odczyt (Read),2,4,229944.14,0.017167741,0.0039879996,0.051332,0.16363518
Odczyt (Read),2,8,107850.875,0.071974345,0.007545001,0.11135125,0.27513716
Odczyt (Read),4,1,414455.12,0.0024128065,0.001952998,0.004469002,0.0066229985
Odczyt (Read),4,2,364614.28,0.00546287,0.0021849992,0.013355999,0.0807802
Odczyt (Read),4,4,349636.2,0.010976133,0.0036970014,0.0491575,0.15563926
Odczyt (Read),4,8,203663.88,0.037609633,0.008145998,0.11656,0.271947
Usuwanie (Delete),1,1,130744.91,0.007648482,0.0055609997,0.010881999,0.018416101
Usuwanie (Delete),1,2,28561.842,0.068973154,0.0297295,0.1235265,0.20298915
Usuwanie (Delete),1,4,16913.26,0.2344607,0.062383,0.32409108,0.5144005
Usuwanie (Delete),1,8,9823.206,0.79824674,0.153233,0.5707781,1.0785034
Usuwanie (Delete),2,1,87764.77,0.011394093,0.005722002,0.011201999,0.0192182
Usuwanie (Delete),2,2,45453.77,0.04382375,0.030340001,0.116622955,0.19611406
Usuwanie (Delete),2,4,32494.613,0.12293008,0.073796,0.31731007,0.482218
Usuwanie (Delete),2,8,19376.648,0.4090342,0.164286,0.52973914,0.8348181
Usuwanie (Delete),4,1,87949.22,0.011370198,0.005942002,0.011462001,0.0191183
Usuwanie (Delete),4,2,30808.564,0.06454742,0.04028,0.1299575,0.211598
Usuwanie (Delete),4,4,33390.207,0.118630566,0.076481,0.3056583,0.45071104
Usuwanie (Delete),4,8,30326.102,0.26276612,0.174925,0.512683,0.732189
Zapis (Insert),1,1,128445.45,0.007785406,0.0050500003,0.020871,0.029729102
Zapis (Insert),1,2,29559.777,0.06711154,0.030705001,0.125496,0.2150284
Zapis (Insert),1,4,14946.321,0.2632033,0.061963,0.35961306,0.6056226
Zapis (Insert),1,8,9812.814,0.80134743,0.14086899,0.6757612,1.9201163
Zapis (Insert),2,1,63766.293,0.015682267,0.0052299984,0.021923998,0.031653
Zapis (Insert),2,2,37393.41,0.053408727,0.037244,0.1264422,0.21378519
Zapis (Insert),2,4,33728.56,0.11743977,0.064919,0.32218105,0.518247
Zapis (Insert),2,8,19869.764,0.39852196,0.149029,0.62541306,1.2496283
Zapis (Insert),4,1,119250.86,0.008385683,0.005500999,0.021623,0.0298691
Zapis (Insert),4,2,36963.934,0.054096792,0.026773002,0.12615915,0.22069056
Zapis (Insert),4,4,30567.611,0.13029377,0.07052,0.3262302,0.512078
Zapis (Insert),4,8,24118.68,0.33079532,0.148874,0.58627915,1.0443746
