Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Aktualizacja (Update),1,1,65.63,3015.68,0.0,0.0,1
Aktualizacja (Update),1,2,99.96,3085.824,0.0,1024.0,4
Aktualizacja (Update),1,4,101.8125,3153.408,0.0,1024.0,12
Aktualizacja (Update),1,8,99.74,3315.9912727272726,0.1000000000000014,3072.0,33
Aktualizacja (Update),2,1,67.72,3000.32,0.0,0.0,1
Aktualizacja (Update),2,2,71.535,3069.696,0.0,1024.0,4
Aktualizacja (Update),2,4,115.162,3151.6672,0.0,1024.0,10
Aktualizacja (Update),2,8,163.23863636363637,3303.5636363636363,0.0,3072.0,22
Aktualizacja (Update),4,1,102.63,3023.8720000000003,0.0,102.40000000000872,2
Aktualizacja (Update),4,2,106.9075,3075.072,0.0,614.4000000000087,4
Aktualizacja (Update),4,4,83.07,3159.226181818181,0.0,1433.5999999999913,11
Aktualizacja (Update),4,8,189.95125,3295.872,0.0,3072.0,16
Odczyt (Read),1,1,94.19,3007.488,0.0,0.0,1
Odczyt (Read),1,2,99.92,3082.752,0.0,0.0,2
Odczyt (Read),1,4,97.3775,3098.624,0.0,0.0,4
Odczyt (Read),1,8,100.2577777777778,3271.736888888889,0.0,1024.0,18
Odczyt (Read),2,1,113.37,3028.992,0.0,0.0,1
Odczyt (Read),2,2,119.425,3066.3680000000004,0.0,0.0,2
Odczyt (Read),2,4,176.47500000000002,3141.632,0.0,0.0,2
Odczyt (Read),2,8,201.34125,3264.384,0.0,0.0,8
Odczyt (Read),4,1,117.22,3035.136,0.0,0.0,1
Odczyt (Read),4,2,209.55,3070.976,0.0,0.0,1
Odczyt (Read),4,4,264.34000000000003,3147.264,0.0,0.0,2
Odczyt (Read),4,8,315.058,3249.3568,0.0,0.0,5
Usuwanie (Delete),1,1,92.3,3046.4,0.0,0.0,1
Usuwanie (Delete),1,2,100.17666666666666,3085.653333333333,0.0,0.0,3
Usuwanie (Delete),1,4,102.129,3159.552,0.0,1024.0,10
Usuwanie (Delete),1,8,100.19058823529411,3322.759529411765,0.0,3072.0,34
Usuwanie (Delete),2,1,128.24,3030.016,0.0,0.0,1
Usuwanie (Delete),2,2,61.92,3069.952,0.0,0.0,3
Usuwanie (Delete),2,4,100.438,3135.6928,0.0,1024.0,10
Usuwanie (Delete),2,8,163.0475,3296.5632,0.0,2048.0,20
Usuwanie (Delete),4,1,132.41,3053.568,0.0,102.39999999999418,2
Usuwanie (Delete),4,2,41.002,3073.6384,0.0,307.1999999999971,5
Usuwanie (Delete),4,4,114.40142857142858,3132.8548571428573,0.0,1126.3999999999942,7
Usuwanie (Delete),4,8,192.87142857142857,3298.962285714286,0.0,1024.0,14
Zapis (Insert),1,1,67.12,3003.392,0.0,0.0,1
Zapis (Insert),1,2,97.1,3085.312,0.0,0.0,3
Zapis (Insert),1,4,100.515,3159.3472,0.0,1024.0,10
Zapis (Insert),1,8,98.8564,3292.20096,0.0,2048.0,25
Zapis (Insert),2,1,87.51,3030.016,0.0,0.0,1
Zapis (Insert),2,2,106.8125,3068.672,0.0,1024.0,4
Zapis (Insert),2,4,103.76444444444444,3150.6204444444443,0.0,1024.0,9
Zapis (Insert),2,8,158.30272727272725,3296.488727272727,0.0,3072.0,22
Zapis (Insert),4,1,113.295,3021.312,0.0,102.39999999999418,2
Zapis (Insert),4,2,67.8,3048.7893333333336,0.0,204.7999999999884,3
Zapis (Insert),4,4,109.87285714285714,3156.406857142857,0.0,716.8000000000029,7
Zapis (Insert),4,8,180.58,3281.554285714286,0.0,1024.0,14
