Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Dokument JSON: Aktualizacja,1,1,77.85,48.72,0.0,0.0,1
Dokument JSON: Aktualizacja,1,2,92.5,75.84,0.0,0.0,1
Dokument JSON: Aktualizacja,1,4,95.14666666666666,132.12,0.0,0.0,3
Dokument JSON: Aktualizacja,1,8,99.88625,256.6,0.0,0.0,8
Dokument JSON: Aktualizacja,2,1,109.11,45.52,0.0,0.0,1
Dokument JSON: Aktualizacja,2,2,143.44,63.99,0.0,0.0,1
Dokument JSON: Aktualizacja,2,4,171.03,106.785,0.0,0.0,2
Dokument JSON: Aktualizacja,2,8,181.756,205.08,1.0,0.0,5
Dokument JSON: Aktualizacja,4,1,135.77,23.95,0.0,0.0,1
Dokument JSON: Aktualizacja,4,2,220.22,71.61,0.0,0.0,1
Dokument JSON: Aktualizacja,4,4,290.775,126.4,0.0,0.0,2
Dokument JSON: Aktualizacja,4,8,386.77,234.46666666666667,0.0,0.0,3
Dokument JSON: Inkrementacja,1,1,91.75,67.74,0.0,0.0,1
Dokument JSON: Inkrementacja,1,2,94.275,98.43,0.0,102.39999999999418,2
Dokument JSON: Inkrementacja,1,4,95.96,133.5,0.0,0.0,3
Dokument JSON: Inkrementacja,1,8,98.7225,248.2375,0.0,0.0,8
Dokument JSON: Inkrementacja,2,1,112.16,46.7,0.0,0.0,1
Dokument JSON: Inkrementacja,2,2,126.93,49.83,0.0,0.0,1
Dokument JSON: Inkrementacja,2,4,174.25,112.71,0.0,0.0,2
Dokument JSON: Inkrementacja,2,8,170.126,211.1,0.0,0.0,5
Dokument JSON: Inkrementacja,4,1,210.0,53.94,0.0,0.0,1
Dokument JSON: Inkrementacja,4,2,183.46,71.84,0.0,0.0,1
Dokument JSON: Inkrementacja,4,4,260.28,126.8,0.0,0.0,2
Dokument JSON: Inkrementacja,4,8,254.56333333333336,179.49333333333334,0.0,0.0,3
Dokument JSON: Odczyt,1,1,80.49,67.95,0.0,0.0,1
Dokument JSON: Odczyt,1,2,79.37,75.16,0.0,0.0,1
Dokument JSON: Odczyt,1,4,98.63,145.8,0.0,0.0,2
Dokument JSON: Odczyt,1,8,102.1925,231.75,0.0,0.0,4
Dokument JSON: Odczyt,2,1,118.68,45.32,0.0,0.0,1
Dokument JSON: Odczyt,2,2,172.41,63.1,0.0,0.0,1
Dokument JSON: Odczyt,2,4,196.54,126.6,0.0,0.0,1
Dokument JSON: Odczyt,2,8,198.7,191.0,0.0,0.0,2
Dokument JSON: Odczyt,4,1,242.49,40.8,0.0,0.0,1
Dokument JSON: Odczyt,4,2,201.54,30.64,0.0,0.0,1
Dokument JSON: Odczyt,4,4,314.78,125.7,0.0,0.0,1
