Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,1990.5886,0.502364,0.266526,0.40964746,0.6993583
Aktualizacja (Update),1,2,6980.308,0.28256541,0.2671545,0.36004698,0.43395627
Aktualizacja (Update),1,4,4325.686,0.87263674,0.383095,0.5707005,0.9204777
Aktualizacja (Update),1,8,3769.4683,2.0704,0.550721,1.00192,71.369484
Aktualizacja (Update),2,1,4019.0205,0.24881685,0.240607,0.29906848,0.36960667
Aktualizacja (Update),2,2,5665.9497,0.35104623,0.303256,0.420102,0.54624677
Aktualizacja (Update),2,4,10369.858,0.3721961,0.371072,0.45656,0.51124835
Aktualizacja (Update),2,8,10669.688,0.7378361,0.530313,0.74173045,1.1310318
Aktualizacja (Update),4,1,4033.1802,0.24794328,0.2393855,0.308285,0.3775077
Aktualizacja (Update),4,2,6033.2217,0.29007798,0.270221,0.410675,0.4663442
Aktualizacja (Update),4,4,9905.879,0.3798525,0.374287,0.48834345,0.561395
Aktualizacja (Update),4,8,9568.443,0.79716444,0.632984,1.084098,1.8600233
Odczyt (Read),1,1,2740.0159,0.3649614,0.190465,0.306617,0.4461681
Odczyt (Read),1,2,9121.599,0.21562439,0.200592,0.25668848,0.3158437
Odczyt (Read),1,4,9006.063,0.43201026,0.257446,0.36480045,0.5133592
Odczyt (Read),1,8,5459.4443,1.4462426,0.385469,0.6936255,71.02817
Odczyt (Read),2,1,5386.9307,0.18563448,0.1700315,0.25374144,0.3118477
Odczyt (Read),2,2,8999.936,0.21044734,0.193323,0.29243,0.355707
Odczyt (Read),2,4,15657.425,0.24774246,0.237115,0.35787207,0.39356267
Odczyt (Read),2,8,19427.926,0.39716434,0.370724,0.480377,0.67593634
Odczyt (Read),4,1,5465.871,0.18295345,0.181381,0.24794546,0.2816071
Odczyt (Read),4,2,9927.299,0.20083845,0.19563,0.25933295,0.29194862
Odczyt (Read),4,4,13972.429,0.27891755,0.268266,0.3818335,0.449926
Odczyt (Read),4,8,18509.115,0.4254413,0.401735,0.63053906,0.8378358
Usuwanie (Delete),1,1,2717.2139,0.36802402,0.19689149,0.29572794,0.40232816
Usuwanie (Delete),1,2,8956.247,0.21791846,0.189767,0.270786,0.36312
Usuwanie (Delete),1,4,4331.1787,0.8754055,0.308292,0.47885105,0.79269135
Usuwanie (Delete),1,8,5282.617,1.4779085,0.380719,0.71185,71.73996
Usuwanie (Delete),2,1,5058.768,0.19767657,0.185152,0.2706425,0.3455835
Usuwanie (Delete),2,2,7540.1704,0.25832382,0.220632,0.3232345,0.42911687
Usuwanie (Delete),2,4,13893.802,0.27806872,0.272735,0.343624,0.4122814
Usuwanie (Delete),2,8,10542.474,0.742275,0.380641,0.61943203,1.0254407
Usuwanie (Delete),4,1,4995.037,0.20019872,0.19961,0.25618207,0.2962734
Usuwanie (Delete),4,2,8782.93,0.22748123,0.218398,0.31681395,0.39077067
Usuwanie (Delete),4,4,14276.723,0.27708477,0.271339,0.35403645,0.4168224
Usuwanie (Delete),4,8,13599.803,0.5536959,0.437844,0.839998,1.3717204
Zapis (Insert),1,1,1823.5541,0.54837966,0.273441,0.40111947,0.6784025
Zapis (Insert),1,2,4255.446,0.45489278,0.29121548,0.4180215,0.6229529
Zapis (Insert),1,4,5883.8696,0.6661184,0.378696,0.5309,0.78282547
Zapis (Insert),1,8,3602.6462,2.177125,0.56245553,1.026919,72.21979
Zapis (Insert),2,1,3609.6355,0.27703628,0.274481,0.331612,0.39329347
Zapis (Insert),2,2,5409.4624,0.36340806,0.304513,0.44755,0.574461
Zapis (Insert),2,4,7568.0083,0.5212773,0.380571,0.515227,0.742634
Zapis (Insert),2,8,10538.66,0.7497675,0.536181,0.7572346,1.1679764
Zapis (Insert),4,1,3630.392,0.27545235,0.267148,0.3480295,0.3909104
Zapis (Insert),4,2,6791.9595,0.28537765,0.278254,0.35305846,0.4044632
Zapis (Insert),4,4,8595.508,0.45452794,0.44000852,0.607073,0.74277836
Zapis (Insert),4,8,12878.558,0.6039891,0.579904,0.8420965,1.0947148
