Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,4792.7534,0.20864834,0.201077,0.258278,0.29313
Aktualizacja (Update),1,2,8424.974,0.23321855,0.223287,0.278672,0.345721
Aktualizacja (Update),1,4,6570.9795,0.5966548,0.308216,0.457191,0.717913
Aktualizacja (Update),1,8,6438.9707,1.2285593,0.423526,0.768409,56.281635
Aktualizacja (Update),2,1,4648.8423,0.21510732,0.208487,0.27393305,0.32946
Aktualizacja (Update),2,2,8317.539,0.2247609,0.219863,0.29382607,0.329723
Aktualizacja (Update),2,4,11276.208,0.34548718,0.314924,0.416546,0.4973557
Aktualizacja (Update),2,8,11373.938,0.6947616,0.458306,0.677053,1.045612
Aktualizacja (Update),4,1,4703.077,0.21262674,0.206594,0.270501,0.338388
Aktualizacja (Update),4,2,8615.506,0.22999682,0.225173,0.287892,0.340483
Aktualizacja (Update),4,4,11901.192,0.33324444,0.325746,0.436866,0.522493
Aktualizacja (Update),4,8,15319.532,0.5185985,0.480658,0.733489,1.004129
Odczyt (Read),1,1,5213.809,0.19179836,0.167692,0.243402,0.292221
Odczyt (Read),1,2,8749.829,0.22549699,0.18187,0.24878,0.299486
Odczyt (Read),1,4,13340.539,0.29331243,0.22189,0.304165,0.401456
Odczyt (Read),1,8,12158.598,0.6538702,0.330286,0.460822,0.738517
Odczyt (Read),2,1,5405.249,0.18500535,0.184742,0.231818,0.266253
Odczyt (Read),2,2,11178.117,0.17790699,0.17167,0.235226,0.27706268
Odczyt (Read),2,4,15683.663,0.24965748,0.229365,0.32141805,0.392728
Odczyt (Read),2,8,22100.473,0.35862938,0.352773,0.445104,0.56139
Odczyt (Read),4,1,5697.0503,0.17552944,0.162035,0.237535,0.278672
Odczyt (Read),4,2,11367.052,0.17441866,0.163432,0.235789,0.279581
Odczyt (Read),4,4,16822.023,0.23469298,0.229573,0.308635,0.387068
Odczyt (Read),4,8,21785.164,0.36296165,0.352077,0.474302,0.658337
Usuwanie (Delete),1,1,5252.7905,0.190375,0.191369,0.251853,0.2890797
Usuwanie (Delete),1,2,7221.98,0.2742601,0.200378,0.304724,0.4077417
Usuwanie (Delete),1,4,8108.448,0.48665828,0.254018,0.390142,0.6207627
Usuwanie (Delete),1,8,6943.425,1.1381087,0.372121,0.668045,58.51658
Usuwanie (Delete),2,1,4990.7466,0.20037082,0.192547,0.25402308,0.32295904
Usuwanie (Delete),2,2,9024.954,0.21878484,0.2038,0.27510905,0.3534737
Usuwanie (Delete),2,4,12676.188,0.3105574,0.274625,0.36612,0.444205
Usuwanie (Delete),2,8,12234.812,0.6486158,0.397965,0.624885,0.953077
Usuwanie (Delete),4,1,4918.8853,0.20329809,0.195141,0.270501,0.39077
Usuwanie (Delete),4,2,9017.736,0.21894184,0.211624,0.288171,0.3951707
Usuwanie (Delete),4,4,13725.003,0.2871169,0.276647,0.383507,0.478562
Usuwanie (Delete),4,8,17040.818,0.4616385,0.421571,0.66616,0.917594
Zapis (Insert),1,1,4583.222,0.2181871,0.221471,0.263726,0.306818
Zapis (Insert),1,2,8206.7705,0.2402859,0.222519,0.290755,0.36164668
Zapis (Insert),1,4,6629.781,0.5961648,0.299904,0.436796,0.710719
Zapis (Insert),1,8,6469.489,1.2278432,0.428206,0.767851,56.494164
Zapis (Insert),2,1,4752.9517,0.21039559,0.2036725,0.255991,0.287699
Zapis (Insert),2,2,8221.282,0.24281086,0.225654,0.31309506,0.40102106
Zapis (Insert),2,4,11580.716,0.34166825,0.308288,0.410746,0.499727
Zapis (Insert),2,8,11310.763,0.69613373,0.455018,0.7099381,1.0865302
Zapis (Insert),4,1,4474.86,0.22347069,0.217769,0.289568,0.4323991
Zapis (Insert),4,2,7988.301,0.24482149,0.23376401,0.33916044,0.433025
Zapis (Insert),4,4,11639.144,0.341514,0.334896,0.434282,0.527173
Zapis (Insert),4,8,15142.109,0.5164992,0.479959,0.749273,1.028783
