Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,71.32214285714285,1053.476571428571,84.41499999999999,102.54142857142855,0.0,716.8000000000029,14
Aktualizacja (Update),1,2,101.45380952380954,1574.912,104.33285714285714,152.75666666666666,0.0,1433.6000000000058,21
Aktualizacja (Update),1,4,101.34653061224488,2586.2060408163265,143.2669387755102,260.46938775510205,262.0,3788.800000000003,49
Aktualizacja (Update),1,8,101.37875,3854.464,215.01545454545456,450.7172727272728,1290.2399999999998,5836.800000000003,88
Aktualizacja (Update),2,1,80.58357142857143,1287.8994285714286,88.03142857142858,130.03357142857143,0.0,1024.0,14
Aktualizacja (Update),2,2,156.55875,1809.408,140.385,183.35,0.0,2048.0,16
Aktualizacja (Update),2,4,182.6695,2832.8448,306.7105,284.2325,0.0,2048.0,20
Aktualizacja (Update),2,8,204.0434782608696,4232.013913043478,416.7047826086956,495.6217391304348,133.0,6144.0,46
Aktualizacja (Update),4,1,185.4233333333333,1078.1354666666666,72.24666666666667,74.98466666666667,0.0,2048.0,15
Aktualizacja (Update),4,2,163.26823529411763,1600.8734117647057,169.46764705882353,125.27470588235296,0.0,2048.0,17
Aktualizacja (Update),4,4,271.85478260869564,2585.288347826087,319.18695652173915,229.43478260869568,1382.4000000000003,4096.0,23
Aktualizacja (Update),4,8,313.8058823529412,3920.805647058824,639.8482352941177,425.0029411764706,3276.800000000001,6144.0,34
Odczyt (Read),1,1,43.31363636363636,1045.3178181818182,111.65636363636364,105.0090909090909,0.0,0.0,11
Odczyt (Read),1,2,74.58181818181818,1560.0174545454545,185.81272727272727,158.8272727272727,0.0,0.0,11
Odczyt (Read),1,4,95.08588235294118,2580.2390588235294,260.2852941176471,260.63529411764705,0.0,0.0,17
Odczyt (Read),1,8,100.45278846153846,3706.683076923077,154.42365384615383,455.74711538461537,2252.16,102.39999999999418,104
Odczyt (Read),2,1,41.42,1279.5904,95.049,132.94,0.0,0.0,10
Odczyt (Read),2,2,87.33090909090909,1793.6756363636364,167.50636363636363,182.3,0.0,0.0,11
Odczyt (Read),2,4,134.32538461538462,2804.893538461539,294.3892307692308,283.2538461538461,0.0,0.0,13
Odczyt (Read),2,8,200.6934693877551,4132.362448979592,312.3904081632653,501.0122448979592,0.0,0.0,49
Odczyt (Read),4,1,39.416363636363634,1071.1970909090908,113.62272727272727,77.33090909090909,0.0,0.0,11
Odczyt (Read),4,2,83.79181818181819,1584.5934545454545,179.48454545454544,126.51090909090908,0.0,0.0,11
Odczyt (Read),4,4,133.78538461538463,2604.740923076923,325.84461538461534,239.09230769230768,0.0,0.0,13
Odczyt (Read),4,8,315.32735294117646,3852.890352941176,474.4894117647059,426.4794117647058,5734.4,0.0,34
Usuwanie (Delete),1,1,95.32222222222222,872.8048888888889,57.515,104.31444444444443,0.0,819.1999999999971,18
Usuwanie (Delete),1,2,101.3096153846154,1135.6,95.84576923076922,163.1846153846154,0.0,1228.800000000003,26
Usuwanie (Delete),1,4,101.69971428571428,1657.9424,160.27599999999998,259.71142857142854,3.0,921.5999999999912,35
Usuwanie (Delete),1,8,101.463661971831,2847.603605633803,178.3749295774648,440.4378873239437,1136.6400000000003,2048.0,71
Usuwanie (Delete),2,1,160.90333333333334,1107.605,111.09416666666668,137.75,0.0,1024.0,12
Usuwanie (Delete),2,2,188.9776923076923,1427.6301538461537,149.30923076923077,179.40076923076924,0.0,1024.0,13
Usuwanie (Delete),2,4,204.78454545454545,1989.692727272727,216.61818181818185,290.2,0.0,2048.0,22
Usuwanie (Delete),2,8,202.65076923076924,3262.5427692307694,340.055641025641,485.5707692307692,249.0,3072.0,39
Usuwanie (Delete),4,1,164.76333333333335,867.5010000000001,95.7775,80.67999999999999,0.0,0.0,12
Usuwanie (Delete),4,2,228.07538461538465,1217.855076923077,173.89,131.58461538461538,0.0,1024.0,13
Usuwanie (Delete),4,4,315.63388888888886,1731.2222222222222,362.7255555555556,239.5888888888889,204.79999999999927,2048.0,18
Usuwanie (Delete),4,8,378.17785714285714,2978.721571428571,545.0146428571428,417.6575,3174.4,3072.0,28
Zapis (Insert),1,1,90.83571428571427,769.0466666666666,59.99761904761905,103.37285714285714,0.0,1024.0,21
Zapis (Insert),1,2,98.40052631578946,1097.1555789473684,148.44,158.38947368421054,0.0,1126.3999999999942,19
Zapis (Insert),1,4,100.78886363636364,1487.0071818181818,163.97727272727272,260.2113636363636,0.0,2355.199999999997,44
Zapis (Insert),1,8,101.19,2396.726731707317,229.3771951219512,470.5719512195122,136.0,4300.800000000003,82
Zapis (Insert),2,1,144.03133333333332,1063.8157333333334,96.83666666666666,133.14666666666668,0.0,1024.0,15
Zapis (Insert),2,2,147.629375,1310.407,154.43625,183.675,0.0,1024.0,16
Zapis (Insert),2,4,198.72777777777776,1777.018074074074,245.05814814814812,286.6333333333333,0.0,3072.0,27
Zapis (Insert),2,8,202.1188636363636,2686.193454545454,441.16909090909087,498.7227272727272,0.0,4096.0,44
Zapis (Insert),4,1,177.51875,862.6575,100.96625,77.394375,0.0,2048.0,16
Zapis (Insert),4,2,190.1511111111111,1129.3935555555554,149.29888888888888,125.41555555555556,0.0,2048.0,18
Zapis (Insert),4,4,284.9520833333333,1624.5275,322.59791666666666,230.58333333333331,0.0,4096.0,24
Zapis (Insert),4,8,333.09567567567564,2464.695783783784,604.9354054054054,435.23243243243246,256.0,6144.0,37
