Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Dokument JSON: Aktualizacja,1,1,41.98,617.25,189.16000000000005,84.82,0.0,0.0,2
Dokument JSON: Aktualizacja,1,2,83.43,592.65,140.905,102.15,0.0,0.0,2
Dokument JSON: Aktualizacja,1,4,101.16142857142856,596.6428571428571,171.89714285714285,179.25714285714284,0.0,102.39999999999418,7
Dokument JSON: Aktualizacja,1,8,86.52142857142857,613.4285714285714,412.66,307.57142857142856,0.0,102.40000000000146,7
Dokument JSON: Aktualizacja,2,1,62.91,836.55,128.16,112.4,0.0,0.0,2
Dokument JSON: Aktualizacja,2,2,100.305,793.45,135.41,131.1,0.0,0.0,2
Dokument JSON: Aktualizacja,2,4,191.29,801.525,323.5975,217.8,0.0,0.0,4
Dokument JSON: Aktualizacja,2,8,185.942,826.4399999999999,652.99,349.18,0.0,0.0,5
Dokument JSON: Aktualizacja,4,1,87.5,634.7,186.89,46.55,0.0,0.0,2
Dokument JSON: Aktualizacja,4,2,181.7433333333333,584.8000000000001,270.7333333333333,92.78333333333336,0.0,0.0,3
Dokument JSON: Aktualizacja,4,4,166.32333333333332,591.1333333333333,386.21,159.03333333333333,0.0,0.0,3
Dokument JSON: Aktualizacja,4,8,207.24,616.95,758.5675,275.325,0.0,0.0,4
Dokument JSON: Inkrementacja,1,1,53.225,614.6,76.95,79.795,0.0,0.0,2
Dokument JSON: Inkrementacja,1,2,86.21333333333332,591.3666666666667,234.39,108.12,0.0,102.39999999999418,3
Dokument JSON: Inkrementacja,1,4,98.682,596.1,218.058,181.88,0.0,102.40000000000146,5
Dokument JSON: Inkrementacja,1,8,97.69285714285716,613.8714285714286,379.9614285714286,298.7857142857143,0.0,0.0,7
Dokument JSON: Inkrementacja,2,1,65.72999999999999,833.95,133.91,104.43,0.0,0.0,2
Dokument JSON: Inkrementacja,2,2,110.12,795.6,224.35666666666663,148.0,0.0,0.0,3
Dokument JSON: Inkrementacja,2,4,132.76666666666668,801.1666666666666,469.9266666666667,214.03333333333333,0.0,0.0,3
Dokument JSON: Inkrementacja,2,8,172.942,827.18,752.492,342.32,0.0,0.0,5
Dokument JSON: Inkrementacja,4,1,90.91666666666669,632.9333333333333,149.35666666666663,57.86333333333334,0.0,0.0,3
Dokument JSON: Inkrementacja,4,2,325.1766666666667,585.0333333333333,264.02,92.57666666666668,0.0,1024.0,3
Dokument JSON: Inkrementacja,4,4,164.33,592.6,432.4866666666667,161.86666666666667,0.0,0.0,3
Dokument JSON: Inkrementacja,4,8,217.5875,618.575,721.51,263.7,0.0,0.0,4
Dokument JSON: Odczyt,1,1,33.685,619.4,194.915,84.6,0.0,0.0,2
Dokument JSON: Odczyt,1,2,53.510000000000005,593.45,266.66,119.6,0.0,0.0,2
Dokument JSON: Odczyt,1,4,100.686,599.62,275.252,189.0,0.0,102.40000000000146,5
Dokument JSON: Odczyt,1,8,82.602,612.96,475.548,317.62,0.0,0.0,5
Dokument JSON: Odczyt,2,1,28.71,849.25,197.865,112.55,0.0,0.0,2
Dokument JSON: Odczyt,2,2,46.97,792.75,270.01,147.75,0.0,0.0,2
Dokument JSON: Odczyt,2,4,191.89666666666668,803.3666666666667,429.9566666666667,217.4333333333333,0.0,0.0,3
Dokument JSON: Odczyt,2,8,190.428,828.8399999999999,678.208,343.76,0.0,0.0,5
Dokument JSON: Odczyt,4,1,22.515,643.45,191.565,50.66,0.0,0.0,2
Dokument JSON: Odczyt,4,2,48.365,586.05,279.91,76.225,0.0,0.0,2
Dokument JSON: Odczyt,4,4,266.3833333333333,595.0,459.9533333333334,155.53333333333333,0.0,1024.0,3
Dokument JSON: Odczyt,4,8,310.8,622.15,735.9275,271.9,0.0,0.0,4
Dokument JSON: Odczyt częściowy,1,1,28.005,618.6,187.39,84.805,0.0,0.0,2
Dokument JSON: Odczyt częściowy,1,2,43.96,593.15,264.645,119.5,0.0,0.0,2
Dokument JSON: Odczyt częściowy,1,4,101.966,599.14,291.32800000000003,189.52,0.0,102.40000000000146,5
Dokument JSON: Odczyt częściowy,1,8,82.828,613.14,559.488,327.43999999999994,0.0,0.0,5
Dokument JSON: Odczyt częściowy,2,1,26.74,840.95,192.135,112.75,0.0,0.0,2
Dokument JSON: Odczyt częściowy,2,2,70.50333333333333,793.3000000000001,227.33333333333331,135.9,0.0,0.0,3
Dokument JSON: Odczyt częściowy,2,4,166.82666666666668,802.0666666666666,467.1,217.3,0.0,0.0,3
Dokument JSON: Odczyt częściowy,2,8,193.984,827.68,633.4739999999999,307.38,0.0,0.0,5
Dokument JSON: Odczyt częściowy,4,1,22.705,638.25,191.73,51.585,0.0,0.0,2
Dokument JSON: Odczyt częściowy,4,2,49.715,587.0,264.615,74.065,0.0,0.0,2
Dokument JSON: Odczyt częściowy,4,4,217.94000000000003,592.3666666666667,453.3233333333333,161.73333333333335,0.0,0.0,3
Dokument JSON: Odczyt częściowy,4,8,294.4075,617.875,778.3,285.425,0.0,0.0,4
Dokument JSON: Usuwanie,1,1,44.755,613.8,365.8,102.44,0.0,0.0,2
Dokument JSON: Usuwanie,1,2,69.5,591.25,238.77,145.7,0.0,0.0,2
Dokument JSON: Usuwanie,1,4,87.77,594.8666666666667,325.99,188.96666666666667,0.0,0.0,3
Dokument JSON: Usuwanie,1,8,101.62,612.1333333333333,278.8388888888889,303.5333333333333,0.0,102.40000000000146,9
Dokument JSON: Usuwanie,2,1,54.795,833.1500000000001,240.59000000000003,124.5,0.0,0.0,2
Dokument JSON: Usuwanie,2,2,92.66,795.2,358.5,182.65,0.0,0.0,2
Dokument JSON: Usuwanie,2,4,162.54000000000002,800.75,302.035,176.2,0.0,0.0,2
Dokument JSON: Usuwanie,2,8,152.245,827.45,588.835,300.925,0.0,0.0,4
Dokument JSON: Usuwanie,4,1,88.94,630.8499999999999,236.55,75.41,0.0,0.0,2
Dokument JSON: Usuwanie,4,2,317.87,583.8,252.235,57.94,0.0,0.0,2
Dokument JSON: Usuwanie,4,4,124.99333333333334,592.1999999999999,611.0466666666666,197.2,0.0,0.0,3
Dokument JSON: Usuwanie,4,8,201.965,622.15,632.1825,245.2425,0.0,1024.0,4
Dokument JSON: Zapis,1,1,47.065,621.4,188.06,84.87,0.0,0.0,2
Dokument JSON: Zapis,1,2,79.19333333333334,595.9,236.81333333333336,119.83333333333331,0.0,0.0,3
Dokument JSON: Zapis,1,4,93.68,596.6800000000001,235.092,181.16,0.0,102.40000000000146,5
Dokument JSON: Zapis,1,8,86.91714285714285,607.0285714285714,448.7857142857143,318.85714285714283,0.0,0.0,7
