Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,1111.5172,0.8996712,0.89310753,1.1711903,1.3395342
Aktualizacja (Update),1,2,2316.4321,0.862999,0.853078,1.0892336,1.230212
Aktualizacja (Update),1,4,4484.4253,0.88835144,0.86402655,1.0717418,1.3405951
Aktualizacja (Update),1,8,2555.7522,3.0854383,1.1529031,1.7023431,63.551964
Aktualizacja (Update),2,1,1087.3456,0.9196708,0.915851,1.1688501,1.2838221
Aktualizacja (Update),2,2,2264.6785,0.88110715,0.873484,1.0896106,1.223532
Aktualizacja (Update),2,4,4443.3354,0.8986674,0.8875585,1.057237,1.197981
Aktualizacja (Update),2,8,4781.838,1.6509813,1.1665676,1.5746381,27.690342
Aktualizacja (Update),4,1,1057.9906,0.945188,0.9360125,1.2012762,1.413158
Aktualizacja (Update),4,2,2266.278,0.8810324,0.874266,1.0817833,1.1884832
Aktualizacja (Update),4,4,3733.5178,1.0656614,1.0481405,1.3066581,1.5059768
Aktualizacja (Update),4,8,6524.692,1.2103504,1.1869586,1.484841,1.8314016
Odczyt (Read),1,1,1584.5559,0.63109165,0.633606,0.96486175,1.1539274
Odczyt (Read),1,2,2935.7961,0.6794273,0.67258847,0.89855444,1.0130972
Odczyt (Read),1,4,4626.585,0.8633795,0.685919,0.9128877,1.4067895
Odczyt (Read),1,8,2909.1733,2.6876347,0.9345645,1.458245,66.429855
Odczyt (Read),2,1,1784.057,0.56052023,0.52662003,0.90178347,1.0541261
Odczyt (Read),2,2,3080.4844,0.64876884,0.630825,0.89362365,1.1827981
Odczyt (Read),2,4,5744.8647,0.6880859,0.6743175,0.8800372,1.0059298
Odczyt (Read),2,8,6673.6055,1.1869068,0.890572,1.2114815,18.005608
Odczyt (Read),4,1,1872.7598,0.5339713,0.4993495,0.8519374,1.0037626
Odczyt (Read),4,2,3185.3652,0.62590325,0.6129455,0.84675074,0.9604331
Odczyt (Read),4,4,4787.4526,0.82757556,0.81126404,1.0736469,1.2416881
Odczyt (Read),4,8,8314.628,0.9568166,0.9242785,1.264999,1.6370709
Usuwanie (Delete),1,1,1291.4155,0.774344,0.7698115,1.0317764,1.1524704
Usuwanie (Delete),1,2,1754.8485,1.1378295,0.763662,1.0543975,1.4463552
Usuwanie (Delete),1,4,4182.834,0.9502605,0.7226435,0.955124,1.7408243
Usuwanie (Delete),1,8,4506.6997,1.7677727,0.89921296,1.2916986,42.241703
Usuwanie (Delete),2,1,1258.2728,0.79474014,0.7898435,1.035843,1.1551702
Usuwanie (Delete),2,2,2424.126,0.82239294,0.80054903,1.0873829,1.2784529
Usuwanie (Delete),2,4,4902.565,0.8138097,0.792274,1.040698,1.3366722
Usuwanie (Delete),2,8,5443.077,1.4448988,0.980344,1.3405132,29.785814
Usuwanie (Delete),4,1,1247.6246,0.80152315,0.797874,1.0508845,1.1797092
Usuwanie (Delete),4,2,2620.8042,0.75926936,0.751969,0.9567083,1.0726726
Usuwanie (Delete),4,4,4815.695,0.8270033,0.81533897,1.0215677,1.155698
Usuwanie (Delete),4,8,7644.863,1.03738,1.0159605,1.307827,1.5987438
Zapis (Insert),1,1,656.6871,1.5227953,1.006882,1.3563783,32.47557
Zapis (Insert),1,2,2283.5933,0.874317,0.8630725,1.0871232,1.2316122
Zapis (Insert),1,4,1785.7611,2.2185843,0.97052145,1.3012633,56.11152
Zapis (Insert),1,8,2212.2068,3.52162,1.1932185,1.9138081,67.39147
Zapis (Insert),2,1,1036.4735,0.96480995,0.9560305,1.2222947,1.3795896
Zapis (Insert),2,2,2274.04,0.87786144,0.870566,1.0698346,1.1892236
Zapis (Insert),2,4,4071.6362,0.9743805,0.94004047,1.1583714,1.3548716
Zapis (Insert),2,8,4468.634,1.7651902,1.1868119,1.617174,32.890797
Zapis (Insert),4,1,961.0225,1.0405585,1.0349574,1.3075507,1.4739623
Zapis (Insert),4,2,2230.0266,0.8958604,0.8861835,1.1014315,1.2311447
Zapis (Insert),4,4,4076.2783,0.97572166,0.956106,1.1880746,1.5017328
Zapis (Insert),4,8,5850.9746,1.3375533,1.2897635,1.7438831,2.250178
