Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,1139.7761,0.8773653,0.831177,1.1214099,1.3262405
Aktualizacja (Update),1,2,2302.402,0.8663263,0.798747,1.045993,1.315974
Aktualizacja (Update),1,4,4028.8853,0.98324287,0.788087,1.0448923,1.6597166
Aktualizacja (Update),1,8,4045.2126,1.9637388,0.95881903,1.3765911,46.59905
Aktualizacja (Update),2,1,1150.7739,0.86898047,0.8642615,1.1204306,1.2530857
Aktualizacja (Update),2,2,2420.5815,0.82381326,0.81206703,1.0357101,1.196293
Aktualizacja (Update),2,4,4248.1484,0.9385127,0.897246,1.1385138,1.3295285
Aktualizacja (Update),2,8,6604.7485,1.2036425,1.075503,1.3925651,1.8368022
Aktualizacja (Update),4,1,1125.0636,0.88883865,0.88521504,1.1373801,1.2677426
Aktualizacja (Update),4,2,2368.3875,0.84117156,0.8307415,1.0578353,1.2257077
Aktualizacja (Update),4,4,4453.3774,0.8977835,0.880492,1.1021678,1.283865
Aktualizacja (Update),4,8,7107.246,1.1138288,1.0859555,1.4182131,1.7758597
Odczyt (Read),1,1,1867.6807,0.53542346,0.49362552,0.886813,1.07784
Odczyt (Read),1,2,3250.095,0.6145262,0.600085,0.849803,1.0246643
Odczyt (Read),1,4,5370.932,0.74281484,0.617007,0.8452683,1.140801
Odczyt (Read),1,8,7719.2554,1.0289354,0.749881,1.0336605,17.45958
Odczyt (Read),2,1,1852.6903,0.53975564,0.50166297,0.88338435,1.0526975
Odczyt (Read),2,2,3325.0852,0.5991948,0.58561254,0.8262114,0.9533212
Odczyt (Read),2,4,6210.396,0.6416181,0.620605,0.84076715,1.0128983
Odczyt (Read),2,8,9236.383,0.8596978,0.819778,1.053369,1.3123363
Odczyt (Read),4,1,1993.184,0.5017098,0.4551825,0.8230628,0.985175
Odczyt (Read),4,2,3311.8127,0.600332,0.588728,0.8166092,0.9353364
Odczyt (Read),4,4,6129.816,0.650085,0.631857,0.85047203,1.0037354
Odczyt (Read),4,8,9842.862,0.8093609,0.78883946,1.017689,1.2579325
Usuwanie (Delete),1,1,1286.9806,0.7770125,0.76310647,1.0373528,1.1967944
Usuwanie (Delete),1,2,2517.9692,0.793193,0.7312865,0.97396827,1.1952875
Usuwanie (Delete),1,4,4187.607,0.9545703,0.74753547,1.025353,1.3273637
Usuwanie (Delete),1,8,4363.479,1.8264701,0.895238,1.29363,48.896637
Usuwanie (Delete),2,1,1250.0344,0.79997796,0.7930005,1.0440724,1.1993313
Usuwanie (Delete),2,2,2488.2917,0.80221486,0.7914065,1.0202916,1.1785196
Usuwanie (Delete),2,4,4649.839,0.85749304,0.829773,1.0666951,1.2655504
Usuwanie (Delete),2,8,6674.0825,1.1912289,0.9996165,1.3424878,1.858562
Usuwanie (Delete),4,1,1210.6487,0.82600343,0.822197,1.0788893,1.2169777
Usuwanie (Delete),4,2,2583.6401,0.77328014,0.7627975,0.99925745,1.1535672
Usuwanie (Delete),4,4,4686.157,0.8507186,0.8326655,1.0796324,1.2662803
Usuwanie (Delete),4,8,7755.3823,1.0288618,0.998726,1.332567,1.6599821
Zapis (Insert),1,1,1186.786,0.84261185,0.825138,1.1094663,1.2832121
Zapis (Insert),1,2,2363.5388,0.84397656,0.78178596,1.024889,1.2704794
Zapis (Insert),1,4,3858.844,1.0284936,0.8187475,1.0925388,3.2488246
Zapis (Insert),1,8,4173.9443,1.901922,0.95368254,1.3607721,42.844902
Zapis (Insert),2,1,1270.333,0.78719515,0.801921,1.1151195,1.2764254
Zapis (Insert),2,2,2484.7153,0.8048978,0.790423,1.0288807,1.1917009
Zapis (Insert),2,4,4290.6816,0.9310844,0.91091,1.1564623,1.3329893
Zapis (Insert),2,8,6628.2485,1.1969434,1.065732,1.392096,1.8282571
Zapis (Insert),4,1,1176.7366,0.8498078,0.8670505,1.128177,1.2712208
Zapis (Insert),4,2,2473.4026,0.80828345,0.80675054,1.046135,1.2025753
Zapis (Insert),4,4,4311.052,0.9256199,0.90717,1.153376,1.3390391
Zapis (Insert),4,8,7068.824,1.124488,1.0939155,1.4500312,1.805616
