Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,47.792,842.4399999999999,75.204,92.314,0.0,0.0,5
Aktualizacja (Update),1,2,69.378,1036.4928,153.122,123.906,0.0,102.39999999999418,5
Aktualizacja (Update),1,4,80.81833333333333,1109.504,428.1816666666667,252.45,0.0,204.8000000000029,6
Aktualizacja (Update),1,8,99.33470588235296,1202.176,264.7964705882353,432.9617647058824,0.0,512.0,17
Aktualizacja (Update),2,1,52.61666666666667,993.0333333333332,150.17,79.27333333333333,0.0,0.0,6
Aktualizacja (Update),2,2,138.64666666666668,1134.9333333333334,238.59333333333333,132.79999999999998,0.0,1024.0,6
Aktualizacja (Update),2,4,110.20333333333332,1268.0533333333333,447.9583333333333,231.5666666666667,0.0,0.0,6
Aktualizacja (Update),2,8,190.081,1402.368,484.567,401.04,0.0,1024.0,10
Aktualizacja (Update),4,1,70.47833333333334,889.15,115.72333333333334,89.99666666666667,0.0,0.0,6
Aktualizacja (Update),4,2,102.65,1141.9648,202.0,148.98,0.0,0.0,5
Aktualizacja (Update),4,4,229.55142857142852,1081.344,338.56857142857143,227.5,0.0,1024.0,7
Aktualizacja (Update),4,8,160.0275,1409.792,692.67,432.9375,0.0,0.0,8
Odczyt (Read),1,1,43.0975,826.6,129.01749999999998,88.19,0.0,102.40000000000872,4
Odczyt (Read),1,2,67.2575,1019.997,155.895,119.0375,0.0,102.40000000000872,4
Odczyt (Read),1,4,94.696,1087.488,311.194,252.36,0.0,0.0,5
Odczyt (Read),1,8,99.468,1284.7786666666666,261.50466666666665,427.536,0.0,307.1999999999971,15
Odczyt (Read),2,1,33.495,977.825,126.7525,70.99000000000001,0.0,0.0,4
Odczyt (Read),2,2,61.2125,1177.856,151.425,114.795,0.0,0.0,4
Odczyt (Read),2,4,74.514,1255.2192,388.272,216.36,0.0,0.0,5
Odczyt (Read),2,8,183.83125,1460.608,570.7225,403.975,0.0,0.0,8
Odczyt (Read),4,1,72.99,840.825,180.5425,96.0575,0.0,0.0,4
Odczyt (Read),4,2,61.1075,1124.608,210.47,149.175,0.0,0.0,4
Odczyt (Read),4,4,242.22166666666664,1214.464,372.6366666666667,230.6833333333333,0.0,0.0,6
Odczyt (Read),4,8,299.6666666666667,1346.5600000000002,635.4816666666667,434.1166666666666,0.0,0.0,6
Usuwanie (Delete),1,1,44.528,865.9399999999999,171.69199999999998,102.55,0.0,0.0,5
Usuwanie (Delete),1,2,87.23285714285714,990.7405714285716,160.9385714285714,140.64285714285714,0.0,102.39999999999418,7
Usuwanie (Delete),1,4,90.31666666666666,1098.9666666666667,320.46166666666664,236.63333333333333,0.0,102.39999999999418,6
Usuwanie (Delete),1,8,95.346,1130.4352,379.954,425.644,0.0,102.39999999999418,10
Usuwanie (Delete),2,1,55.038,1019.4048,118.2,68.958,0.0,0.0,5
Usuwanie (Delete),2,2,171.62,1026.6496,203.438,133.18,0.0,0.0,5
Usuwanie (Delete),2,4,90.135,1250.4746666666667,468.17,235.03333333333333,0.0,0.0,6
Usuwanie (Delete),2,8,191.94,1301.1626666666666,438.3588888888889,382.2855555555556,0.0,0.0,9
Usuwanie (Delete),4,1,71.59,943.42,121.806,92.174,0.0,0.0,5
Usuwanie (Delete),4,2,98.316,1164.288,218.148,143.84,0.0,0.0,5
Usuwanie (Delete),4,4,153.092,1113.0880000000002,369.528,253.38,0.0,0.0,5
Usuwanie (Delete),4,8,167.70714285714286,1446.4731428571429,551.3942857142857,377.2714285714286,0.0,0.0,7
Zapis (Insert),1,1,89.89666666666668,742.5555555555555,100.55,88.24888888888889,0.0,204.7999999999884,9
Zapis (Insert),1,2,74.15599999999999,914.96,155.23,142.32,0.0,102.39999999999418,5
Zapis (Insert),1,4,99.07833333333332,955.5666666666666,175.61749999999998,243.625,0.0,307.20000000001164,12
Zapis (Insert),1,8,99.315,1121.352,288.20050000000003,442.525,0.0,512.0,20
Zapis (Insert),2,1,139.34,915.8166666666666,111.53166666666668,67.95166666666667,0.0,0.0,6
Zapis (Insert),2,2,78.24166666666666,1080.5386666666666,232.08166666666668,132.41666666666666,0.0,0.0,6
Zapis (Insert),2,4,139.33833333333334,1082.9306666666669,367.29,204.09333333333333,0.0,0.0,6
Zapis (Insert),2,8,183.0218181818182,1339.1127272727272,505.8863636363636,412.10909090909087,0.0,1024.0,11
Zapis (Insert),4,1,268.54,922.8,111.88166666666666,91.95,0.0,1024.0,6
Zapis (Insert),4,2,95.22333333333334,1033.5366666666666,233.54666666666665,148.71666666666667,0.0,0.0,6
Zapis (Insert),4,4,135.47666666666666,1273.344,378.615,220.555,0.0,1024.0,6
Zapis (Insert),4,8,371.23,1221.154,644.655,433.5625,0.0,0.0,8
