Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Dokument JSON: Aktualizacja,1,1,48.336,891.8799999999999,73.286,67.512,0.0,0.0,5
Dokument JSON: Aktualizacja,1,2,67.316,952.06,193.678,102.6,0.0,102.39999999999418,5
Dokument JSON: Aktualizacja,1,4,70.33333333333333,765.0333333333333,389.6616666666667,162.58333333333334,0.0,102.40000000000872,6
Dokument JSON: Aktualizacja,1,8,85.71000000000001,811.05,406.308,282.56,0.0,0.0,10
Dokument JSON: Aktualizacja,2,1,56.682,917.0,76.256,55.162,0.0,0.0,5
Dokument JSON: Aktualizacja,2,2,70.40666666666667,874.1999999999999,244.71833333333333,89.41333333333334,0.0,0.0,6
Dokument JSON: Aktualizacja,2,4,102.955,918.0666666666666,396.0116666666667,156.4,0.0,0.0,6
Dokument JSON: Aktualizacja,2,8,136.66142857142856,845.3000000000001,645.3514285714285,279.54285714285714,0.0,0.0,7
Dokument JSON: Aktualizacja,4,1,69.99,908.1333333333332,110.49833333333332,70.86333333333333,0.0,0.0,6
Dokument JSON: Aktualizacja,4,2,81.41166666666668,867.2333333333332,237.6916666666667,106.23333333333332,0.0,0.0,6
Dokument JSON: Aktualizacja,4,4,116.47833333333334,852.25,326.7866666666667,168.51666666666668,0.0,1024.0,6
Dokument JSON: Aktualizacja,4,8,161.88285714285715,831.9285714285714,680.22,294.4428571428571,0.0,0.0,7
Dokument JSON: Inkrementacja,1,1,44.625,899.9666666666667,145.835,67.51666666666667,0.0,102.40000000000872,6
Dokument JSON: Inkrementacja,1,2,68.376,964.56,204.572,103.12,0.0,0.0,5
Dokument JSON: Inkrementacja,1,4,92.89666666666666,781.8166666666666,331.74833333333333,172.11666666666667,0.0,0.0,6
Dokument JSON: Inkrementacja,1,8,92.008,826.49,420.749,282.286,0.0,102.40000000000872,10
Dokument JSON: Inkrementacja,2,1,50.94166666666666,930.1,111.725,53.675,0.0,0.0,6
Dokument JSON: Inkrementacja,2,2,88.132,896.4200000000001,150.994,89.558,0.0,0.0,5
Dokument JSON: Inkrementacja,2,4,127.985,940.2166666666668,327.5083333333333,151.13333333333333,0.0,0.0,6
