Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,491.09946,2.0362475,1.993031,2.3129144,2.9819376
Aktualizacja (Update),1,2,952.04376,2.1000743,2.027183,2.420817,3.855039
Aktualizacja (Update),1,4,1790.2045,2.2342021,2.097305,2.696555,5.581062
Aktualizacja (Update),1,8,2678.8948,2.9765155,2.348945,4.471879,18.926184
Aktualizacja (Update),2,1,493.8094,2.0250728,1.980949,2.2995753,3.0386574
Aktualizacja (Update),2,2,954.753,2.0947316,2.02564,2.408164,3.8179388
Aktualizacja (Update),2,4,1819.9596,2.1968606,2.070134,2.661002,5.5211267
Aktualizacja (Update),2,8,2993.8975,2.6684835,2.275961,4.006661,8.404942
Aktualizacja (Update),4,1,494.24094,2.0233047,1.9764041,2.290974,3.1360831
Aktualizacja (Update),4,2,955.50195,2.0929353,2.024769,2.407296,3.8394444
Aktualizacja (Update),4,4,1816.7427,2.2009706,2.080202,2.696916,5.3320227
Aktualizacja (Update),4,8,3111.313,2.5625298,2.315357,3.9835553,6.707351
Odczyt (Read),1,1,2530.6106,0.39516157,0.380922,0.49644202,0.568868
Odczyt (Read),1,2,4479.931,0.44584328,0.431977,0.556506,0.6672777
Odczyt (Read),1,4,7192.7236,0.5534042,0.53723,0.668255,0.773647
Odczyt (Read),1,8,5846.5444,1.3662448,1.117061,1.642416,15.600998
Odczyt (Read),2,1,2549.7466,0.39219585,0.378966,0.47946998,0.5565077
Odczyt (Read),2,2,4468.455,0.4471964,0.432324,0.56621546,0.66971934
Odczyt (Read),2,4,7037.0176,0.56664634,0.550988,0.706248,0.806891
Odczyt (Read),2,8,7165.261,1.1142308,1.102326,1.338464,1.5891317
Odczyt (Read),4,1,2504.783,0.3992362,0.383156,0.493298,0.55014896
Odczyt (Read),4,2,4497.8594,0.4444932,0.427235,0.56845903,0.663516
Odczyt (Read),4,4,7235.3154,0.55082935,0.532064,0.6895644,0.785384
Odczyt (Read),4,8,7458.8105,1.0677593,1.051133,1.2781221,1.4801087
Usuwanie (Delete),1,1,496.78464,2.0129447,1.964256,2.2718465,3.4666517
Usuwanie (Delete),1,2,960.3484,2.0825315,1.996592,2.431223,3.9763536
Usuwanie (Delete),1,4,1750.8455,2.2837088,2.064758,3.375426,5.705591
Usuwanie (Delete),1,8,2825.716,2.8268807,2.413899,3.909515,8.506291
Usuwanie (Delete),2,1,495.63904,2.0175974,1.970053,2.2785513,3.4672027
Usuwanie (Delete),2,2,960.8174,2.08139,1.995608,2.405514,4.071821
Usuwanie (Delete),2,4,1811.3142,2.2082415,2.0528836,3.2886117,4.637414
Usuwanie (Delete),2,8,2715.565,2.9417968,2.437932,3.828291,31.447847
Usuwanie (Delete),4,1,495.03513,2.0200586,1.974728,2.282663,3.4166281
Usuwanie (Delete),4,2,960.34326,2.0825565,1.99626,2.399749,4.0748024
Usuwanie (Delete),4,4,1825.101,2.1912057,2.030051,3.288221,4.8375945
Usuwanie (Delete),4,8,2985.442,2.6756487,2.409225,3.8266165,6.8108144
Zapis (Insert),1,1,490.86514,2.0372193,1.987094,2.307671,3.1293755
Zapis (Insert),1,2,954.9622,2.094054,2.0252628,2.399445,3.9030201
Zapis (Insert),1,4,1791.5057,2.232182,2.093534,2.728543,5.6340747
Zapis (Insert),1,8,2809.3857,2.8409126,2.345867,4.432277,8.646802
Zapis (Insert),2,1,493.94525,2.0245159,1.9764789,2.29559,3.1313334
Zapis (Insert),2,2,952.5681,2.099015,2.025006,2.394759,4.0562315
Zapis (Insert),2,4,1792.4104,2.2306457,2.113015,2.688378,5.506325
Zapis (Insert),2,8,3133.9653,2.5504367,2.296006,4.1293783,6.8065825
Zapis (Insert),4,1,491.3682,2.0351338,1.987299,2.314999,3.0995421
Zapis (Insert),4,2,942.9708,2.120326,2.026731,2.405516,4.1252503
Zapis (Insert),4,4,1687.5854,2.3698132,2.105839,2.7840843,7.451353
Zapis (Insert),4,8,3105.5588,2.5705354,2.31885,4.132109,6.590646
