Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,508.3064,1.9673173,1.9470655,2.2167306,2.4384089
Aktualizacja (Update),1,2,1002.7247,1.9942482,1.965368,2.276726,2.6181889
Aktualizacja (Update),1,4,1958.5415,2.0419335,2.001055,2.344052,3.0831985
Aktualizacja (Update),1,8,3456.8262,2.3115845,2.083819,2.612278,3.8453145
Aktualizacja (Update),2,1,507.23135,1.9714869,1.950211,2.2218373,2.4391148
Aktualizacja (Update),2,2,1004.4656,1.9903756,1.962786,2.291815,2.614138
Aktualizacja (Update),2,4,1949.7181,2.050877,2.015099,2.408173,2.941421
Aktualizacja (Update),2,8,3731.9963,2.1424696,2.069506,2.543039,3.5354338
Aktualizacja (Update),4,1,507.65042,1.9698595,1.947982,2.2168095,2.4338791
Aktualizacja (Update),4,2,1006.284,1.9869802,1.9574735,2.265128,2.6091723
Aktualizacja (Update),4,4,1957.8574,2.0423923,2.003643,2.399721,2.9678953
Aktualizacja (Update),4,8,3699.2856,2.1599288,2.08592,2.592068,3.501628
Odczyt (Read),1,1,2663.2173,0.3754857,0.359059,0.44894698,0.4925997
Odczyt (Read),1,2,4828.3,0.4141848,0.403062,0.511876,0.59959936
Odczyt (Read),1,4,7751.7256,0.5151571,0.504332,0.630328,0.711136
Odczyt (Read),1,8,9252.166,0.8614857,0.854802,0.996861,1.110355
Odczyt (Read),2,1,2585.365,0.38679257,0.367862,0.467177,0.517464
Odczyt (Read),2,2,4854.7188,0.41128886,0.395589,0.51781297,0.60756
Odczyt (Read),2,4,7539.1543,0.52840394,0.518441,0.650165,0.735164
Odczyt (Read),2,8,9437.729,0.8444944,0.837622,0.978495,1.083678
Odczyt (Read),4,1,2629.8633,0.3802479,0.363112,0.45837802,0.512157
Odczyt (Read),4,2,4849.69,0.4121561,0.397053,0.51704645,0.613495
Odczyt (Read),4,4,7510.0283,0.5307263,0.514321,0.671955,0.76149297
Odczyt (Read),4,8,9345.366,0.8535506,0.848657,0.982686,1.0863327
Usuwanie (Delete),1,1,506.3207,1.9750328,1.949029,2.219738,2.454968
Usuwanie (Delete),1,2,867.7675,2.3047304,1.972491,2.282732,3.8114507
Usuwanie (Delete),1,4,1932.5175,2.0695453,2.022916,2.422973,3.4050996
Usuwanie (Delete),1,8,3628.6184,2.2029111,2.107164,2.8021784,3.8768532
Usuwanie (Delete),2,1,503.23898,1.9871275,1.961876,2.2349644,2.4645352
Usuwanie (Delete),2,2,995.3613,2.0091307,1.973612,2.28071,2.7242107
Usuwanie (Delete),2,4,1954.7762,2.0460532,1.998127,2.3360295,3.412929
Usuwanie (Delete),2,8,3641.226,2.1944575,2.105269,2.795455,3.830666
Usuwanie (Delete),4,1,506.53632,1.9741921,1.949029,2.2211404,2.4573495
Usuwanie (Delete),4,2,995.9516,2.0079634,1.974306,2.274071,2.724903
Usuwanie (Delete),4,4,1931.5234,2.07046,2.025294,2.4043345,3.4069917
Usuwanie (Delete),4,8,3629.3757,2.2018073,2.108339,2.834632,3.8259087
Zapis (Insert),1,1,408.83856,2.4459531,1.936938,2.2450864,32.370068
Zapis (Insert),1,2,874.14746,2.2878714,1.9575474,2.288531,3.2754192
Zapis (Insert),1,4,1952.5555,2.048577,2.014256,2.3967874,2.8815646
Zapis (Insert),1,8,3685.0706,2.1682315,2.09653,2.66833,3.455454
Zapis (Insert),2,1,506.22482,1.9754069,1.950425,2.2251205,2.4546232
Zapis (Insert),2,2,1011.3405,1.976969,1.9481885,2.241107,2.5679007
Zapis (Insert),2,4,1967.118,2.0329993,1.998336,2.310882,2.8361032
Zapis (Insert),2,8,3686.0015,2.1671016,2.096885,2.652762,3.4514828
Zapis (Insert),4,1,510.51086,1.9588221,1.933385,2.210171,2.4363227
Zapis (Insert),4,2,1006.97424,1.9859228,1.958447,2.273436,2.5895565
Zapis (Insert),4,4,1943.054,2.0581675,2.021522,2.384423,2.9145284
Zapis (Insert),4,8,3706.8604,2.1563659,2.087734,2.580474,3.474808
