Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,43.722307692307695,882.3557692307693,29.87076923076923,113.60288461538462,0.0,2048.0,104
Aktualizacja (Update),1,2,53.64018691588785,1429.121196261682,53.44719626168224,167.55140186915887,0.0,3072.0,107
Aktualizacja (Update),1,4,68.87885964912282,2435.359438596492,102.88754385964911,273.81929824561405,0.0,7168.0,114
Aktualizacja (Update),1,8,96.84598684210526,2922.2265263157897,166.7303289473684,486.5875,2457.5999999999995,13312.0,152
Aktualizacja (Update),2,1,43.935,882.3788461538461,26.01057692307692,83.88336538461539,0.0,2048.0,104
Aktualizacja (Update),2,2,53.73093457943925,1425.9343551401869,51.29934579439252,138.22990654205609,0.0,3072.0,107
Aktualizacja (Update),2,4,69.15357142857142,2460.4525714285714,102.76205357142858,240.3705357142857,0.0,6144.0,112
Aktualizacja (Update),2,8,100.7860294117647,2984.101647058824,182.4054411764706,443.8992647058824,624.6400000000003,13312.0,136
Aktualizacja (Update),4,1,43.755922330097086,882.3242718446602,28.18902912621359,91.2833009708738,0.0,2048.0,103
Aktualizacja (Update),4,2,53.67654205607477,1429.3700186915887,55.43616822429907,145.3485981308411,0.0,3072.0,107
Aktualizacja (Update),4,4,69.47589285714285,2470.253714285714,99.926875,251.2022321428572,0.0,7168.0,112
Aktualizacja (Update),4,8,103.5057251908397,3039.3727022900766,191.18152671755723,465.1458015267176,0.0,13312.0,131
Odczyt (Read),1,1,40.66904761904762,838.0428571428572,80.78428571428572,113.58095238095235,0.0,0.0,21
Odczyt (Read),1,2,63.095652173913045,1315.528347826087,158.0417391304348,167.27826086956523,0.0,0.0,23
Odczyt (Read),1,4,88.40137931034482,2262.2984827586206,299.33758620689656,269.1137931034483,0.00390625,0.0,29
Odczyt (Read),1,8,101.7537142857143,2603.0957714285714,329.3235714285714,490.4,3212.1400000000003,0.0,70
Odczyt (Read),2,1,40.16952380952381,839.0714285714286,75.36428571428571,84.07000000000001,0.0,0.0,21
Odczyt (Read),2,2,64.01083333333334,1315.157333333333,145.08083333333337,138.025,0.0,0.0,24
Odczyt (Read),2,4,88.58500000000001,2281.0624000000003,295.691,241.13666666666668,0.0,0.0,30
Odczyt (Read),2,8,118.47385964912282,2664.268350877193,390.5122807017544,447.8684210526316,2543.94,0.0,57
Odczyt (Read),4,1,40.04761904761905,838.9047619047619,87.36,91.53428571428572,0.0,0.0,21
Odczyt (Read),4,2,63.04913043478261,1316.3742608695652,153.98478260869567,142.3191304347826,0.0,0.0,23
Odczyt (Read),4,4,90.72655172413792,2287.863172413793,282.63241379310347,252.47241379310344,0.0,0.0,29
Odczyt (Read),4,8,108.55418181818182,2688.3537454545453,410.8850909090909,465.58181818181816,0.0,0.0,55
Usuwanie (Delete),1,1,45.460392156862746,672.914705882353,25.488333333333333,114.62941176470588,0.0,1024.0,102
Usuwanie (Delete),1,2,57.29866666666666,950.650361904762,52.48714285714286,168.15714285714284,0.0,3072.0,105
Usuwanie (Delete),1,4,73.19791304347827,1545.7260173913044,95.11765217391304,274.52521739130435,0.0,5120.0,115
Usuwanie (Delete),1,8,90.1258041958042,2751.258853146853,160.21244755244757,479.0447552447552,3256.3200000000006,3072.0,143
Usuwanie (Delete),2,1,45.5663725490196,672.4735294117647,26.419411764705885,84.87725490196078,0.0,1024.0,102
Usuwanie (Delete),2,2,57.21504761904762,949.0586285714286,52.11114285714286,137.93733333333333,0.0,3072.0,105
Usuwanie (Delete),2,4,75.03812500000001,1567.777142857143,97.31535714285714,242.34642857142856,0.744140625,5120.0,112
Usuwanie (Delete),2,8,83.15758389261745,2722.9053422818797,155.2853020134228,438.9386577181208,501.75999999999976,3072.0,149
Usuwanie (Delete),4,1,45.25372549019608,673.0872549019607,27.976960784313725,92.38666666666668,0.0,1024.0,102
Usuwanie (Delete),4,2,57.536,947.1430857142858,52.7064761904762,146.7952380952381,0.0,3072.0,105
Usuwanie (Delete),4,4,74.79117117117117,1581.4337657657657,101.59621621621622,254.66306306306305,0.0,5120.0,111
Usuwanie (Delete),4,8,90.36177777777776,2719.865362962963,165.83118518518518,464.543037037037,0.0,3072.0,135
Zapis (Insert),1,1,45.13317307692308,665.9846153846154,28.353942307692307,113.5076923076923,0.0,2048.0,104
Zapis (Insert),1,2,54.65205607476636,952.1431028037384,54.55,167.6504672897196,0.02001953125,4096.0,107
Zapis (Insert),1,4,70.19219298245613,1446.153754385965,102.82859649122808,273.3035087719298,0.0281249999999999,6144.0,114
Zapis (Insert),1,8,89.37386206896551,2230.807172413793,175.14137931034483,485.2268965517241,23.5759765625,12288.0,145
Zapis (Insert),2,1,44.99213592233009,666.4242718446602,27.994271844660197,83.50194174757283,0.0078125,2048.0,103
Zapis (Insert),2,2,54.45457943925234,948.2929719626168,54.31588785046729,137.2426168224299,0.0205078125,4096.0,107
Zapis (Insert),2,4,69.74929824561404,1446.5908421052632,103.86675438596492,243.9710526315789,0.0478515625,6144.0,114
Zapis (Insert),2,8,96.41569230769232,2280.2921538461537,193.8183076923077,450.9453846153846,6.5295703125,13312.0,130
Zapis (Insert),4,1,45.10826923076923,667.323076923077,26.41625,91.36221153846154,0.0,2048.0,104
Zapis (Insert),4,2,53.976851851851855,950.9216296296296,52.73342592592593,145.0537037037037,0.0,4096.0,108
Zapis (Insert),4,4,66.50256198347108,1408.1181487603303,94.15,252.0876033057851,0.0,6144.0,121
Zapis (Insert),4,8,96.25473282442748,2292.0469923664123,189.79152671755725,463.4641221374046,0.0999999999999978,12288.0,131
