Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,38.88892367906067,341.83405088062625,25.04421722113503,68.2796771037182,0.0,5324.799999999999,1022
Aktualizacja (Update),1,2,47.90033464566929,535.3726377952755,49.05782480314961,110.82391732283465,0.0,6553.599999999999,1016
Aktualizacja (Update),1,4,58.34975609756097,928.2285178236398,97.1282363977486,196.1454971857411,0.0,8908.800000000003,1066
Aktualizacja (Update),1,8,81.588044077135,1737.0697814508724,195.56651056014687,365.95876951331496,0.0,14028.800000000005,1089
Aktualizacja (Update),2,1,39.96341093117409,342.3403846153846,25.623653846153843,48.1098987854251,0.0,5222.4000000000015,988
Aktualizacja (Update),2,2,48.7847005988024,535.5402195608783,50.35373253493015,89.44679640718563,0.0,6553.599999999999,1002
Aktualizacja (Update),2,4,59.927483059051305,930.81403678606,99.1950338818974,171.67096805421102,0.0,8908.799999999996,1033
Aktualizacja (Update),2,8,81.72466117216118,1738.5185054945057,194.5988095238095,338.2630036630037,0.0,14028.800000000005,1092
Aktualizacja (Update),4,1,39.88247734138973,342.55911379657607,25.64328298086606,48.69261832829808,0.0,5324.799999999999,993
Aktualizacja (Update),4,2,48.339522388059706,535.8125373134328,50.077014925373135,91.22232835820896,0.0,6656.0,1005
Aktualizacja (Update),4,4,59.86552657004831,930.3028019323672,99.1734685990338,176.52937198067633,0.0,8908.800000000003,1035
Aktualizacja (Update),4,8,81.18529090909091,1741.269178181818,194.3784,346.00718181818183,0.5,14028.800000000005,1100
Odczyt (Read),1,1,39.821827956989246,326.9139784946237,73.91924731182796,67.32924731182796,0.0,0.0,186
Odczyt (Read),1,2,63.94067632850241,516.3623188405797,150.25280193236716,110.30212560386474,0.0,102.40000000000146,207
Odczyt (Read),1,4,88.77690566037737,898.0569811320755,281.6118867924528,195.97018867924527,0.0,102.40000000000146,265
Odczyt (Read),1,8,104.7243488372093,1687.6162976744188,472.9753255813954,369.9072093023256,0.0,0.0,430
Odczyt (Read),2,1,39.95410810810811,326.8762162162162,74.82691891891892,47.654,0.0,0.0,185
Odczyt (Read),2,2,63.91294685990338,516.4193236714976,150.8753623188406,89.28570048309179,0.0,0.0,207
Odczyt (Read),2,4,88.05234200743494,901.9873605947956,284.05962825278806,172.4516356877323,0.0,102.40000000000146,269
Odczyt (Read),2,8,104.67457943925234,1686.1762990654206,476.7168457943925,343.8004672897196,0.0,0.0,428
Odczyt (Read),4,1,39.43936507936508,326.86825396825395,75.0384126984127,47.92198412698412,0.0,0.0,189
Odczyt (Read),4,2,64.07178743961353,517.0386473429952,149.47536231884058,90.78545893719809,0.0,0.0,207
Odczyt (Read),4,4,88.19667910447761,900.3253731343284,280.96906716417914,175.70682835820895,0.0,102.39999999999418,268
Odczyt (Read),4,8,104.54417249417249,1692.8868251748252,476.9205594405595,349.774358974359,0.0,102.39999999999418,429
Usuwanie (Delete),1,1,41.75307462686567,308.4350248756219,25.432059701492538,68.56468656716417,0.0,5734.4000000000015,1005
Usuwanie (Delete),1,2,50.40310875842156,429.6808469682387,48.44797882579403,111.58854667949952,0.0,7372.799999999996,1039
Usuwanie (Delete),1,4,65.68658373205741,676.2681339712918,98.03761722488038,197.4685167464115,0.0,10444.799999999996,1045
Usuwanie (Delete),1,8,86.58505347593582,1191.339950089127,188.71148841354724,367.5495632798574,0.0080078125,16998.399999999994,1122
Usuwanie (Delete),2,1,42.19369215291751,309.0448692152917,25.50317907444668,48.2312676056338,0.0,5836.799999999999,994
Usuwanie (Delete),2,2,51.49213505461768,429.57388282025823,49.576623634558096,89.19099304865938,0.0,7372.800000000003,1007
Usuwanie (Delete),2,4,66.98119575699133,676.4839922854388,97.71507232401156,172.25737704918032,0.0,10547.199999999995,1037
Usuwanie (Delete),2,8,86.94747136563878,1188.955950660793,187.24337444933923,338.1730396475771,0.00390625,16179.199999999995,1135
Usuwanie (Delete),4,1,42.03639558232932,309.4762048192771,25.50995983935743,49.1681124497992,0.0,5734.4000000000015,996
Usuwanie (Delete),4,2,52.03310891089109,429.4168316831683,49.28880198019802,92.0229504950495,0.0,7475.199999999997,1010
Usuwanie (Delete),4,4,65.2256356736243,674.1576850094876,96.30806451612904,178.08823529411765,0.0,10547.199999999995,1054
Usuwanie (Delete),4,8,86.000625,1188.9287571428572,189.0976428571429,348.20475,0.0999999999999978,15872.0,1120
Zapis (Insert),1,1,38.905529411764704,285.016568627451,24.829274509803923,67.04797058823529,0.0,5222.4,1020
Zapis (Insert),1,2,48.29983300589392,363.29076620825145,49.66497053045187,108.58428290766209,0.0040039062499999,6246.4000000000015,1018
Zapis (Insert),1,4,59.56149666348904,558.5719733079123,97.90845567206864,191.43832221163007,0.01201171875,8192.0,1049
Zapis (Insert),1,8,81.39459833795014,971.122489381348,196.9909325946445,357.24228993536474,0.0119140624999999,12185.600000000006,1083
Zapis (Insert),2,1,40.00503546099291,285.87943262411346,25.914123606889564,47.20743667679838,0.00400390625,5222.4,987
Zapis (Insert),2,2,49.01429141716567,364.9307385229541,50.13188622754491,87.79766467065868,0.0080078124999999,6246.4000000000015,1002
Zapis (Insert),2,4,59.86860329776916,555.7891367604268,99.18866149369543,167.69964112512122,0.02392578125,7987.199999999997,1031
Zapis (Insert),2,8,81.12375231053603,972.3230868761552,196.72964879852125,330.31090573012943,0.04365234375,12185.600000000006,1082
Zapis (Insert),4,1,39.75177532597793,286.1806419257773,25.901183550651957,47.428415245737206,0.0,5222.4,997
Zapis (Insert),4,2,48.78491542288557,364.9803980099503,50.79800995024876,89.0653631840796,0.0,6246.4000000000015,1005
Zapis (Insert),4,4,59.220334288443176,557.295606494747,97.98981852913084,171.91490926456544,0.1000000000000014,7987.200000000004,1047
Zapis (Insert),4,8,80.24526315789474,973.2802976406534,192.9729764065336,337.1915970961888,0.0,12185.600000000006,1102
