Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,254.62964,3.9272726,3.8943639,4.563042,5.0359845
Aktualizacja (Update),1,2,481.01816,4.157389,4.099287,4.8519287,5.6211224
Aktualizacja (Update),1,4,858.6721,4.6546974,4.4995155,5.8522253,7.446405
Aktualizacja (Update),1,8,1480.5414,5.394644,5.0587244,7.2001595,13.381723
Aktualizacja (Update),2,1,222.90742,4.486167,4.122058,4.9680347,19.426638
Aktualizacja (Update),2,2,419.98663,4.760231,4.2724533,5.214515,23.067696
Aktualizacja (Update),2,4,819.36426,4.8786798,4.711487,5.9949913,7.650477
Aktualizacja (Update),2,8,1359.9269,5.8749266,5.084302,8.051472,27.240225
Aktualizacja (Update),4,1,222.15909,4.501279,4.1266594,5.015433,19.447302
Aktualizacja (Update),4,2,420.98105,4.7503514,4.283216,5.2193255,22.99778
Aktualizacja (Update),4,4,827.1674,4.833689,4.7353573,5.978854,7.2407184
Aktualizacja (Update),4,8,1289.3115,6.1929407,5.0534697,9.837853,34.343475
Odczyt (Read),1,1,840.07605,1.1903684,1.120824,1.6850481,2.446792
Odczyt (Read),1,2,1501.0305,1.3316513,1.300314,1.7363071,2.067743
Odczyt (Read),1,4,2795.204,1.4284309,1.3886905,1.7829436,2.1492417
Odczyt (Read),1,8,4331.1514,1.8389727,1.7870125,2.3123786,3.2123609
Odczyt (Read),2,1,810.53864,1.2337475,1.1772275,1.7583154,2.3233323
Odczyt (Read),2,2,1461.6848,1.3665205,1.3365325,1.7731084,2.083606
Odczyt (Read),2,4,2691.4592,1.4858698,1.4497066,1.8423278,2.2411127
Odczyt (Read),2,8,4254.439,1.873756,1.829981,2.3035245,3.1124763
Odczyt (Read),4,1,816.0191,1.2254615,1.1539924,1.8035519,2.494852
Odczyt (Read),4,2,1436.0804,1.391866,1.3634839,1.8104806,2.1300726
Odczyt (Read),4,4,2679.173,1.4886894,1.4591169,1.8227984,2.1362562
Odczyt (Read),4,8,4219.119,1.8910666,1.8452765,2.3514147,3.1126864
Usuwanie (Delete),1,1,251.67177,3.9734297,3.8696704,4.597977,6.259718
Usuwanie (Delete),1,2,498.41937,4.0123396,3.9694934,4.589474,5.4867187
Usuwanie (Delete),1,4,873.2175,4.5781116,4.417947,5.7729573,6.715323
Usuwanie (Delete),1,8,1625.9374,4.9141254,4.6778536,6.3382897,9.773473
Usuwanie (Delete),2,1,217.97148,4.5877557,4.0892444,4.9949975,21.606867
Usuwanie (Delete),2,2,440.71396,4.5375466,4.1143484,4.9830303,20.806726
Usuwanie (Delete),2,4,785.4306,5.0883183,4.565744,6.157787,22.726265
Usuwanie (Delete),2,8,1579.7615,5.0520787,4.742778,6.3646393,16.22806
Usuwanie (Delete),4,1,219.47766,4.5562725,4.0805454,5.01142,19.825848
Usuwanie (Delete),4,2,434.67688,4.6008186,4.1578245,5.0073576,22.019606
Usuwanie (Delete),4,4,850.31415,4.699263,4.4749002,5.8039746,8.46544
Usuwanie (Delete),4,8,1598.7766,4.9922853,4.665074,6.300551,16.431566
Zapis (Insert),1,1,251.80319,3.9713554,3.937772,4.604089,5.1058707
Zapis (Insert),1,2,463.29214,4.3168836,4.1012163,6.396073,7.6299534
Zapis (Insert),1,4,823.8594,4.853532,4.6495476,7.0774918,9.338338
Zapis (Insert),1,8,1427.0923,5.5929093,5.141352,8.041749,14.995306
Zapis (Insert),2,1,238.80937,4.1874404,4.085495,4.8172193,5.3970485
Zapis (Insert),2,2,457.24875,4.372625,4.2437773,5.0382695,6.478882
Zapis (Insert),2,4,764.41846,5.230426,4.7833705,8.191648,16.301023
Zapis (Insert),2,8,1405.7744,5.686096,5.118903,7.957926,19.801546
Zapis (Insert),4,1,238.78168,4.1879263,4.0943365,4.8163123,5.445972
Zapis (Insert),4,2,455.08224,4.3947463,4.2568154,5.075711,6.5939355
Zapis (Insert),4,4,763.3506,5.2335663,4.772984,8.633358,15.553251
Zapis (Insert),4,8,1416.4075,5.637768,5.099208,7.878048,19.285532
