Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,213.9905,4.673105,3.9753265,4.6958356,37.831345
Aktualizacja (Update),1,2,500.33527,3.996979,3.9709554,4.602054,4.9648414
Aktualizacja (Update),1,4,935.0529,4.275087,4.1025424,5.3827033,5.9751244
Aktualizacja (Update),1,8,1696.8367,4.7061915,4.71924,5.8266063,6.667947
Aktualizacja (Update),2,1,253.82883,3.939663,3.9150834,4.5483603,4.9235215
Aktualizacja (Update),2,2,494.0417,4.0479,4.020768,4.6609683,5.070066
Aktualizacja (Update),2,4,883.25323,4.5253477,4.4552097,5.6066227,6.1631107
Aktualizacja (Update),2,8,1665.9843,4.796603,4.832165,5.8121085,6.5215497
Aktualizacja (Update),4,1,247.14151,4.0462646,3.9973102,4.657944,5.062976
Aktualizacja (Update),4,2,483.4433,4.1367145,4.0848665,4.7413516,5.1712637
Aktualizacja (Update),4,4,845.7423,4.7267323,4.5518956,6.264157,8.116261
Aktualizacja (Update),4,8,1542.1094,5.179101,4.834115,7.507578,9.833439
Odczyt (Read),1,1,895.1223,1.1171658,1.077601,1.5863754,1.9116316
Odczyt (Read),1,2,1552.1078,1.2878609,1.262336,1.6906996,1.9874344
Odczyt (Read),1,4,2985.623,1.338853,1.30187,1.6886504,2.0106134
Odczyt (Read),1,8,4422.253,1.800377,1.7366691,2.42257,3.173122
Odczyt (Read),2,1,868.47815,1.1514394,1.098889,1.6996013,2.1071405
Odczyt (Read),2,2,1557.6898,1.2826773,1.2603265,1.6639161,1.9005945
Odczyt (Read),2,4,2942.1665,1.3576844,1.318665,1.6991502,2.0307782
Odczyt (Read),2,8,4374.08,1.8124269,1.7541754,2.326578,3.2306201
Odczyt (Read),4,1,862.87134,1.1589212,1.1096985,1.6686608,2.137043
Odczyt (Read),4,2,1561.3466,1.280823,1.2471715,1.67027,1.9589869
Odczyt (Read),4,4,2943.3875,1.3568869,1.321442,1.6677495,1.9728351
Odczyt (Read),4,8,4483.331,1.7794645,1.7306765,2.2599454,3.107243
Usuwanie (Delete),1,1,254.19041,3.9340587,3.9126034,4.5036707,4.893848
Usuwanie (Delete),1,2,493.24646,4.053967,3.964741,4.6846476,5.3734274
Usuwanie (Delete),1,4,923.31244,4.3300486,4.2024364,5.3664117,6.372462
Usuwanie (Delete),1,8,1653.6531,4.8205237,4.7672453,6.067977,7.249332
Usuwanie (Delete),2,1,253.86429,3.9391124,3.9068635,4.5489736,4.9848995
Usuwanie (Delete),2,2,503.93427,3.9679813,3.943824,4.5537357,4.9128637
Usuwanie (Delete),2,4,924.8644,4.3207116,4.234222,5.282085,5.926163
Usuwanie (Delete),2,8,1660.1058,4.811961,4.8477306,5.8316956,6.5047297
Usuwanie (Delete),4,1,228.48424,4.3766694,4.046358,4.8067155,19.414906
Usuwanie (Delete),4,2,451.73447,4.4273524,4.1091666,4.8588314,19.487259
Usuwanie (Delete),4,4,721.5369,5.534461,4.4940796,17.177763,26.717604
Usuwanie (Delete),4,8,1138.8241,7.0074,4.7936287,25.415932,32.722954
Zapis (Insert),1,1,160.32306,6.237406,5.969872,7.107889,9.080837
Zapis (Insert),1,2,287.9324,6.9460654,6.018601,8.553092,43.046097
Zapis (Insert),1,4,824.24426,4.850536,4.1766543,7.2047143,9.071102
Zapis (Insert),1,8,1316.4143,6.06997,4.553112,7.0874443,40.656532
Zapis (Insert),2,1,170.04199,5.8809,5.8383083,6.8081827,7.4367304
Zapis (Insert),2,2,311.6286,6.4164534,6.486237,8.005186,8.9291
Zapis (Insert),2,4,892.02704,4.482555,4.375896,5.549149,6.05538
Zapis (Insert),2,8,1563.7035,5.097651,4.9044886,7.3947105,8.404934
Zapis (Insert),4,1,160.54436,6.2288084,6.116866,7.3161926,8.903182
Zapis (Insert),4,2,320.03424,6.2492404,6.649972,8.100908,9.033764
Zapis (Insert),4,4,819.0317,4.877527,4.6000266,7.219264,8.329626
Zapis (Insert),4,8,1654.0844,4.827927,4.729906,5.8912764,7.5910068
