Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,40.296956521739126,4737.261449275362,23.16314009661836,115.44913043478262,143.36000000000058,1024.0,207
Aktualizacja (Update),1,2,50.87691244239632,4677.641437788018,45.81230414746544,171.79769585253456,153.59999999999943,4096.0,217
Aktualizacja (Update),1,4,77.2171729957806,4560.662683544304,82.56873417721519,281.75274261603374,440.3200000000006,7168.0,237
Aktualizacja (Update),1,8,94.33436893203884,4680.322899676376,121.72825242718446,480.5241100323625,993.2799999999996,13312.0,309
Aktualizacja (Update),2,1,39.93400943396227,4821.711698113208,24.969198113207547,95.4979245283019,92.15999999999984,2048.0,212
Aktualizacja (Update),2,2,50.58081896551724,4799.779310344828,40.88362068965517,148.3551724137931,163.84000000000017,4096.0,232
Aktualizacja (Update),2,4,75.76208,4559.228928,78.5642,251.8256,471.04,7168.0,250
Aktualizacja (Update),2,8,87.67726993865031,4579.3719754601225,117.38592024539876,461.31469325153375,993.2800000000008,13312.0,326
Aktualizacja (Update),4,1,40.95870192307692,4758.227692307692,25.418221153846154,120.9591346153846,174.07999999999993,2048.0,208
Aktualizacja (Update),4,2,50.96914414414415,4693.158054054054,45.57626126126127,174.890990990991,174.07999999999993,4096.0,222
Aktualizacja (Update),4,4,75.06586776859504,4530.133685950413,77.63665289256198,279.4826446280992,450.5599999999995,7168.0,242
Aktualizacja (Update),4,8,96.74930555555557,4618.410666666667,133.74416666666667,482.2760416666667,1034.2399999999998,13312.0,288
Odczyt (Read),1,1,36.22194029850746,3554.135880597015,61.651343283582094,102.6776119402985,194.55999999999997,0.0,67
Odczyt (Read),1,2,51.89426666666667,3696.8994133333335,123.4684,162.26399999999998,133.12000000000012,0.0,75
Odczyt (Read),1,4,74.53999999999999,3864.600674698796,229.08915662650605,266.2012048192771,337.91999999999985,0.0,83
Odczyt (Read),1,8,95.82223076923076,4259.934523076923,302.87,474.7761538461539,2478.08,0.0,130
Odczyt (Read),2,1,36.26764705882353,3486.027294117647,63.237647058823526,91.40470588235294,163.84000000000017,0.0,68
Odczyt (Read),2,2,51.5522077922078,3632.128,120.14,149.73116883116882,133.1199999999999,0.0,77
Odczyt (Read),2,4,74.5375,3891.651047619048,219.4847619047619,251.24761904761905,327.68000000000006,0.0,84
Odczyt (Read),2,8,105.17806722689076,4321.28,327.0952941176471,456.5581512605042,2232.32,0.0,119
Odczyt (Read),4,1,36.80808823529412,3495.4089411764703,59.36161764705883,102.94323529411766,143.3599999999999,0.0,68
Odczyt (Read),4,2,52.21688311688312,3647.993350649351,119.25103896103896,160.2922077922078,153.60000000000014,0.0,77
Odczyt (Read),4,4,74.11583333333334,3912.1432380952383,220.24011904761903,261.79285714285714,307.1999999999998,0.0,84
Odczyt (Read),4,8,105.094406779661,4330.825762711865,331.2338135593221,469.7350847457627,2355.2000000000003,0.0,118
Usuwanie (Delete),1,1,45.21038277511961,4434.218870813397,24.32861244019139,113.75406698564592,266.2400000000007,2048.0,209
Usuwanie (Delete),1,2,52.92559633027523,4580.5539816513765,39.71247706422018,173.4848623853211,163.83999999999924,1024.0,218
Usuwanie (Delete),1,4,76.62672566371681,4961.411398230089,78.87008849557522,279.7796460176991,296.96000000000004,1024.0,226
Usuwanie (Delete),1,8,94.8883597883598,4724.03437037037,102.31502645502646,489.0949735449735,563.2000000000007,3072.0,378
Usuwanie (Delete),2,1,44.82919811320755,4400.876679245283,23.955283018867927,89.77466981132075,215.04,2048.0,212
Usuwanie (Delete),2,2,51.53752136752137,4544.463863247864,41.11008547008547,145.51324786324787,153.59999999999943,1024.0,234
Usuwanie (Delete),2,4,76.05254310344827,4931.575172413793,78.50521551724138,251.26120689655173,286.72000000000025,1024.0,232
Usuwanie (Delete),2,8,95.01855345911947,4805.488167714885,86.83075471698112,462.2730607966457,542.7200000000003,3072.0,477
Usuwanie (Delete),4,1,43.42137168141593,4460.226831858407,22.394070796460177,118.08185840707964,266.2399999999998,1024.0,226
Usuwanie (Delete),4,2,54.33228971962617,4597.147514018691,42.80542056074766,176.7808411214953,163.84000000000017,1024.0,214
Usuwanie (Delete),4,4,74.07022026431717,4962.497973568282,80.48418502202644,283.18325991189425,337.9200000000001,2048.0,227
Usuwanie (Delete),4,8,99.97465454545454,4743.33184,130.12316363636364,492.2654545454545,542.7200000000003,2048.0,275
Zapis (Insert),1,1,38.84243781094527,690.4258706467662,24.706616915422885,144.96965174129355,0.0,2048.0,201
Zapis (Insert),1,2,51.53942857142857,1172.404857142857,45.04338095238096,198.6023809523809,0.0,3072.0,210
Zapis (Insert),1,4,73.58132478632479,1919.1772991452992,83.47794871794872,301.64444444444445,0.0,7168.0,234
Zapis (Insert),1,8,91.08439446366782,3058.8935086505194,129.36643598615916,486.41660899653976,1289.32,13312.0,289
Zapis (Insert),2,1,38.40419811320754,631.8353773584906,23.387028301886797,97.45231132075472,0.0,2048.0,212
Zapis (Insert),2,2,49.95849785407725,1112.0356223175966,43.613218884120165,150.5909871244635,0.0,4096.0,233
Zapis (Insert),2,4,70.96778210116732,1848.8897743190664,74.64653696498054,251.95291828793776,0.0,7168.0,257
Zapis (Insert),2,8,79.6629909365559,3003.478622356496,114.61963746223564,455.8589425981873,1315.6,13312.0,331
Zapis (Insert),4,1,38.70872641509434,625.9207547169812,23.409481132075477,124.55094339622642,0.0,2048.0,212
Zapis (Insert),4,2,48.217543859649126,1099.475701754386,41.4290350877193,176.21184210526317,0.0,4096.0,228
Zapis (Insert),4,4,69.07926356589148,1826.2603410852716,76.94569767441861,269.4042635658915,10.0,7168.0,258
Zapis (Insert),4,8,86.92724489795918,3033.3039455782314,128.5352380952381,460.3326530612245,1359.28,13312.0,294
