Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Dokument JSON: Aktualizacja,1,1,24.929756097560976,52.18170731707317,23.369268292682925,79.51048780487804,0.0,53.6,41
Dokument JSON: Aktualizacja,1,2,45.86793103448276,66.3944827586207,67.76103448275862,120.04137931034482,0.0,68.0,29
Dokument JSON: Aktualizacja,1,4,56.6975,92.3234375,135.8696875,196.99375,0.0,115.0,32
Dokument JSON: Aktualizacja,1,8,89.53083333333333,119.77222222222224,247.52,341.9833333333333,0.0,235.52,36
Dokument JSON: Aktualizacja,2,1,30.182857142857145,46.533142857142856,35.85485714285714,40.30088571428571,0.0,53.9,35
Dokument JSON: Aktualizacja,2,2,44.87714285714286,61.07642857142857,67.565,78.66357142857143,0.0,67.0,28
Dokument JSON: Aktualizacja,2,4,68.62166666666667,89.99433333333333,142.547,154.89333333333337,0.0,141.0,30
Dokument JSON: Aktualizacja,2,8,91.90277777777776,115.06805555555556,236.8836111111111,301.62111111111113,0.0,245.76000000000025,36
Dokument JSON: Aktualizacja,4,1,28.882571428571428,46.557428571428574,28.068285714285715,40.50657142857143,0.0,52.5,35
Dokument JSON: Aktualizacja,4,2,43.744827586206895,60.81862068965517,68.15379310344828,77.15793103448276,0.0,68.0,29
Dokument JSON: Aktualizacja,4,4,66.87966666666667,88.60333333333332,134.05866666666668,151.03233333333336,0.0,127.0,30
Dokument JSON: Aktualizacja,4,8,92.42138888888888,115.67055555555557,238.61555555555557,298.82444444444445,0.0,235.52,36
Dokument JSON: Inkrementacja,1,1,33.621071428571426,57.07035714285714,43.15357142857143,80.2875,0.0,59.0,28
Dokument JSON: Inkrementacja,1,2,44.78344827586207,74.5051724137931,77.26793103448276,118.97275862068966,0.0,82.0,29
Dokument JSON: Inkrementacja,1,4,64.93379310344827,96.7751724137931,142.10620689655173,195.98275862068965,0.0,150.0,29
Dokument JSON: Inkrementacja,1,8,91.51351351351352,129.91351351351352,238.54486486486485,343.97027027027025,0.0,276.48,37
Dokument JSON: Inkrementacja,2,1,34.98428571428572,51.34035714285714,55.04535714285714,41.041428571428575,0.0,60.0,28
Dokument JSON: Inkrementacja,2,2,45.36821428571428,68.525,67.41642857142857,76.58642857142857,0.0,84.0,28
Dokument JSON: Inkrementacja,2,4,69.536,94.51533333333332,151.245,152.75566666666666,0.0,193.0,30
Dokument JSON: Inkrementacja,2,8,90.81194444444444,127.11666666666666,258.4811111111111,304.04999999999995,0.0,276.48,36
Dokument JSON: Inkrementacja,4,1,34.55777777777777,51.67407407407408,33.8662962962963,40.88111111111111,0.0,57.0,27
Dokument JSON: Inkrementacja,4,2,43.88275862068965,68.44827586206897,77.28793103448275,78.5944827586207,0.0,76.0,29
Dokument JSON: Inkrementacja,4,4,68.37066666666666,93.219,142.57700000000003,154.97,0.0,151.0,30
Dokument JSON: Inkrementacja,4,8,91.51837837837836,124.76216216216216,257.1464864864865,304.4567567567568,0.0,286.72,37
Dokument JSON: Odczyt,1,1,30.461428571428574,51.17714285714286,68.33428571428571,57.26714285714286,0.0,0.7999999999999972,7
Dokument JSON: Odczyt,1,2,39.3275,66.3875,171.29125,113.58375,0.0,2.0,8
Dokument JSON: Odczyt,1,4,47.07666666666667,90.07333333333332,310.9144444444444,187.9888888888889,0.0,3.0,9
Dokument JSON: Odczyt,1,8,84.74454545454545,117.04545454545456,487.9745454545455,332.6454545454545,0.0,10.240000000000007,11
Dokument JSON: Odczyt,2,1,26.641428571428573,45.23428571428571,106.30571428571427,38.19,0.0,1.2000000000000028,7
Dokument JSON: Odczyt,2,2,39.52222222222222,60.18666666666666,192.9333333333333,77.33999999999999,0.0,3.0,9
Dokument JSON: Odczyt,2,4,56.535,86.76625,248.53875,134.2375,0.0,4.0,8
Dokument JSON: Odczyt,2,8,84.35454545454546,113.43636363636364,475.6890909090909,284.90000000000003,0.0,0.0,11
Dokument JSON: Odczyt,4,1,28.512857142857143,45.315714285714286,134.77142857142857,39.78428571428572,0.0,1.3999999999999986,7
Dokument JSON: Odczyt,4,2,42.20625,60.95625,145.57875,72.42375,0.0,2.0,8
Dokument JSON: Odczyt,4,4,51.7,85.44333333333333,265.96888888888884,141.77555555555557,0.0,3.0,9
Dokument JSON: Odczyt,4,8,81.05083333333333,111.51666666666668,514.0175,290.59166666666664,0.0,0.0,12
Dokument JSON: Odczyt częściowy,1,1,27.15,50.951428571428565,99.91714285714284,75.25142857142858,0.0,0.7999999999999972,7
Dokument JSON: Odczyt częściowy,1,2,41.2675,64.81125,134.87125,117.8125,0.0,1.0,8
Dokument JSON: Odczyt częściowy,1,4,55.32125,89.0025,255.31375,194.7375,0.0,0.0,8
Dokument JSON: Odczyt częściowy,1,8,83.29727272727273,109.76363636363637,506.46454545454543,337.55454545454546,0.0,0.0,11
Dokument JSON: Odczyt częściowy,2,1,29.76,45.71625,66.73,37.22125,0.0,0.1999999999999957,8
Dokument JSON: Odczyt częściowy,2,2,42.9025,58.6425,126.91125,78.06125,0.0,0.0,8
Dokument JSON: Odczyt częściowy,2,4,51.76875,86.94125,284.57625,148.1625,0.0,1.0,8
Dokument JSON: Odczyt częściowy,2,8,80.27545454545454,104.36727272727272,506.94545454545454,287.3636363636364,0.0,0.0,11
Dokument JSON: Odczyt częściowy,4,1,30.00714285714286,45.212857142857146,66.64142857142858,39.89,0.0,0.1000000000000014,7
Dokument JSON: Odczyt częściowy,4,2,41.01375,59.33125,141.86,74.4775,0.0,0.0,8
Dokument JSON: Odczyt częściowy,4,4,51.30444444444444,84.50111111111111,279.1255555555556,151.64444444444445,0.0,1.0,9
Dokument JSON: Odczyt częściowy,4,8,86.10181818181819,104.71818181818183,468.96636363636367,296.55454545454546,0.0,10.240000000000007,11
Dokument JSON: Usuwanie,1,1,36.93,60.2805,23.3155,80.65599999999999,0.0,58.0,20
Dokument JSON: Usuwanie,1,2,46.92,69.5985,45.9565,119.57,0.0,76.0,20
Dokument JSON: Usuwanie,1,4,67.24869565217391,95.8708695652174,104.08260869565218,194.1217391304348,0.0,179.4000000000001,23
Dokument JSON: Usuwanie,1,8,82.98461538461538,132.52692307692308,172.97307692307692,333.6423076923077,0.0,245.76,26
Dokument JSON: Usuwanie,2,1,38.8755,54.8405,42.1995,42.141000000000005,0.0,58.0,20
Dokument JSON: Usuwanie,2,2,46.107619047619046,64.11761904761904,60.591904761904765,76.28190476190477,0.0,78.0,21
Dokument JSON: Usuwanie,2,4,71.50208333333333,93.30791666666666,84.54083333333334,147.065375,0.0,174.07999999999993,24
Dokument JSON: Usuwanie,2,8,83.96333333333332,130.47916666666666,157.65666666666667,291.32575,0.0,235.52,24
Dokument JSON: Usuwanie,4,1,37.5852380952381,54.69333333333333,27.88571428571429,42.12857142857143,0.0,60.0,21
Dokument JSON: Usuwanie,4,2,49.44809523809524,64.03190476190477,48.20761904761905,74.11404761904762,0.0,81.0,21
