Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,16795.578,0.059539482,0.007682,0.018507998,1.132915
Aktualizacja (Update),2,1,19045.09,0.052506972,0.007682,0.017111,1.132287
Aktualizacja (Update),4,1,6140.3174,0.16285802,0.007683004,1.095968,1.4025778
Odczyt (Read),1,1,152354.34,0.0065636463,0.0033530013,0.0080320025,0.0120830005
Odczyt (Read),2,1,247609.1,0.0040386235,0.003352994,0.007962001,0.0115239965
Odczyt (Read),4,1,248610.67,0.0040223533,0.0033530013,0.0077520018,0.011314995
Usuwanie (Delete),1,1,145086.73,0.006892429,0.003841,0.004400004,0.008520001
Usuwanie (Delete),2,1,230015.3,0.0043475367,0.003841,0.004401001,0.008102004
Usuwanie (Delete),4,1,169328.67,0.0059056743,0.003841,0.004399997,0.0077520018
Zapis (Insert),1,1,24660.611,0.040550493,0.0077519943,0.016134,1.1051208
Zapis (Insert),2,1,27559.648,0.036284935,0.007683004,0.013340003,1.1041424
Zapis (Insert),4,1,27527.605,0.036327172,0.0077519943,0.013479999,1.1062374
