Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,207584.45,0.0048173163,0.003841,0.006285998,0.008381001
Aktualizacja (Update),2,1,243229.89,0.004111337,0.003841,0.0053770547,0.008101997
Aktualizacja (Update),4,1,241171.61,0.0041464246,0.003841,0.005588001,0.008102004
Odczyt (Read),1,1,344193.62,0.0029053413,0.0028629948,0.003702,0.004400004
Odczyt (Read),2,1,354113.4,0.0028239542,0.0028629948,0.003422996,0.0043300022
Odczyt (Read),4,1,343736.84,0.0029092021,0.002863002,0.0037710052,0.004679001
Usuwanie (Delete),1,1,245955.98,0.0040657683,0.003772002,0.0043300022,0.007474002
Usuwanie (Delete),2,1,257338.34,0.0038859346,0.003772002,0.0043299953,0.0070550013
Usuwanie (Delete),4,1,259404.3,0.003854986,0.003772002,0.0042610043,0.0070539974
Zapis (Insert),1,1,199240.62,0.0050190566,0.0038420039,0.006565002,0.008590003
Zapis (Insert),2,1,235302.23,0.0042498535,0.0038420039,0.0056569986,0.008171999
Zapis (Insert),4,1,233888.05,0.0042755497,0.0039110016,0.005657006,0.008171002
