Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Aktualizacja (Update),1,1,99.95333333333332,33.12,0.0120117187499999,321.0,6
Aktualizacja (Update),2,1,126.48,32.588,0.0080078125,343.0,5
Aktualizacja (Update),4,1,129.74200000000002,32.326,0.003994140625,330.0,5
Odczyt (Read),1,1,98.66,29.6175,0.0,0.0,4
Odczyt (Read),2,1,107.8575,29.4775,0.0,6.0,4
Odczyt (Read),4,1,107.3475,29.38,0.0,19.0,4
Usuwanie (Delete),1,1,100.094,37.936,0.0,99.0,5
Usuwanie (Delete),2,1,109.15,32.4525,0.0,26.0,4
Usuwanie (Delete),4,1,124.32,33.300000000000004,0.0,24.0,4
Zapis (Insert),1,1,99.76,28.81,0.00400390625,408.2,6
Zapis (Insert),2,1,117.76,29.128,0.00400390625,371.0,5
Zapis (Insert),4,1,139.93,28.862,0.00400390625,400.6,5
