Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,3386.8997,0.29525527,0.0069939997,1.2147747,1.5203184
Aktualizacja (Update),2,1,3367.226,0.29698035,0.007084003,1.2134174,1.5201793
Aktualizacja (Update),4,1,3171.7046,0.31528786,0.007665003,1.219224,1.5389749
Odczyt (Read),1,1,345608.22,0.0028934497,0.0018040009,0.0061620083,0.0109120915
Odczyt (Read),2,1,418594.4,0.0023889474,0.0017740094,0.006082002,0.010962001
Odczyt (Read),4,1,422704.97,0.0023657163,0.0017730054,0.0062120087,0.011241015
Usuwanie (Delete),1,1,323432.3,0.003091837,0.0023439934,0.0028259964,0.0067530153
Usuwanie (Delete),2,1,301950.9,0.0033117968,0.0023449974,0.0028350041,0.006163098
Usuwanie (Delete),4,1,348112.8,0.002872632,0.0023040047,0.0028059876,0.0065420126
Zapis (Insert),1,1,8689.678,0.11507906,0.007153998,0.07331699,1.2278379
Zapis (Insert),2,1,9325.412,0.10723387,0.006903996,0.060218997,1.2113401
Zapis (Insert),4,1,9567.281,0.1045229,0.0068930094,0.05917605,1.208898
