Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,359057.97,0.0027850654,0.0023649917,0.00480905,0.007234994
Aktualizacja (Update),2,1,383264.94,0.0026091612,0.002285,0.004398546,0.0073240935
Aktualizacja (Update),4,1,369838.28,0.0027038846,0.0023350003,0.004699502,0.0079461
Odczyt (Read),1,1,809423.25,0.0012354475,0.0011729862,0.0015229889,0.0020040025
Odczyt (Read),2,1,768845.6,0.0013006511,0.0011930097,0.0017629936,0.0023450872
Odczyt (Read),4,1,813082.7,0.0012298872,0.0011530065,0.0015229889,0.0020941058
Usuwanie (Delete),1,1,406159.25,0.0024620886,0.002315006,0.0025564497,0.0054210857
Usuwanie (Delete),2,1,413545.94,0.002418111,0.0022839957,0.0024949985,0.0057816957
Usuwanie (Delete),4,1,406969.4,0.0024571873,0.002285,0.0027560017,0.0057010134
Zapis (Insert),1,1,346143.28,0.002888977,0.0024850015,0.005040497,0.007745999
Zapis (Insert),2,1,364661.28,0.002742271,0.0024850015,0.0033065057,0.007385095
Zapis (Insert),4,1,340108.38,0.0029402394,0.002565008,0.005060506,0.008627201
