Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,31090.12,0.03216456,0.029962001,0.045537,0.04714469
Aktualizacja (Update),1,2,58673.082,0.032138396,0.029613001,0.038134,0.047002997
Aktualizacja (Update),1,4,114100.71,0.030654779,0.029125,0.03974,0.045258
Aktualizacja (Update),1,8,115852.81,0.06382027,0.023815999,0.050495997,0.0635577
Aktualizacja (Update),2,1,31034.457,0.03222225,0.030031996,0.045747,0.047563
Aktualizacja (Update),2,2,58686.273,0.033123344,0.032896,0.038202997,0.046235997
Aktualizacja (Update),2,4,115114.38,0.030368548,0.029124,0.03995,0.045327995
Aktualizacja (Update),2,8,172864.25,0.040815733,0.041208,0.055738457,0.06250899
Aktualizacja (Update),4,1,30818.438,0.03244811,0.030033,0.046376,0.048190996
Aktualizacja (Update),4,2,59810.18,0.032455392,0.028705003,0.039601,0.046723995
Aktualizacja (Update),4,4,123384.69,0.030031437,0.029055001,0.038134,0.046305
Aktualizacja (Update),4,8,160797.36,0.03948989,0.038134,0.057270996,0.067328
Odczyt (Read),1,1,15621.809,0.06401307,0.058178,0.077525,0.084928
Odczyt (Read),1,2,34173.535,0.058162976,0.055594,0.071029,0.092471704
Odczyt (Read),1,4,39808.777,0.09796492,0.061811,0.077734,0.1000847
Odczyt (Read),1,8,36969.684,0.20436184,0.082693,0.10364945,0.1689497
Odczyt (Read),2,1,16540.473,0.060457762,0.055664,0.074452,0.082484
Odczyt (Read),2,2,31212.75,0.063426,0.057200994,0.075011,0.083392
Odczyt (Read),2,4,63152.75,0.05979267,0.056293,0.07375306,0.081436
Odczyt (Read),2,8,83982.37,0.09311452,0.073334,0.087791994,0.108605
Odczyt (Read),4,1,14942.646,0.06692255,0.07103,0.07857645,0.084859
Odczyt (Read),4,2,31197.16,0.061752446,0.056781996,0.073823996,0.083951004
Odczyt (Read),4,4,58805.465,0.061839405,0.057550002,0.074522,0.082833
Odczyt (Read),4,8,91138.766,0.0852067,0.086395,0.100085005,0.1105617
Usuwanie (Delete),1,1,82855.39,0.01206922,0.010545999,0.01299,0.07005269
Usuwanie (Delete),1,2,145098.56,0.012986865,0.010895001,0.01313,0.034781013
Usuwanie (Delete),1,4,354636.2,0.011200433,0.010615997,0.0122919995,0.030940002
Usuwanie (Delete),1,8,598027.2,0.0126100285,0.011872998,0.013969002,0.04002
Usuwanie (Delete),2,1,85393.945,0.011710432,0.010545999,0.01299,0.034781016
Usuwanie (Delete),2,2,147186.17,0.013485476,0.010616001,0.011873999,0.030031996
Usuwanie (Delete),2,4,351957.28,0.011272185,0.010616001,0.012502002,0.031988
Usuwanie (Delete),2,8,601368.94,0.012714955,0.011873002,0.014107995,0.03995
Usuwanie (Delete),4,1,84633.37,0.011815671,0.010545999,0.011942997,0.069074
Usuwanie (Delete),4,2,144902.83,0.013613124,0.010825999,0.012780998,0.033384997
Usuwanie (Delete),4,4,351102.16,0.011183014,0.010545999,0.012363002,0.030520998
Usuwanie (Delete),4,8,599993.5,0.01249765,0.011803,0.014178004,0.04002
Zapis (Insert),1,1,28687.615,0.03485825,0.032966003,0.045886002,0.05112401
Zapis (Insert),1,2,64113.68,0.030812984,0.027656998,0.045746002,0.047702
Zapis (Insert),1,4,114587.59,0.032740172,0.027168,0.041277003,0.054407693
Zapis (Insert),1,8,133444.08,0.05396897,0.017251002,0.046724,0.066839
Zapis (Insert),2,1,26864.89,0.0372233,0.037994,0.046306,0.053918015
Zapis (Insert),2,2,57957.14,0.03286415,0.030520998,0.041975997,0.048751403
Zapis (Insert),2,4,132787.4,0.029142719,0.030520998,0.037995,0.043721005
Zapis (Insert),2,8,238898.2,0.027953394,0.026679998,0.045047995,0.061531
Zapis (Insert),4,1,28094.928,0.035593614,0.033803996,0.045956004,0.05063501
Zapis (Insert),4,2,58269.727,0.03376294,0.031988,0.044909,0.047563
Zapis (Insert),4,4,125954.27,0.028803492,0.029124996,0.038204003,0.043931004
Zapis (Insert),4,8,236790.0,0.028076319,0.024934001,0.04414445,0.062718995
