Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,62058.61,0.0161138,0.012432,0.035283953,0.058039002
Aktualizacja (Update),1,2,106682.984,0.01839614,0.012502002,0.035688996,0.058248
Aktualizacja (Update),1,4,279790.44,0.01426897,0.012221998,0.03101,0.033315003
Aktualizacja (Update),1,8,402848.94,0.018199984,0.014457,0.041835,0.051264
Aktualizacja (Update),2,1,60219.72,0.016605856,0.013130004,0.036667,0.058248
Aktualizacja (Update),2,2,100392.87,0.018227162,0.012991004,0.037086997,0.05957669
Aktualizacja (Update),2,4,262789.66,0.014485153,0.012153002,0.031918004,0.036319
Aktualizacja (Update),2,8,409494.8,0.016832363,0.013758996,0.038623,0.046585
Aktualizacja (Update),4,1,60782.402,0.01645213,0.01299,0.036667056,0.05776
Aktualizacja (Update),4,2,100553.75,0.019620413,0.012780998,0.036248,0.059644997
Aktualizacja (Update),4,4,184100.42,0.018253274,0.012711003,0.03603805,0.065303
Aktualizacja (Update),4,8,403997.5,0.01760343,0.014457,0.041068,0.048121
Odczyt (Read),1,1,19314.695,0.051774047,0.047143,0.061531004,0.07144969
Odczyt (Read),1,2,33587.082,0.054678027,0.056293,0.064115,0.072147
Odczyt (Read),1,4,57795.977,0.0671132,0.051055003,0.062928,0.07501001
Odczyt (Read),1,8,49308.17,0.15445814,0.070190996,0.088699006,0.118313
Odczyt (Read),2,1,17103.31,0.05846821,0.059157,0.06684345,0.071449004
Odczyt (Read),2,2,33114.99,0.055989813,0.056364,0.064394996,0.073126405
Odczyt (Read),2,4,70010.625,0.053365577,0.048679996,0.06425505,0.081018
Odczyt (Read),2,8,113732.66,0.068700366,0.064884,0.077735,0.095615
Odczyt (Read),4,1,20258.666,0.049361594,0.046236005,0.060134,0.069912
Odczyt (Read),4,2,32581.543,0.057391148,0.055804003,0.064814,0.073194005
Odczyt (Read),4,4,67770.734,0.052593134,0.051544003,0.06223,0.0720087
Odczyt (Read),4,8,113927.47,0.06706167,0.066769,0.07969,0.0973607
Usuwanie (Delete),1,1,84394.01,0.011849183,0.010895001,0.012012999,0.07096069
Usuwanie (Delete),1,2,136506.84,0.013434547,0.011034997,0.013059998,0.03617801
Usuwanie (Delete),1,4,264150.62,0.012165295,0.010616001,0.0122919995,0.030521002
Usuwanie (Delete),1,8,366670.94,0.014561383,0.011803,0.014317,0.041975
Usuwanie (Delete),2,1,83875.54,0.0119224265,0.0108950045,0.012012999,0.071659
Usuwanie (Delete),2,2,161790.03,0.012350624,0.011174997,0.013270001,0.07340471
Usuwanie (Delete),2,4,351676.38,0.0111691505,0.010547003,0.012293,0.030033
Usuwanie (Delete),2,8,527235.25,0.012605627,0.011315002,0.013758996,0.040858
Usuwanie (Delete),4,1,84702.64,0.011806008,0.010894997,0.011873002,0.07103069
Usuwanie (Delete),4,2,160522.75,0.0123909535,0.011245,0.013409001,0.076268
Usuwanie (Delete),4,4,354989.88,0.011124157,0.010545999,0.012292002,0.03101
Usuwanie (Delete),4,8,521115.25,0.012640509,0.011384,0.013829005,0.037225995
Zapis (Insert),1,1,62174.234,0.016083833,0.0125009995,0.0391329,0.05734
Zapis (Insert),1,2,103274.79,0.01889711,0.012501001,0.03562,0.057130996
Zapis (Insert),1,4,265596.97,0.014401486,0.012082998,0.031499002,0.03582901
Zapis (Insert),1,8,433644.5,0.015773566,0.012991,0.035829,0.043303
Zapis (Insert),2,1,62902.316,0.015897665,0.012502002,0.031988,0.058248997
Zapis (Insert),2,2,112530.13,0.016922105,0.012781005,0.03576,0.05776
Zapis (Insert),2,4,261741.48,0.014741474,0.012293,0.032896,0.037296005
Zapis (Insert),2,8,399393.16,0.016944747,0.013689001,0.038832005,0.046724997
Zapis (Insert),4,1,63158.758,0.015833117,0.012432,0.031917997,0.057619996
Zapis (Insert),4,2,107590.96,0.018181838,0.012502002,0.03527,0.041067015
Zapis (Insert),4,4,274314.12,0.014391254,0.012291996,0.031429,0.03429369
Zapis (Insert),4,8,367090.44,0.018255811,0.014597004,0.042045,0.069563
