Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,9.02,27.085,321.4,27.22,0.0,0.0,2
Aktualizacja (Update),1,2,20.11,51.455,202.39,48.465,0.0,0.0,2
Aktualizacja (Update),1,4,35.41,100.3,493.59,90.88,0.0,0.0,2
Aktualizacja (Update),1,8,75.245,199.35,788.78,180.10000000000002,0.0,0.0,2
Aktualizacja (Update),2,1,10.915,27.19,100.24,23.985,0.0,0.0,2
Aktualizacja (Update),2,2,20.86,51.900000000000006,298.08,46.085,0.0,0.0,2
Aktualizacja (Update),2,4,39.605,100.55,503.225,88.32499999999999,0.0,0.0,2
Aktualizacja (Update),2,8,73.09,196.75,850.56,149.14999999999998,0.0,0.0,2
Aktualizacja (Update),4,1,10.935,29.2,100.325,27.41,0.0,0.0,2
Aktualizacja (Update),4,2,22.11,53.39,306.68,48.865,0.0,0.0,2
Aktualizacja (Update),4,4,39.915,101.95,503.56,91.085,0.0,0.0,2
Aktualizacja (Update),4,8,71.36,196.6,793.425,163.75,0.0,0.0,2
Odczyt (Read),1,1,25.18,27.8075,190.2575,26.725,0.0,0.0,4
Odczyt (Read),1,2,53.78,51.5,156.3375,42.6525,0.0,0.0,4
Odczyt (Read),1,4,90.844,100.6,303.266,91.196,0.0,0.0,5
Odczyt (Read),1,8,95.88111111111112,196.84444444444443,396.7466666666666,164.07555555555555,0.0,0.0,9
Odczyt (Read),2,1,26.515,27.1425,76.85499999999999,23.8075,0.0,0.0,4
Odczyt (Read),2,2,54.9175,52.0275,154.69,45.7325,0.0,0.0,4
Odczyt (Read),2,4,94.7475,100.55,419.0675,88.1875,0.0,0.0,4
Odczyt (Read),2,8,174.196,196.4,602.042,163.42000000000002,0.0,0.0,5
Odczyt (Read),4,1,26.4425,29.3375,108.8625,27.1225,0.0,0.0,4
Odczyt (Read),4,2,54.915000000000006,53.3375,155.0,48.3975,0.0,0.0,4
Odczyt (Read),4,4,94.5975,102.275,403.085,90.68,0.0,0.0,4
Odczyt (Read),4,8,168.292,196.6,665.7819999999999,171.7,0.0,0.0,5
Usuwanie (Delete),1,1,7.28,27.38,113.96,35.03,0.0,0.0,1
Usuwanie (Delete),1,2,32.385,59.575,303.57,69.435,0.0,0.0,2
Usuwanie (Delete),1,4,24.995,100.45,787.625,133.2,0.0,0.0,2
Usuwanie (Delete),1,8,38.675,197.9,580.055,103.945,0.0,0.0,2
Usuwanie (Delete),2,1,16.34,34.12,150.76999999999998,34.730000000000004,0.0,0.0,2
Usuwanie (Delete),2,2,32.525,54.475,402.935,66.88499999999999,0.0,0.0,2
Usuwanie (Delete),2,4,45.79,100.4,791.61,130.51999999999998,0.0,0.0,2
Usuwanie (Delete),2,8,24.75,197.35,652.18,101.235,0.0,0.0,2
Usuwanie (Delete),4,1,17.17,35.16,150.75,37.725,0.0,0.0,2
Usuwanie (Delete),4,2,33.84,55.815,426.0750000000001,69.75999999999999,0.0,0.0,2
Usuwanie (Delete),4,4,36.44,102.05,816.845,133.79000000000002,0.0,0.0,2
Usuwanie (Delete),4,8,30.75,197.0,650.375,103.645,0.0,0.0,2
Zapis (Insert),1,1,16.355,25.93,278.145,26.585,0.0,0.0,2
Zapis (Insert),1,2,28.68,40.120000000000005,389.73,48.18,0.0,0.0,2
Zapis (Insert),1,4,68.61,84.30000000000001,429.96,90.97,0.0,0.0,2
Zapis (Insert),1,8,64.94,146.65,779.71,92.0295,0.0,0.0,2
Zapis (Insert),2,1,20.75,25.34,84.905,23.965,0.0,0.0,2
Zapis (Insert),2,2,44.635,46.45,170.09,45.36,0.0,0.0,2
Zapis (Insert),2,4,62.895,78.815,492.345,88.03999999999999,0.0,0.0,2
Zapis (Insert),2,8,83.74000000000001,148.3,846.665,146.5,0.0,0.0,2
Zapis (Insert),4,1,21.155,27.135,149.14,27.095,0.0,0.0,2
Zapis (Insert),4,2,44.330000000000005,47.46,170.365,48.275000000000006,0.0,0.0,2
Zapis (Insert),4,4,65.755,80.33,497.465,90.725,0.0,0.0,2
Zapis (Insert),4,8,87.125,150.35,865.1800000000001,111.075,0.0,0.0,2
