Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,23938.418,0.041773856,0.049227003,0.062432997,0.0824325
Aktualizacja (Update),1,2,46045.37,0.04255976,0.036581993,0.069998,0.0892661
Aktualizacja (Update),1,4,59208.53,0.057634477,0.0228895,0.08007701,0.1109882
Aktualizacja (Update),1,8,93417.59,0.07786184,0.009929004,0.045329046,0.094987
Aktualizacja (Update),2,1,24866.486,0.04021477,0.048033994,0.062042,0.0848974
Aktualizacja (Update),2,2,48639.46,0.04003301,0.042237997,0.06787401,0.08902499
Aktualizacja (Update),2,4,60919.19,0.064739816,0.06848499,0.095458,0.119905
Aktualizacja (Update),2,8,125423.56,0.0542408,0.025921006,0.084727,0.11354409
Aktualizacja (Update),4,1,24052.85,0.04157512,0.049066003,0.062844,0.08416609
Aktualizacja (Update),4,2,51321.05,0.038652398,0.0403945,0.06461699,0.08105012
Aktualizacja (Update),4,4,59599.73,0.06550244,0.06919701,0.094998,0.114165
Aktualizacja (Update),4,8,172293.08,0.043531798,0.035360005,0.093133,0.11829301
Odczyt (Read),1,1,7403.628,0.13506892,0.119445,0.22015251,0.29539
Odczyt (Read),1,2,11909.663,0.16699846,0.144594,0.25547108,0.31432706
Odczyt (Read),1,4,11654.986,0.34221402,0.162588,0.23843825,0.3480201
Odczyt (Read),1,8,13392.805,0.5905845,0.181026,0.28497,0.44899198
Odczyt (Read),2,1,5580.045,0.17921004,0.130848,0.3630647,0.5365073
Odczyt (Read),2,2,12099.635,0.1651686,0.148441,0.254159,0.30567107
Odczyt (Read),2,4,22836.26,0.17395598,0.16500899,0.2302181,0.27537608
Odczyt (Read),2,8,26006.402,0.30595985,0.188996,0.281393,0.379507
Odczyt (Read),4,1,7484.54,0.13360874,0.11790301,0.21994904,0.3026591
Odczyt (Read),4,2,12356.748,0.16144131,0.1427525,0.25313,0.30529824
Odczyt (Read),4,4,22945.752,0.17329398,0.16493,0.22964409,0.27172706
Odczyt (Read),4,8,38499.8,0.20553239,0.200947,0.2920972,0.3527141
Usuwanie (Delete),1,1,219023.11,0.0045657284,0.0029359944,0.008767994,0.054797098
Usuwanie (Delete),1,2,496285.3,0.003959445,0.0030060036,0.0043580076,0.024447989
Usuwanie (Delete),1,4,721375.06,0.0049446607,0.0033570104,0.0064129997,0.059427097
Usuwanie (Delete),1,8,903861.0,0.005828673,0.003586989,0.0057720025,0.023967104
Usuwanie (Delete),2,1,214867.72,0.004654026,0.0030060036,0.008206999,0.056952305
Usuwanie (Delete),2,2,423458.1,0.0046756626,0.003025998,0.008756993,0.057331998
Usuwanie (Delete),2,4,670551.75,0.0056320904,0.0033459945,0.009488998,0.064817
Usuwanie (Delete),2,8,1064399.4,0.006940714,0.0049100053,0.010971999,0.0695871
Usuwanie (Delete),4,1,214483.34,0.004662367,0.003025998,0.008738453,0.056441
Usuwanie (Delete),4,2,441274.22,0.0044827056,0.0030060036,0.008888004,0.055059005
Usuwanie (Delete),4,4,652316.56,0.005616482,0.0034060066,0.009769007,0.06597
Usuwanie (Delete),4,8,930540.8,0.007243081,0.0051899985,0.011762997,0.088865
Zapis (Insert),1,1,24771.84,0.04036842,0.048716,0.061511002,0.07867519
Zapis (Insert),1,2,56284.582,0.035285834,0.018116,0.064977996,0.0881741
Zapis (Insert),1,4,67207.49,0.052439805,0.014819001,0.07786301,0.107231
Zapis (Insert),1,8,93079.484,0.07278742,0.012354998,0.062481996,0.1081821
Zapis (Insert),2,1,24166.494,0.041379604,0.048916,0.063585,0.089617185
Zapis (Insert),2,2,58653.312,0.033311334,0.024747992,0.06291299,0.082773
Zapis (Insert),2,4,90002.336,0.043597635,0.026872993,0.089155,0.1140341
Zapis (Insert),2,8,127034.32,0.059808936,0.020028993,0.088453,0.13058612
Zapis (Insert),4,1,24384.918,0.041008957,0.048825998,0.062282998,0.082853004
Zapis (Insert),4,2,56521.117,0.034967452,0.027318507,0.066401,0.089667104
Zapis (Insert),4,4,86393.0,0.04468754,0.028577007,0.091391005,0.13273199
Zapis (Insert),4,8,156432.8,0.047313653,0.029838992,0.093794994,0.13004601
