Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,72112.695,0.0138671845,0.005791,0.058233503,0.07895321
Aktualizacja (Update),1,2,114932.82,0.017313385,0.008085,0.081488,0.1071981
Aktualizacja (Update),1,4,310094.78,0.012746273,0.005050002,0.059906997,0.0776713
Aktualizacja (Update),1,8,277819.3,0.020336134,0.007856004,0.07561705,0.1182302
Aktualizacja (Update),2,1,77941.9,0.012830069,0.0058720033,0.059067003,0.0793267
Aktualizacja (Update),2,2,153229.02,0.012798393,0.005861002,0.058785055,0.075288296
Aktualizacja (Update),2,4,277754.25,0.014180688,0.0056209974,0.066851005,0.084165804
Aktualizacja (Update),2,8,326908.78,0.01980149,0.007975003,0.064348,0.111960396
Aktualizacja (Update),4,1,72390.07,0.013814051,0.0057119904,0.064539455,0.082063295
Aktualizacja (Update),4,2,123120.68,0.016217535,0.0076860012,0.07834695,0.109328076
Aktualizacja (Update),4,4,286864.9,0.013742731,0.0054109986,0.06713304,0.080972105
Aktualizacja (Update),4,8,307154.16,0.020454908,0.007875002,0.075901,0.111191
Odczyt (Read),1,1,7951.163,0.12576777,0.113239996,0.21850906,0.29276952
Odczyt (Read),1,2,13425.957,0.1441678,0.1309165,0.23316826,0.28638995
Odczyt (Read),1,4,15543.949,0.25512007,0.147915,0.22676435,0.31577978
Odczyt (Read),1,8,14660.993,0.53759617,0.19666201,0.2719043,0.41930687
Odczyt (Read),2,1,9115.31,0.109705545,0.107401,0.1710465,0.23920003
Odczyt (Read),2,2,12517.721,0.15765603,0.14507249,0.248964,0.2992439
Odczyt (Read),2,4,24680.518,0.15073347,0.1480725,0.22383554,0.27470058
Odczyt (Read),2,8,31915.537,0.2384686,0.18832201,0.26398015,0.37061638
Odczyt (Read),4,1,7977.243,0.12535658,0.112404,0.20788321,0.28075954
Odczyt (Read),4,2,13034.778,0.15307121,0.145389,0.2442775,0.289089
Odczyt (Read),4,4,22405.271,0.177761,0.1738815,0.24990226,0.30915532
Odczyt (Read),4,8,40018.953,0.19687629,0.196915,0.26262805,0.31962737
Usuwanie (Delete),1,1,169826.03,0.0058883787,0.0035670018,0.0058410503,0.069556214
Usuwanie (Delete),1,2,247977.89,0.0076563433,0.0036269994,0.0069130533,0.074598916
Usuwanie (Delete),1,4,862802.8,0.004533659,0.0029959993,0.008727002,0.056780998
Usuwanie (Delete),1,8,582126.3,0.008467129,0.0043079997,0.009929004,0.0884738
Usuwanie (Delete),2,1,178314.83,0.0056080585,0.0036670098,0.0064829946,0.07443601
Usuwanie (Delete),2,2,274610.44,0.0065126647,0.003687004,0.00665299,0.07704201
Usuwanie (Delete),2,4,666201.0,0.0053994623,0.003206005,0.009388997,0.06669099
Usuwanie (Delete),2,8,822184.1,0.007199911,0.004387999,0.00996,0.103433006
Usuwanie (Delete),4,1,160478.7,0.0062313564,0.0043379986,0.008106999,0.088220805
Usuwanie (Delete),4,2,309583.3,0.0063926806,0.004428002,0.008006013,0.0939571
Usuwanie (Delete),4,4,789864.25,0.0050291833,0.0032969983,0.009449495,0.063687
Usuwanie (Delete),4,8,633930.4,0.0088425465,0.0045690103,0.010019998,0.11958819
Zapis (Insert),1,1,78358.516,0.0127618555,0.0048090005,0.0623915,0.07916469
Zapis (Insert),1,2,137971.95,0.013520444,0.005961003,0.0581635,0.07790191
Zapis (Insert),1,4,288651.44,0.012617556,0.0048790025,0.058965452,0.075357504
Zapis (Insert),1,8,241566.7,0.020920603,0.008146002,0.07839206,0.122027
Zapis (Insert),2,1,77442.96,0.012912729,0.0049399966,0.063708514,0.08330301
Zapis (Insert),2,2,124398.08,0.015298602,0.0055209966,0.060238503,0.0769412
Zapis (Insert),2,4,252392.94,0.013095793,0.00493,0.059407,0.07511721
Zapis (Insert),2,8,280352.47,0.02105868,0.00898799,0.09025846,0.128793
Zapis (Insert),4,1,82213.55,0.012163446,0.00493,0.059216995,0.07675561
Zapis (Insert),4,2,129033.89,0.015119168,0.005460999,0.06363606,0.1002006
Zapis (Insert),4,4,242650.83,0.014537041,0.005650989,0.06687306,0.09570051
Zapis (Insert),4,8,377578.44,0.018517371,0.0079860035,0.08069199,0.122604005
