Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,21.0975,242.2625,115.875,52.34375,0.0,0.0,8
Aktualizacja (Update),1,2,49.4525,480.525,197.85875,72.58,0.0,0.0,8
Aktualizacja (Update),1,4,93.765,965.75,296.85625,134.55,0.0,0.0,8
Aktualizacja (Update),1,8,95.40235294117646,1924.5176470588235,322.0811764705882,245.52941176470588,0.0,0.0,17
Aktualizacja (Update),2,1,21.36375,243.5125,124.63875,41.14625,0.0,0.0,8
Aktualizacja (Update),2,2,47.10444444444445,482.2555555555556,244.19,79.49555555555555,0.0,0.0,9
Aktualizacja (Update),2,4,100.072,959.06,425.889,126.44,0.0,0.0,10
Aktualizacja (Update),2,8,192.33,1922.8672,647.9159999999999,216.89,0.0,0.0,10
Aktualizacja (Update),4,1,21.2325,242.125,100.9725,49.105,0.0,0.0,8
Aktualizacja (Update),4,2,50.09,481.125,227.5525,84.1425,0.0,0.0,8
Aktualizacja (Update),4,4,88.81,957.89,409.079,125.01,0.0,0.0,10
Aktualizacja (Update),4,8,243.08416666666668,1911.808,755.4166666666666,201.7008333333333,0.0,0.0,12
Odczyt (Read),1,1,42.85769230769231,242.40615384615384,62.658307692307694,52.23692307692308,0.0,0.0,65
Odczyt (Read),1,2,83.38225,480.23375,126.4945,76.41787500000001,0.0,0.0,80
Odczyt (Read),1,4,100.557299270073,957.4445255474452,149.89583941605838,124.88029197080292,0.0,0.0,137
Odczyt (Read),1,8,100.4895038167939,1911.7767328244277,161.37248091603053,221.9177099236641,0.0,0.0,262
Odczyt (Read),2,1,43.008,243.63692307692307,63.23923076923077,40.16307692307692,0.0,0.0,65
Odczyt (Read),2,2,83.32444444444444,482.0851851851852,126.8172839506173,74.74617283950617,0.0,0.0,81
Odczyt (Read),2,4,166.02079545454546,958.705681818182,252.1006818181818,125.58738636363636,0.0,0.0,88
Odczyt (Read),2,8,202.32301369863012,1913.0003287671236,328.0927397260274,217.39623287671236,0.0,0.0,146
Odczyt (Read),4,1,43.19578125,242.16875,63.4803125,48.55578125,0.0,0.0,64
Odczyt (Read),4,2,83.98987654320987,480.5283950617284,119.26222222222222,82.21839506172839,0.0,0.0,81
Odczyt (Read),4,4,166.50523255813954,957.75,249.7660465116279,128.7475581395349,0.0,0.0,86
Odczyt (Read),4,8,281.1062857142857,1911.808,460.9895238095238,217.36,0.0,0.0,105
Usuwanie (Delete),1,1,20.725,242.8,220.085,58.6925,0.0,0.0,4
Usuwanie (Delete),1,2,48.625,480.675,309.5,89.8675,0.0,0.0,4
Usuwanie (Delete),1,4,84.9925,958.3,431.0325,109.715,0.0,0.0,4
Usuwanie (Delete),1,8,97.37333333333332,1928.8746666666664,495.64166666666665,229.41666666666663,0.0,0.0,6
Usuwanie (Delete),2,1,24.8025,243.55,178.605,47.28,0.0,0.0,4
Usuwanie (Delete),2,2,46.9725,482.475,197.9625,80.6875,0.0,0.0,4
Usuwanie (Delete),2,4,75.196,959.16,467.242,143.62,0.0,0.0,5
Usuwanie (Delete),2,8,191.54,1913.6512,798.388,215.44,0.0,0.0,5
Usuwanie (Delete),4,1,21.39,242.925,219.045,55.245000000000005,0.0,0.0,4
Usuwanie (Delete),4,2,41.185,481.45,336.46,96.0125,0.0,0.0,4
Usuwanie (Delete),4,4,67.134,958.24,536.3439999999999,146.88,0.0,0.0,5
Usuwanie (Delete),4,8,176.32500000000002,1911.808,719.9133333333333,201.84166666666667,0.0,0.0,6
Zapis (Insert),1,1,36.09142857142857,203.8857142857143,123.93142857142855,51.41857142857143,0.0,0.0,7
Zapis (Insert),1,2,57.91,321.5125,222.87375,75.81375,0.0,0.0,8
Zapis (Insert),1,4,88.64125,597.4625,378.44,121.585,0.0,0.0,8
Zapis (Insert),1,8,99.11785714285716,1283.0477142857144,398.7221428571429,230.17857142857144,0.0,0.0,14
Zapis (Insert),2,1,49.653333333333336,205.1833333333333,99.95166666666668,39.32333333333333,0.0,0.0,6
Zapis (Insert),2,2,69.69875,334.9125,198.1375,55.42625,0.0,0.0,8
Zapis (Insert),2,4,114.329,610.23,423.16100000000006,122.31,0.0,0.0,10
Zapis (Insert),2,8,168.148,1170.5464,795.12,217.79,0.0,0.0,10
Zapis (Insert),4,1,21.87,204.825,125.6675,45.37625,0.0,0.0,8
Zapis (Insert),4,2,54.0425,321.35,222.98,73.1725,0.0,0.0,8
Zapis (Insert),4,4,113.6711111111111,623.9666666666667,381.54,119.49555555555555,0.0,0.0,9
Zapis (Insert),4,8,208.12545454545452,1238.653090909091,744.8090909090909,195.8690909090909,0.0,0.0,11
