Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,7703.5605,0.12981011,0.112234,0.131301,0.2007927
Aktualizacja (Update),1,2,16918.102,0.11792451,0.112584,0.14052,0.15916981
Aktualizacja (Update),1,4,24230.252,0.16178283,0.152253,0.204773,0.22894038
Aktualizacja (Update),1,8,27270.592,0.29208547,0.273916,0.354722,0.4342738
Aktualizacja (Update),2,1,8918.251,0.112129614,0.109023996,0.12236405,0.14541508
Aktualizacja (Update),2,2,17314.61,0.11538744,0.112796,0.126416,0.149743
Aktualizacja (Update),2,4,26932.63,0.14757705,0.145482,0.180753,0.222589
Aktualizacja (Update),2,8,26001.584,0.30490568,0.291314,0.391049,0.469203
Aktualizacja (Update),4,1,8419.927,0.11876588,0.113634,0.12788105,0.15980738
Aktualizacja (Update),4,2,15851.382,0.12606111,0.116218,0.156937,0.17202368
Aktualizacja (Update),4,4,26610.893,0.14977139,0.146181,0.18990201,0.23942
Aktualizacja (Update),4,8,28464.143,0.2796279,0.27036,0.360946,0.4363084
Odczyt (Read),1,1,11102.554,0.090069376,0.08772,0.097358,0.124041185
Odczyt (Read),1,2,21770.129,0.091808684,0.090444,0.114539,0.1273207
Odczyt (Read),1,4,30213.637,0.13167676,0.12767,0.16643,0.192761
Odczyt (Read),1,8,34118.406,0.23347197,0.22886851,0.297662,0.3318157
Odczyt (Read),2,1,10798.727,0.092603505,0.090935,0.10064305,0.1127267
Odczyt (Read),2,2,22012.176,0.09072997,0.089888,0.103367,0.1268347
Odczyt (Read),2,4,29771.727,0.13366719,0.129768,0.167972,0.19562902
Odczyt (Read),2,8,34199.938,0.23131692,0.228526,0.299765,0.334756
Odczyt (Read),4,1,10598.615,0.09435194,0.092542,0.102319,0.11300709
Odczyt (Read),4,2,21900.482,0.091285825,0.090097,0.107348,0.124459006
Odczyt (Read),4,4,30484.81,0.13076125,0.129139,0.169508,0.198003
Odczyt (Read),4,8,32893.074,0.24046592,0.237395,0.319739,0.347676
Usuwanie (Delete),1,1,9316.961,0.10733113,0.097847,0.132138,0.14799368
Usuwanie (Delete),1,2,18400.992,0.10867868,0.101619,0.130254,0.14429238
Usuwanie (Delete),1,4,27357.084,0.14533997,0.140101,0.176348,0.2132947
Usuwanie (Delete),1,8,17973.549,0.4375256,0.264907,0.343827,0.620886
Usuwanie (Delete),2,1,10095.129,0.09905768,0.096801996,0.107837,0.122506805
Usuwanie (Delete),2,2,19651.48,0.10155598,0.099665,0.12230895,0.139755
Usuwanie (Delete),2,4,27577.533,0.14447747,0.141152,0.171743,0.19765571
Usuwanie (Delete),2,8,31387.562,0.25375286,0.251155,0.306191,0.3469787
Usuwanie (Delete),4,1,10118.258,0.098831244,0.096382,0.107907,0.1234827
Usuwanie (Delete),4,2,19263.701,0.10348046,0.098827,0.129279,0.1514894
Usuwanie (Delete),4,4,27308.373,0.14177191,0.137729,0.1681845,0.19891101
Usuwanie (Delete),4,8,31003.254,0.24662493,0.24361,0.302069,0.38294667
Zapis (Insert),1,1,8599.011,0.116292454,0.112373,0.12662545,0.17733227
Zapis (Insert),1,2,16664.773,0.11992483,0.11405,0.139961,0.17041798
Zapis (Insert),1,4,23797.717,0.16619116,0.15798,0.20679805,0.2498924
Zapis (Insert),1,8,17176.463,0.46297902,0.297103,0.405915,0.61194736
Zapis (Insert),2,1,8247.088,0.12125493,0.113145,0.15135345,0.171115
Zapis (Insert),2,2,16884.95,0.11826841,0.114052996,0.131234,0.17649202
Zapis (Insert),2,4,25411.924,0.15671891,0.154073,0.193743,0.2403997
Zapis (Insert),2,8,26787.082,0.29535913,0.283631,0.381062,0.46187067
Zapis (Insert),4,1,8304.903,0.12041079,0.115031,0.12872,0.17356038
Zapis (Insert),4,2,16598.287,0.12026748,0.115031004,0.134587,0.17202479
Zapis (Insert),4,4,23550.0,0.16810142,0.16189499,0.21784246,0.26254007
Zapis (Insert),4,8,26823.125,0.2946662,0.282933,0.388743,0.4569107
