Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,9021.802,0.1108426,0.101971,0.135985,0.146531
Aktualizacja (Update),1,2,17830.97,0.112064354,0.104416,0.127325,0.148278
Aktualizacja (Update),1,4,26881.248,0.14870521,0.133122,0.16965,0.215048
Aktualizacja (Update),1,8,27825.734,0.28545645,0.242986,0.344469,0.424579
Aktualizacja (Update),2,1,8965.307,0.111541085,0.101691,0.136961,0.14834599
Aktualizacja (Update),2,2,18812.643,0.106249705,0.102878,0.129768,0.14848502
Aktualizacja (Update),2,4,28920.723,0.13768163,0.135564,0.176842,0.219655
Aktualizacja (Update),2,8,31008.643,0.2558541,0.244729,0.358573,0.43980068
Aktualizacja (Update),4,1,9205.646,0.10862898,0.101272,0.133679,0.145551
Aktualizacja (Update),4,2,18645.5,0.107207716,0.104414,0.122992,0.147647
Aktualizacja (Update),4,4,29313.97,0.13624357,0.134657,0.169857,0.213299
Aktualizacja (Update),4,8,30789.266,0.25841606,0.246684,0.361784,0.487291
Odczyt (Read),1,1,10620.618,0.09415648,0.086187,0.110981,0.121597
Odczyt (Read),1,2,21673.137,0.09224963,0.089679,0.113007,0.122505
Odczyt (Read),1,4,37269.31,0.107031144,0.107629,0.134169,0.1517
Odczyt (Read),1,8,38474.414,0.2058357,0.183339,0.26806,0.323305
Odczyt (Read),2,1,10963.4375,0.09121227,0.086535,0.110282,0.12201569
Odczyt (Read),2,2,21725.441,0.09203057,0.089678,0.110631,0.120269
Odczyt (Read),2,4,36954.875,0.108097695,0.108535,0.136403,0.156657
Odczyt (Read),2,8,40581.8,0.19599053,0.187598,0.272945,0.36828
Odczyt (Read),4,1,10711.086,0.093361214,0.086045,0.111538,0.122015
Odczyt (Read),4,2,21888.025,0.09136611,0.089399,0.109094,0.121037
Odczyt (Read),4,4,36928.656,0.107889906,0.108815,0.135216,0.15456101
Odczyt (Read),4,8,41349.094,0.19208743,0.184663,0.26498199,0.35068068
Usuwanie (Delete),1,1,9627.981,0.10386393,0.096803,0.126347,0.139058
Usuwanie (Delete),1,2,18639.959,0.10728639,0.100086,0.122575,0.137661
Usuwanie (Delete),1,4,26110.982,0.15308778,0.137173,0.17426,0.216236
Usuwanie (Delete),1,8,28401.115,0.2815267,0.260727,0.341814,0.45586967
Usuwanie (Delete),2,1,9796.446,0.102077834,0.096732,0.12411,0.13766
Usuwanie (Delete),2,2,19926.508,0.10030443,0.09771,0.120548,0.13535668
Usuwanie (Delete),2,4,27826.55,0.143544,0.140174,0.180544,0.223008
Usuwanie (Delete),2,8,29084.006,0.27465037,0.268057,0.353474,0.447762
Usuwanie (Delete),4,1,9269.196,0.10788422,0.097709,0.130536,0.138218
Usuwanie (Delete),4,2,19730.19,0.1013673,0.098827,0.126205,0.141222
Usuwanie (Delete),4,4,28240.045,0.1415903,0.138847,0.174607,0.21364802
Usuwanie (Delete),4,8,28794.672,0.27745512,0.269871,0.368489,0.446364
Zapis (Insert),1,1,9659.739,0.103522465,0.100155,0.112657,0.132213
Zapis (Insert),1,2,17890.715,0.111743554,0.104416,0.12474,0.146671
Zapis (Insert),1,4,27075.46,0.14761594,0.136613,0.17817,0.22329
Zapis (Insert),1,8,28890.672,0.2760588,0.249411,0.359136,0.461945
Zapis (Insert),2,1,9353.991,0.10690623,0.101062,0.129698,0.144714
Zapis (Insert),2,2,18507.715,0.107988246,0.104555,0.124459,0.14625
Zapis (Insert),2,4,28734.922,0.13892697,0.135075,0.184664,0.22705801
Zapis (Insert),2,8,31011.006,0.25568876,0.245357,0.353754,0.434771
Zapis (Insert),4,1,9597.268,0.104196325,0.100992,0.114472,0.13765901
Zapis (Insert),4,2,18599.363,0.107460916,0.104414,0.121107,0.14639
Zapis (Insert),4,4,29750.678,0.13423769,0.13291,0.163362,0.204359
Zapis (Insert),4,8,29875.05,0.26516435,0.251852,0.377569,0.456281
