Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,38.61,128.55,298.615,94.4,0.0,0.0,2
Aktualizacja (Update),1,2,70.33,163.3,337.265,144.7,0.0,102.39999999999782,2
Aktualizacja (Update),1,4,42.085,280.1,520.545,246.45,0.0,204.79999999999927,2
Aktualizacja (Update),1,8,85.73666666666668,467.9666666666667,744.39,441.4,0.0,512.0,3
Aktualizacja (Update),2,1,34.01,96.11,298.505,89.24,0.0,0.0,2
Aktualizacja (Update),2,2,86.53999999999999,130.85000000000002,129.195,89.345,0.0099999999999997,0.0,2
Aktualizacja (Update),2,4,29.945,232.15,439.72,185.55,0.0100000000000015,204.79999999999927,2
Aktualizacja (Update),2,8,83.09666666666668,482.0333333333333,636.0600000000001,303.40000000000003,0.0199999999999995,614.4000000000015,3
Aktualizacja (Update),4,1,56.92,97.595,68.805,72.91499999999999,0.0,0.0,2
Aktualizacja (Update),4,2,54.855,144.9,381.95,139.2,0.0,204.79999999999927,2
Aktualizacja (Update),4,4,68.065,247.1,467.315,191.85,0.0,204.79999999999927,2
Aktualizacja (Update),4,8,130.04,485.9,652.6766666666666,444.7,0.0,614.3999999999978,3
Odczyt (Read),1,1,33.879999999999995,135.64999999999998,303.665,94.675,0.0,102.39999999999782,2
Odczyt (Read),1,2,62.545,173.1,347.945,144.65,0.0,0.0,2
Odczyt (Read),1,4,87.86500000000001,275.1,343.02,246.95,0.0999999999999996,0.0,2
Odczyt (Read),1,8,61.53666666666667,466.6666666666667,698.91,449.9,0.0,0.0,3
Odczyt (Read),2,1,27.03,95.235,306.285,89.445,0.0099999999999997,0.0,2
Odczyt (Read),2,2,85.38,137.45,205.925,139.85000000000002,0.0099999999999997,0.0,2
Odczyt (Read),2,4,41.21,234.95,522.255,241.85,0.0,0.0,2
Odczyt (Read),2,8,71.3,427.1,547.355,241.97000000000003,0.0,0.0,2
Odczyt (Read),4,1,61.46000000000001,97.93,76.045,89.36500000000001,0.0,102.39999999999782,2
Odczyt (Read),4,2,41.125,143.4,382.65,139.65,0.0,0.0,2
Odczyt (Read),4,4,50.015,244.55,501.09,241.4,0.0,0.0,2
Odczyt (Read),4,8,77.49,441.3,573.71,417.6,0.0,0.0,3
Usuwanie (Delete),1,1,41.315,121.6,337.17499999999995,119.615,0.0,0.0,2
Usuwanie (Delete),1,2,75.36,162.35,407.915,195.7,0.0,0.0,2
Usuwanie (Delete),1,4,67.955,196.7,503.18,347.7,0.0,0.0,2
Usuwanie (Delete),1,8,84.0125,376.525,429.7375,354.6125,0.0,204.79999999999927,4
Usuwanie (Delete),2,1,59.29,104.385,221.78,114.685,0.0099999999999997,0.0,2
Usuwanie (Delete),2,2,85.8,122.4,122.94,38.89,0.0,0.0,1
Usuwanie (Delete),2,4,37.01499999999999,224.35,703.815,342.65,0.0,0.0,2
Usuwanie (Delete),2,8,62.26666666666667,345.8,399.66333333333336,326.19666666666666,0.0099999999999997,0.0,3
Usuwanie (Delete),4,1,39.41,97.13,70.61,56.55,0.0,0.0,1
Usuwanie (Delete),4,2,51.905,134.55,465.235,190.6,0.0,0.0,2
Usuwanie (Delete),4,4,59.055,192.95,799.17,279.6,0.0,0.0,2
Usuwanie (Delete),4,8,99.08666666666666,339.3333333333333,471.93,320.57666666666665,0.0,102.40000000000146,3
Zapis (Insert),1,1,17.73,113.56,312.28,94.635,0.0,0.0,2
Zapis (Insert),1,2,55.91,149.7,374.695,145.0,0.0,102.40000000000146,2
Zapis (Insert),1,4,44.115,222.7,516.5899999999999,246.3,0.0,102.40000000000146,2
Zapis (Insert),1,8,67.62,356.9,555.755,449.55,0.0,512.0,4
Zapis (Insert),2,1,22.35,81.58500000000001,309.315,89.53,0.0099999999999997,102.39999999999782,2
Zapis (Insert),2,2,82.505,124.0,212.985,140.10000000000002,0.0099999999999997,204.8000000000029,2
Zapis (Insert),2,4,82.84,209.75,357.73,241.8,0.0,0.0,2
Zapis (Insert),2,8,56.696666666666665,313.1666666666667,672.41,366.9666666666667,0.0199999999999995,409.59999999999854,3
Zapis (Insert),4,1,50.97,92.205,75.99000000000001,89.34,0.0,0.0,2
Zapis (Insert),4,2,36.985,116.695,390.165,140.05,0.0,102.40000000000146,2
Zapis (Insert),4,4,56.88,183.45,423.83,180.65,0.0,307.2000000000007,2
Zapis (Insert),4,8,60.48333333333333,300.3666666666667,688.1133333333333,321.0333333333333,0.0999999999999996,512.0,3
