Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Dokument JSON: Aktualizacja,1,1,38.905,82.15,133.1,75.545,0.0,0.0,2
Dokument JSON: Aktualizacja,1,2,46.44,77.64500000000001,374.9500000000001,110.15,0.0,0.0,2
Dokument JSON: Aktualizacja,1,4,35.86,80.83,505.705,172.65,0.0,0.0,2
Dokument JSON: Aktualizacja,1,8,41.96,83.39,770.5,313.2666666666667,0.0999999999999996,0.0,3
Dokument JSON: Aktualizacja,2,1,38.525,45.65,69.42,71.89,0.0100000000000015,0.0,2
Dokument JSON: Aktualizacja,2,2,37.22,47.195,379.995,105.6,0.0099999999999997,0.0,2
Dokument JSON: Aktualizacja,2,4,78.39500000000001,46.255,387.69000000000005,173.3,0.0100000000000015,0.0,2
Dokument JSON: Aktualizacja,2,8,44.51333333333333,53.06,790.98,308.43333333333334,0.0199999999999995,0.0,3
Dokument JSON: Aktualizacja,4,1,34.145,45.165,272.685,71.565,0.0,0.0,2
Dokument JSON: Aktualizacja,4,2,59.065,48.715,350.4,105.35,0.0,0.0,2
Dokument JSON: Aktualizacja,4,4,52.155,44.025,492.025,173.0,0.0,0.0,2
Dokument JSON: Aktualizacja,4,8,84.29666666666667,51.21,584.0933333333334,286.56666666666666,0.0,102.40000000000146,3
Dokument JSON: Inkrementacja,1,1,33.245000000000005,81.955,250.61,75.74000000000001,0.1000000000000014,0.0,2
Dokument JSON: Inkrementacja,1,2,39.18,77.7,380.73,110.05,0.0,0.0,2
Dokument JSON: Inkrementacja,1,4,62.685,81.045,407.97,178.64999999999998,0.0,0.0,2
Dokument JSON: Inkrementacja,1,8,36.77333333333333,82.91333333333334,791.5566666666667,303.4666666666667,0.0,0.0,3
Dokument JSON: Inkrementacja,2,1,38.09,44.465,69.81,71.825,0.0099999999999997,0.0,2
Dokument JSON: Inkrementacja,2,2,24.16,47.125,383.64,105.75,0.0100000000000015,0.0,2
Dokument JSON: Inkrementacja,2,4,33.285,44.59,430.205,153.39999999999998,0.0099999999999997,0.0,2
Dokument JSON: Inkrementacja,2,8,38.14333333333334,51.04666666666666,765.1166666666667,304.3666666666667,0.0,0.0,3
Dokument JSON: Inkrementacja,4,1,31.0,45.25,299.575,71.455,0.0,0.0,2
Dokument JSON: Inkrementacja,4,2,50.24,48.525,371.295,105.45,0.0,0.0,2
Dokument JSON: Inkrementacja,4,4,38.22,43.48,430.285,133.755,0.0,0.0,2
