Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,4219.304,0.23700592,0.18199,0.4116665,0.5786822
Aktualizacja (Update),1,2,6411.7534,0.3116573,0.239434,0.48745453,0.6393434
Aktualizacja (Update),1,4,7190.435,0.5537102,0.342057,0.67502636,0.95401734
Aktualizacja (Update),1,8,5642.182,1.4147438,0.6220625,1.1479394,49.90504
Aktualizacja (Update),2,1,4425.6475,0.22595565,0.185426,0.41089445,0.5604732
Aktualizacja (Update),2,2,7101.279,0.279575,0.250445,0.48656029,0.624431
Aktualizacja (Update),2,4,10430.408,0.37923977,0.341575,0.6182805,0.7934491
Aktualizacja (Update),2,8,12838.859,0.6195497,0.586043,0.94938713,1.2478763
Aktualizacja (Update),4,1,4401.2876,0.22720625,0.184576,0.4130857,0.5646536
Aktualizacja (Update),4,2,7030.075,0.2832036,0.2519975,0.495111,0.6357982
Aktualizacja (Update),4,4,11498.257,0.342695,0.3198415,0.5815735,0.73158014
Aktualizacja (Update),4,8,13869.935,0.57344383,0.549441,0.88503814,1.106042
Odczyt (Read),1,1,5660.32,0.17666845,0.148674,0.30850303,0.4325875
Odczyt (Read),1,2,8131.6807,0.24549171,0.17470649,0.38266975,0.51592714
Odczyt (Read),1,4,10198.71,0.39080203,0.2552965,0.48243105,0.65715003
Odczyt (Read),1,8,17447.693,0.45792687,0.450618,0.64472306,0.7694521
Odczyt (Read),2,1,5541.403,0.18045972,0.147512,0.3252235,0.45587754
Odczyt (Read),2,2,10068.379,0.19770697,0.164184,0.35685536,0.46666762
Odczyt (Read),2,4,15120.91,0.26255217,0.2473355,0.44044107,0.5860305
Odczyt (Read),2,8,16969.607,0.4705089,0.4603215,0.670178,0.8135281
Odczyt (Read),4,1,5558.034,0.17991972,0.149717,0.3198469,0.4426793
Odczyt (Read),4,2,9947.745,0.20082578,0.16624899,0.36209938,0.47122023
Odczyt (Read),4,4,14679.588,0.270524,0.253383,0.46013334,0.612634
Odczyt (Read),4,8,16606.605,0.48044297,0.47190648,0.689616,0.8394944
Usuwanie (Delete),1,1,5082.393,0.19675769,0.153403,0.33706966,0.48155543
Usuwanie (Delete),1,2,8852.03,0.2253982,0.19764501,0.38968107,0.5025952
Usuwanie (Delete),1,4,10014.156,0.39734414,0.2631695,0.5189151,0.71112615
Usuwanie (Delete),1,8,13223.478,0.6033339,0.422747,0.650482,0.98523915
Usuwanie (Delete),2,1,5371.871,0.18615489,0.154205,0.3291686,0.46973807
Usuwanie (Delete),2,2,8584.065,0.23181449,0.20365301,0.40361753,0.5279542
Usuwanie (Delete),2,4,14298.534,0.27910796,0.25493997,0.4739003,0.6186751
Usuwanie (Delete),2,8,18054.105,0.4418486,0.426619,0.6359081,0.8321934
Usuwanie (Delete),4,1,5459.954,0.18315172,0.152713,0.32301623,0.46201125
Usuwanie (Delete),4,2,8693.749,0.22987969,0.201469,0.39722514,0.5148896
Usuwanie (Delete),4,4,13739.342,0.28928852,0.2652395,0.49100405,0.65042114
Usuwanie (Delete),4,8,17564.629,0.45345438,0.440817,0.66178703,0.86437523
Zapis (Insert),1,1,4016.8406,0.24895188,0.187331,0.4318858,0.5976843
Zapis (Insert),1,2,6881.5107,0.29017276,0.241037,0.47891808,0.6261511
Zapis (Insert),1,4,8391.87,0.47504988,0.337929,0.6494652,0.89379036
Zapis (Insert),1,8,7205.734,1.1082885,0.5331545,1.1717336,5.1561055
Zapis (Insert),2,1,4550.7544,0.21974377,0.18182,0.3987025,0.55676043
Zapis (Insert),2,2,7226.6494,0.27599645,0.243902,0.48477104,0.62598103
Zapis (Insert),2,4,10591.788,0.37359476,0.326949,0.5996321,0.77535135
Zapis (Insert),2,8,11134.288,0.7156723,0.506304,0.7815841,1.0375565
Zapis (Insert),4,1,4418.714,0.22631018,0.185067,0.415145,0.57055116
Zapis (Insert),4,2,7134.757,0.27969825,0.249485,0.48709437,0.62712926
Zapis (Insert),4,4,10826.255,0.36589742,0.338655,0.62055016,0.7988385
Zapis (Insert),4,8,14673.648,0.5439541,0.523159,0.8144523,1.0678102
