Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,4006.2537,0.24960975,0.195526,0.4857119,0.6389998
Aktualizacja (Update),1,2,8448.477,0.23658715,0.209521,0.40908408,0.516843
Aktualizacja (Update),1,4,10560.49,0.37510246,0.3332175,0.5931871,0.7635071
Aktualizacja (Update),1,8,11773.037,0.67605615,0.545824,0.9091221,1.2423893
Aktualizacja (Update),2,1,5092.592,0.19636367,0.161972,0.35258654,0.49410978
Aktualizacja (Update),2,2,8373.014,0.23856269,0.211358,0.41123015,0.5211319
Aktualizacja (Update),2,4,13515.772,0.29373854,0.27634948,0.49970707,0.6331862
Aktualizacja (Update),2,8,18282.059,0.43486738,0.426452,0.63165903,0.78741586
Aktualizacja (Update),4,1,5145.558,0.19434239,0.160881,0.3470335,0.49451718
Aktualizacja (Update),4,2,8357.198,0.238712,0.21048051,0.4130916,0.5275582
Aktualizacja (Update),4,4,13583.22,0.29219237,0.2744655,0.49798307,0.6312222
Aktualizacja (Update),4,8,18323.307,0.432414,0.425223,0.6264322,0.76369005
Odczyt (Read),1,1,5182.007,0.19297543,0.1521485,0.3675296,0.49455115
Odczyt (Read),1,2,9785.281,0.20434172,0.17793,0.35839516,0.46450055
Odczyt (Read),1,4,13977.539,0.28431797,0.25185448,0.46713,0.609693
Odczyt (Read),1,8,16044.746,0.49574453,0.4378235,0.6821223,0.8450963
Odczyt (Read),2,1,5791.9136,0.17265451,0.145748,0.2965094,0.4218053
Odczyt (Read),2,2,9926.488,0.20075473,0.174726,0.3465865,0.45058715
Odczyt (Read),2,4,16386.105,0.24081935,0.225897,0.4181722,0.5332451
Odczyt (Read),2,8,21105.033,0.37658525,0.373617,0.54332405,0.6537251
Odczyt (Read),4,1,5943.6924,0.16824558,0.143005,0.293348,0.41774243
Odczyt (Read),4,2,9986.182,0.2001823,0.173813,0.34529033,0.44456208
Odczyt (Read),4,4,16369.573,0.24280325,0.226842,0.4228721,0.54052114
Odczyt (Read),4,8,20530.41,0.3879794,0.384375,0.56414914,0.689106
Usuwanie (Delete),1,1,4020.2136,0.24874301,0.192334,0.5031409,0.6610587
Usuwanie (Delete),1,2,8571.865,0.23330851,0.198369,0.3933368,0.50894934
Usuwanie (Delete),1,4,10050.081,0.3964524,0.332881,0.7272073,1.1765871
Usuwanie (Delete),1,8,12274.075,0.64796954,0.551016,0.90780514,1.1915501
Usuwanie (Delete),2,1,5390.0737,0.1855262,0.154876,0.32506305,0.46584317
Usuwanie (Delete),2,2,8697.802,0.22950906,0.202607,0.3955394,0.5056014
Usuwanie (Delete),2,4,14818.626,0.2681262,0.249929,0.46353105,0.599839
Usuwanie (Delete),2,8,18774.176,0.42509297,0.416763,0.609977,0.747738
Usuwanie (Delete),4,1,5467.568,0.18289667,0.152635,0.32334703,0.46093443
Usuwanie (Delete),4,2,8591.79,0.23241925,0.20444751,0.40928653,0.527217
Usuwanie (Delete),4,4,14510.324,0.27375007,0.254508,0.47498807,0.61465204
Usuwanie (Delete),4,8,19115.994,0.4170451,0.40976,0.596679,0.7275703
Zapis (Insert),1,1,4519.5386,0.22126152,0.176686,0.4227281,0.5712714
Zapis (Insert),1,2,7918.097,0.2518994,0.215775,0.431288,0.5594121
Zapis (Insert),1,4,13038.521,0.30541876,0.276012,0.51740605,0.67434305
Zapis (Insert),1,8,12178.927,0.6548627,0.560913,0.92839426,1.3476862
Zapis (Insert),2,1,5050.1187,0.19801515,0.163654,0.3504016,0.4958291
Zapis (Insert),2,2,8304.511,0.2395053,0.2108655,0.41004243,0.5260912
Zapis (Insert),2,4,13494.101,0.29477665,0.275625,0.5029998,0.63989204
Zapis (Insert),2,8,18420.05,0.43211788,0.424088,0.62066203,0.7534621
Zapis (Insert),4,1,5074.868,0.19704945,0.16355701,0.34754744,0.49039933
Zapis (Insert),4,2,8216.97,0.2426339,0.214497,0.41974205,0.5410674
Zapis (Insert),4,4,13344.397,0.29828054,0.279873,0.50667214,0.6455563
Zapis (Insert),4,8,18290.607,0.43516862,0.4274765,0.6271681,0.76253897
