Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Dokument JSON: Aktualizacja,1,1,37.715,95.17,70.38,71.61500000000001,0.0,102.39999999999418,2
Dokument JSON: Aktualizacja,1,2,32.1,92.17333333333332,225.16,102.51333333333334,0.0,102.39999999999418,3
Dokument JSON: Aktualizacja,1,4,68.11333333333333,116.26666666666668,349.7,225.5,0.0,102.39999999999418,3
Dokument JSON: Aktualizacja,1,8,86.18833333333333,154.35,462.6033333333333,381.55,0.0,614.4000000000087,6
Dokument JSON: Aktualizacja,2,1,35.785,67.695,70.485,47.42,0.0999999999999943,0.0,2
Dokument JSON: Aktualizacja,2,2,31.74,75.07333333333334,301.2633333333333,124.6,0.0,0.0,3
Dokument JSON: Aktualizacja,2,4,70.23333333333333,93.89,240.58333333333331,158.98,0.0,204.8000000000029,3
Dokument JSON: Aktualizacja,2,8,75.705,134.75,636.0225,329.88,0.0,409.59999999999127,4
Dokument JSON: Aktualizacja,4,1,32.99,76.72,68.765,51.15,0.0,0.0,2
Dokument JSON: Aktualizacja,4,2,31.30666666666667,82.58,293.26666666666665,117.88,0.0,102.40000000000872,3
Dokument JSON: Aktualizacja,4,4,54.925,95.8475,457.5425,229.925,0.0,102.39999999999418,4
Dokument JSON: Aktualizacja,4,8,76.71,138.625,650.9875000000001,332.7075,0.0,307.20000000001164,4
Dokument JSON: Inkrementacja,1,1,26.11,85.81,90.085,55.92,0.0,0.0,2
Dokument JSON: Inkrementacja,1,2,48.803333333333335,91.67,285.98,122.4,0.0,0.0,3
Dokument JSON: Inkrementacja,1,4,56.67666666666667,115.9,326.29,169.23666666666665,0.0,0.0,3
Dokument JSON: Inkrementacja,1,8,54.5025,147.325,638.6625,357.75,0.0,0.0,4
Dokument JSON: Inkrementacja,2,1,24.465,67.66999999999999,191.71,59.395,0.0,0.0,2
Dokument JSON: Inkrementacja,2,2,55.02,68.52000000000001,128.415,73.345,0.0999999999999943,0.0,2
Dokument JSON: Inkrementacja,2,4,50.98333333333334,93.97333333333334,369.9433333333333,158.52666666666667,0.0,0.0,3
Dokument JSON: Inkrementacja,2,8,62.1525,133.825,535.2125,296.28,0.0,0.0,4
Dokument JSON: Inkrementacja,4,1,24.47,76.33,182.26,76.025,0.0,0.0,2
