Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Dokument JSON: Aktualizacja,1,1,27.48,75.2,179.725,63.81,0.0,0.0,2
Dokument JSON: Aktualizacja,1,2,52.465,76.35499999999999,240.835,108.7,0.0,0.0,2
Dokument JSON: Aktualizacja,1,4,49.72333333333333,72.30666666666667,370.0566666666667,152.20000000000002,0.1000000000000014,0.0,3
Dokument JSON: Aktualizacja,1,8,65.615,80.3025,727.5725,299.875,0.0,102.40000000000146,4
Dokument JSON: Aktualizacja,2,1,26.06,51.205,179.725,76.07499999999999,0.0,102.40000000000146,2
Dokument JSON: Aktualizacja,2,2,55.92,48.715,121.67,76.38,0.0,0.0,2
Dokument JSON: Aktualizacja,2,4,61.7,47.95666666666667,382.16,173.66666666666666,0.0,0.0,3
Dokument JSON: Aktualizacja,2,8,63.9875,58.3975,633.9024999999999,280.875,0.0999999999999943,0.0,4
Dokument JSON: Aktualizacja,4,1,26.97,55.150000000000006,178.305,56.665000000000006,0.0,0.0,2
Dokument JSON: Aktualizacja,4,2,33.38666666666666,56.41333333333333,305.4266666666667,106.03333333333336,0.0,0.0,3
Dokument JSON: Aktualizacja,4,4,53.52333333333333,54.67666666666667,390.78,143.47333333333333,0.0,0.0,3
Dokument JSON: Aktualizacja,4,8,54.9125,65.1425,593.9725,263.5,0.0,0.0,4
Dokument JSON: Inkrementacja,1,1,26.745,75.42,187.055,74.695,0.1000000000000014,0.0,2
Dokument JSON: Inkrementacja,1,2,55.4,76.19,202.26,109.1,0.0,0.0,2
Dokument JSON: Inkrementacja,1,4,51.06,72.49,355.0366666666667,151.03333333333333,0.0,0.0,3
Dokument JSON: Inkrementacja,1,8,61.92,80.66,573.1925,250.7,0.0,0.0,4
Dokument JSON: Inkrementacja,2,1,29.065,46.56,68.30000000000001,66.67500000000001,0.0,0.0,2
Dokument JSON: Inkrementacja,2,2,30.49666666666667,48.69,298.6066666666667,110.53333333333336,0.0,0.0,3
Dokument JSON: Inkrementacja,2,4,53.68333333333333,47.59333333333333,324.7966666666667,167.9,0.0,0.0,3
Dokument JSON: Inkrementacja,2,8,58.27,57.9675,586.885,256.425,0.0,0.0,4
Dokument JSON: Inkrementacja,4,1,24.895,54.965,186.53,71.945,0.0,0.0,2
Dokument JSON: Inkrementacja,4,2,39.86666666666667,55.01666666666667,300.40000000000003,106.03333333333336,0.0,0.0,3
Dokument JSON: Inkrementacja,4,4,52.656666666666666,54.54333333333333,404.1433333333334,129.00333333333333,0.0,0.0,3
Dokument JSON: Inkrementacja,4,8,68.44500000000001,66.605,660.6625,272.4,0.0,0.0,4
Dokument JSON: Odczyt,1,1,20.61,76.98500000000001,180.175,69.72,0.0,0.0,2
Dokument JSON: Odczyt,1,2,46.575,76.95,232.37,75.085,0.0,0.0,2
Dokument JSON: Odczyt,1,4,38.053333333333335,72.33999999999999,447.28,156.70000000000002,0.0,0.0,3
Dokument JSON: Odczyt,1,8,53.8025,80.39750000000001,788.8425,300.7,0.0,0.0,4
Dokument JSON: Odczyt,2,1,21.73,55.93,186.385,64.77,0.0,0.0,2
Dokument JSON: Odczyt,2,2,39.685,49.02,257.625,110.5,0.0,0.0,2
