Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,69141.12,0.014463174,0.010964999,0.014737001,0.022488995
Aktualizacja (Update),2,1,85074.62,0.011754387,0.010964999,0.014666002,0.020883003
Aktualizacja (Update),4,1,85739.84,0.011663188,0.010896001,0.014457,0.020533
Odczyt (Read),1,1,89529.836,0.011169461,0.006146001,0.012502002,0.016832003
Odczyt (Read),2,1,148939.36,0.006714142,0.006146001,0.012432,0.016202997
Odczyt (Read),4,1,149883.4,0.0066718524,0.006146001,0.012362005,0.015785001
Usuwanie (Delete),1,1,213985.98,0.0046732035,0.004679001,0.0052379984,0.008102004
Usuwanie (Delete),2,1,213862.92,0.004675892,0.004679001,0.0052390024,0.008171002
Usuwanie (Delete),4,1,215024.1,0.0046506417,0.004400004,0.0052379984,0.008101997
Zapis (Insert),1,1,52371.047,0.01909452,0.010896001,0.015226004,0.023397995
Zapis (Insert),2,1,83720.12,0.01194456,0.010894997,0.014666999,0.021442
Zapis (Insert),4,1,85888.51,0.011643001,0.010616001,0.0143180005,0.020463994
