Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,187946.52,0.0053206626,0.004818998,0.007613002,0.009916999
Aktualizacja (Update),2,1,191572.02,0.005219969,0.004818998,0.0076829963,0.010056996
Aktualizacja (Update),4,1,194788.02,0.0051337862,0.00475,0.007613002,0.009848001
Odczyt (Read),1,1,301124.78,0.0033208823,0.0028639988,0.0067750006,0.008101997
Odczyt (Read),2,1,302715.72,0.003303429,0.0028639988,0.0070539974,0.008102004
Odczyt (Read),4,1,302526.44,0.0033054964,0.0028639988,0.0067750006,0.008101
Usuwanie (Delete),1,1,195786.27,0.0051076105,0.004330999,0.0052390024,0.008171999
Usuwanie (Delete),2,1,214228.89,0.004667904,0.004400004,0.0052390024,0.008102004
Usuwanie (Delete),4,1,216277.36,0.0046236925,0.004330999,0.0052390024,0.0080320025
Zapis (Insert),1,1,176507.58,0.005665479,0.004749003,0.007612005,0.009569005
Zapis (Insert),2,1,200809.4,0.0049798465,0.004749003,0.007543,0.009568998
Zapis (Insert),4,1,201412.94,0.0049649244,0.004749003,0.007543,0.009568
