Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Aktualizacja (Update),1,1,96.85,28.28,0.0,0.0,1
Aktualizacja (Update),2,1,108.19,27.71,0.0,0.0,1
Aktualizacja (Update),4,1,171.06,30.32,0.0,0.0,1
Odczyt (Read),1,1,82.69,11.76,0.0,0.0,1
Odczyt (Read),2,1,152.91,19.48,0.0,0.0,1
Odczyt (Read),4,1,220.04,19.14,0.0,0.0,1
Usuwanie (Delete),1,1,96.85,28.28,0.0,0.0,1
Usuwanie (Delete),2,1,108.19,27.71,0.0,0.0,1
Usuwanie (Delete),4,1,171.06,30.32,0.0,0.0,1
Zapis (Insert),1,1,95.45,23.98,0.0,0.0,1
Zapis (Insert),2,1,134.96,22.76,0.0,0.0,1
Zapis (Insert),4,1,214.64,23.41,0.0,0.0,1
