Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,41877.88,0.023878954,0.010450996,0.019349447,0.047484007
Aktualizacja (Update),2,1,19528.334,0.051207647,0.010381002,0.028016953,0.050981313
Aktualizacja (Update),4,1,18973.926,0.052703906,0.011262003,0.03462805,0.0664721
Odczyt (Read),1,1,93558.3,0.010688523,0.005210997,0.013526995,0.036112104
Odczyt (Read),2,1,171085.3,0.0058450378,0.004760004,0.012764998,0.023506109
Odczyt (Read),4,1,156380.64,0.006394653,0.0049200025,0.013666999,0.031312097
Usuwanie (Delete),1,1,317915.97,0.0031454857,0.0028960058,0.0035470002,0.007895021
Usuwanie (Delete),2,1,312659.8,0.0031983643,0.0029660005,0.0034870026,0.007846
Usuwanie (Delete),4,1,301186.97,0.0033201966,0.003046007,0.0036670098,0.0081659965
Zapis (Insert),1,1,47952.32,0.020854048,0.009878989,0.020320993,0.051091205
Zapis (Insert),2,1,24948.902,0.040081926,0.009668991,0.021481989,0.05059109
Zapis (Insert),4,1,24783.514,0.0403494,0.009679992,0.019328,0.048847113
