Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,263115.7,0.0038006094,0.0032459938,0.006303002,0.010290094
Aktualizacja (Update),2,1,262235.6,0.0038133648,0.0031969976,0.006351998,0.010841101
Aktualizacja (Update),4,1,268522.2,0.003724087,0.0031859963,0.006382994,0.010311097
Odczyt (Read),1,1,445350.6,0.002245422,0.001552995,0.005050009,0.007003997
Odczyt (Read),2,1,524922.7,0.0019050424,0.0014830002,0.0051410026,0.0073550935
Odczyt (Read),4,1,514124.1,0.0019450559,0.0015429978,0.0050499947,0.007374018
Usuwanie (Delete),1,1,314001.25,0.0031847006,0.0029459915,0.003525988,0.0076551056
Usuwanie (Delete),2,1,301261.12,0.0033193792,0.003056004,0.003746987,0.008186015
Usuwanie (Delete),4,1,317714.75,0.0031474775,0.0029060028,0.0035369885,0.008006113
Zapis (Insert),1,1,255191.28,0.003918629,0.003256995,0.006312999,0.013897416
Zapis (Insert),2,1,264023.88,0.0037875366,0.0031669915,0.0061030006,0.012064103
Zapis (Insert),4,1,275271.5,0.003632777,0.0031460077,0.006202012,0.009829113
