Operacja,CPU Limit,Procesy Klienckie,CPU Klient [%],RAM Klient [MiB],Odczyt Klient [MiB],Zapis Klient [MiB],Liczba probek
Dokument JSON: Aktualizacja,1,1,85.32,26.6,0.0,0.0,1
Dokument JSON: Aktualizacja,2,1,111.94,3.848,0.0,0.0,1
Dokument JSON: Aktualizacja,4,1,139.76,11.75,0.0,0.0,1
Dokument JSON: Inkrementacja,1,1,82.54,25.79,0.0,0.0,1
Dokument JSON: Inkrementacja,2,1,90.11,4.258,0.0,0.0,1
Dokument JSON: Inkrementacja,4,1,136.13,4.176,0.0,0.0,1
Dokument JSON: Odczyt,1,1,87.53,22.73,0.0,0.0,1
Dokument JSON: Odczyt,2,1,119.52,26.34,0.0,0.0,1
Dokument JSON: Odczyt,4,1,200.04,27.58,0.0,0.0,1
Dokument JSON: Odczyt częściowy,1,1,85.32,26.6,0.0,0.0,1
Dokument JSON: Odczyt częściowy,2,1,119.52,26.34,0.0,0.0,1
Dokument JSON: Odczyt częściowy,4,1,200.04,27.58,0.0,0.0,1
Dokument JSON: Usuwanie,1,1,21.08,10.65,0.0,0.0,1
Dokument JSON: Usuwanie,2,1,0.0,4.117,0.0,0.0,1
Dokument JSON: Usuwanie,4,1,136.13,4.176,0.0,0.0,1
Dokument JSON: Zapis,1,1,81.28,11.28,0.0,0.0,1
Dokument JSON: Zapis,2,1,137.34,21.43,0.0,0.0,1
Dokument JSON: Zapis,4,1,182.98,20.48,0.0,0.0,1
Kolejka (push/pop),1,1,99.61802469135804,109.3179012345679,0.0,101.97197265625,81
Kolejka (push/pop),2,1,101.0705,108.852625,0.0,103.97197265625,80
Kolejka (push/pop),4,1,101.57544303797468,121.36113924050632,0.0,101.97197265625,79
Mieszany (10W/90R),1,1,85.35,47.77,0.0,0.0,1
Mieszany (10W/90R),2,1,116.48,27.57,0.0,0.0,1
Mieszany (10W/90R),4,1,170.01,26.71,0.0,0.0,1
Mieszany (50/50),1,1,85.35,47.77,0.0,0.0,1
Mieszany (50/50),2,1,116.48,27.57,0.0,0.0,1
Mieszany (50/50),4,1,170.01,26.71,0.0,0.0,1
Mieszany (90W/10R),1,1,85.35,47.77,0.0,0.0,1
Mieszany (90W/10R),2,1,116.48,27.57,0.0,0.0,1
Mieszany (90W/10R),4,1,170.01,26.71,0.0,0.0,1
