Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,6373.947,0.15688868,0.148765,0.20016904,0.23551169
Aktualizacja (Update),1,2,11633.12,0.17132026,0.154912,0.216303,0.2948802
Aktualizacja (Update),1,4,14358.73,0.2746793,0.16881049,0.241796,0.446862
Aktualizacja (Update),1,8,12853.289,0.61627746,0.323861,0.502939,0.82938755
Aktualizacja (Update),2,1,6687.2593,0.1495381,0.142059,0.193953,0.2452184
Aktualizacja (Update),2,2,13191.196,0.15135857,0.14206,0.20394,0.2592581
Aktualizacja (Update),2,4,19819.363,0.19893347,0.196187,0.249897,0.28866208
Aktualizacja (Update),2,8,24989.906,0.31846982,0.304793,0.450904,0.538416
Aktualizacja (Update),4,1,7032.981,0.14218722,0.133889,0.1855755,0.24662827
Aktualizacja (Update),4,2,12443.586,0.1607076,0.1533745,0.21204644,0.255694
Aktualizacja (Update),4,4,20810.049,0.19004126,0.184944,0.24424,0.29578468
Aktualizacja (Update),4,8,29612.488,0.26405314,0.254297,0.36925805,0.4460164
Odczyt (Read),1,1,10757.025,0.0929625,0.085837,0.11566,0.13291268
Odczyt (Read),1,2,19688.676,0.101296194,0.096173,0.112656,0.17307308
Odczyt (Read),1,4,26191.525,0.1518086,0.119432,0.158823,0.20680849
Odczyt (Read),1,8,30932.637,0.25530028,0.185014,0.239352,0.3772969
Odczyt (Read),2,1,10806.623,0.092535846,0.088700004,0.10176795,0.1307495
Odczyt (Read),2,2,20940.594,0.09540701,0.091634,0.104135,0.13898769
Odczyt (Read),2,4,31295.275,0.12613438,0.123622,0.154981,0.174118
Odczyt (Read),2,8,39938.555,0.19658223,0.193813,0.262119,0.30584
Odczyt (Read),4,1,9722.589,0.10285327,0.106301,0.125437,0.14590201
Odczyt (Read),4,2,21087.48,0.09482411,0.091563,0.106929004,0.124530695
Odczyt (Read),4,4,29038.31,0.1326216,0.127393,0.163642,0.242773
Odczyt (Read),4,8,40350.555,0.19400705,0.192556,0.243612,0.280208
Usuwanie (Delete),1,1,8628.493,0.11589509,0.109374,0.136892,0.19514169
Usuwanie (Delete),1,2,14163.735,0.13997266,0.128371,0.165597,0.2587708
Usuwanie (Delete),1,4,18955.146,0.20358166,0.1413965,0.198912,0.27008718
Usuwanie (Delete),1,8,21838.982,0.3551733,0.219377,0.353963,0.48450488
Usuwanie (Delete),2,1,8498.375,0.11766955,0.113774,0.140174,0.17244549
Usuwanie (Delete),2,2,16007.482,0.12435486,0.119711,0.15568346,0.1855034
Usuwanie (Delete),2,4,26844.057,0.14821607,0.143666,0.199889,0.225661
Usuwanie (Delete),2,8,35193.203,0.22319311,0.216652,0.337619,0.400337
Usuwanie (Delete),4,1,8505.448,0.11757169,0.1140535,0.1378735,0.18431918
Usuwanie (Delete),4,2,15803.165,0.12599458,0.119291,0.160219,0.19703089
Usuwanie (Delete),4,4,24255.201,0.16093563,0.157146,0.209249,0.23585969
Usuwanie (Delete),4,8,36084.867,0.21323408,0.206525,0.321626,0.371493
Zapis (Insert),1,1,6508.5977,0.15364292,0.148277,0.20024,0.25166494
Zapis (Insert),1,2,10598.386,0.18626185,0.157915,0.224754,0.30543345
Zapis (Insert),1,4,12786.395,0.30925888,0.174957,0.25828245,0.42618477
Zapis (Insert),1,8,12081.608,0.6521306,0.3458975,0.559162,0.89552736
Zapis (Insert),2,1,6331.3843,0.15794335,0.157355,0.188644,0.2303424
Zapis (Insert),2,2,12435.14,0.16076367,0.157426,0.20527145,0.2470337
Zapis (Insert),2,4,21721.229,0.18183221,0.17747,0.233624,0.2879631
Zapis (Insert),2,8,23314.432,0.33719352,0.330635,0.457469,0.5457517
Zapis (Insert),4,1,6980.8335,0.14324936,0.133888,0.19108905,0.2355128
Zapis (Insert),4,2,12601.954,0.15793929,0.148765,0.21176645,0.2538111
Zapis (Insert),4,4,22577.596,0.17607412,0.171394,0.231249,0.286215
Zapis (Insert),4,8,23251.809,0.3318766,0.324489,0.462778,0.5398161
