Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,8693.009,0.11503498,0.108189,0.139478,0.18648468
Aktualizacja (Update),1,2,16944.328,0.117874786,0.11608,0.142551,0.17475139
Aktualizacja (Update),1,4,20957.268,0.18940936,0.130818,0.180477,0.275883
Aktualizacja (Update),1,8,24645.727,0.32070905,0.189416,0.292367,0.473161
Aktualizacja (Update),2,1,8903.637,0.11231365,0.107697,0.131722,0.16943869
Aktualizacja (Update),2,2,17048.742,0.117220335,0.11538,0.144784,0.17712
Aktualizacja (Update),2,4,30566.139,0.13024084,0.1283,0.171952,0.20058869
Aktualizacja (Update),2,8,42100.75,0.18647556,0.18152,0.266868,0.317434
Aktualizacja (Update),4,1,8835.732,0.11317681,0.109583,0.135006,0.166086
Aktualizacja (Update),4,2,17121.025,0.1167649,0.115939,0.142409,0.170975
Aktualizacja (Update),4,4,29873.746,0.13122718,0.12837,0.175025,0.21337
Aktualizacja (Update),4,8,42024.117,0.18689303,0.181451,0.269453,0.322464
Odczyt (Read),1,1,11148.801,0.089695744,0.08535,0.106373,0.125859
Odczyt (Read),1,2,22223.102,0.08997815,0.083463,0.11168,0.12928101
Odczyt (Read),1,4,31879.734,0.123950996,0.102182,0.125509,0.176076
Odczyt (Read),1,8,35414.098,0.22377813,0.157708,0.221405,0.37094
Odczyt (Read),2,1,11188.261,0.08937939,0.085767,0.104414,0.121177696
Odczyt (Read),2,2,22668.518,0.08807072,0.082973,0.108815,0.123481005
Odczyt (Read),2,4,37611.79,0.10538967,0.103996,0.126136,0.144294
Odczyt (Read),2,8,48301.254,0.16447988,0.1598,0.220912,0.3240707
Odczyt (Read),4,1,11389.017,0.08780389,0.084998004,0.10204,0.12054801
Odczyt (Read),4,2,22806.344,0.08761906,0.083462,0.104135,0.119292
Odczyt (Read),4,4,37144.676,0.10477495,0.102809,0.130326,0.154911
Odczyt (Read),4,8,50563.04,0.15670815,0.154143,0.205058,0.247941
Usuwanie (Delete),1,1,8352.373,0.11972646,0.116221,0.140596,0.167486
Usuwanie (Delete),1,2,16853.04,0.11861749,0.11636,0.14402239,0.178312
Usuwanie (Delete),1,4,21046.967,0.18884137,0.131795,0.180826,0.2906928
Usuwanie (Delete),1,8,24545.229,0.32144636,0.19632,0.303105,0.475538
Usuwanie (Delete),2,1,8609.392,0.11615223,0.110072,0.143805,0.17984402
Usuwanie (Delete),2,2,16953.35,0.117943816,0.116148,0.145762,0.179285
Usuwanie (Delete),2,4,30310.57,0.13079324,0.129627,0.17279,0.203312
Usuwanie (Delete),2,8,43055.438,0.18292452,0.176911,0.265472,0.320716
Usuwanie (Delete),4,1,8130.204,0.12299815,0.12013,0.147578,0.17928602
Usuwanie (Delete),4,2,16551.205,0.12053383,0.118034,0.1466,0.178797
Usuwanie (Delete),4,4,30545.578,0.1288208,0.126834,0.170137,0.20282301
Usuwanie (Delete),4,8,43052.77,0.18203261,0.177191,0.260443,0.31059
Zapis (Insert),1,1,8534.695,0.1171688,0.113986,0.141924,0.17244639
Zapis (Insert),1,2,16669.38,0.11995774,0.117687,0.146672,0.18054768
Zapis (Insert),1,4,20801.803,0.19165146,0.135078,0.184947,0.2792374
Zapis (Insert),1,8,24690.78,0.31914923,0.191162,0.295928,0.46348467
Zapis (Insert),2,1,8623.203,0.11596619,0.1107,0.143107,0.183406
Zapis (Insert),2,2,16581.508,0.120525666,0.119151,0.145482,0.17649269
Zapis (Insert),2,4,30083.736,0.13179609,0.130256,0.173139,0.202962
Zapis (Insert),2,8,42126.38,0.18726304,0.1818,0.27036,0.330495
Zapis (Insert),4,1,8517.831,0.11740078,0.113076,0.14227,0.173419
Zapis (Insert),4,2,16802.986,0.11898886,0.116498,0.146321,0.176423
Zapis (Insert),4,4,30173.307,0.13100679,0.129488,0.173,0.202683
Zapis (Insert),4,8,41750.973,0.18608318,0.180893,0.26659,0.326933
