Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Dokument JSON: Aktualizacja,1,1,75.675,3941.888,42.54,92.86,0.00390625,0.0,2
Dokument JSON: Aktualizacja,1,2,89.255,3945.472,192.775,134.39999999999998,0.0,0.0,2
Dokument JSON: Aktualizacja,1,4,84.46333333333332,3947.1786666666662,209.26,215.4333333333333,0.0,204.79999999999927,3
Dokument JSON: Aktualizacja,1,8,90.936,3947.3152,321.654,379.08,0.0,307.1999999999971,5
Dokument JSON: Aktualizacja,2,1,77.19,3825.664,82.43,89.3,0.0,0.0,2
Dokument JSON: Aktualizacja,2,2,102.29,3829.76,267.355,130.89999999999998,0.0,0.0,2
Dokument JSON: Aktualizacja,2,4,119.85,3829.76,333.98,158.85000000000002,0.0,204.79999999999927,2
Dokument JSON: Aktualizacja,2,8,163.42,3829.077333333333,387.7533333333333,379.4666666666667,0.0,0.0,3
Dokument JSON: Aktualizacja,4,1,77.13,3799.04,57.92,74.32,0.0,0.0,2
Dokument JSON: Aktualizacja,4,2,68.15,3804.672,332.07500000000005,115.45,0.0,0.0,2
Dokument JSON: Aktualizacja,4,4,117.935,3810.304,343.28,154.45,0.01,204.79999999999927,2
Dokument JSON: Aktualizacja,4,8,162.97,3817.472,667.1366666666667,359.43333333333334,0.0,0.0,3
Dokument JSON: Inkrementacja,1,1,69.145,3942.4,43.25,73.495,0.0,0.0,2
Dokument JSON: Inkrementacja,1,2,71.565,3945.984,325.5,134.45,0.0,0.0,2
Dokument JSON: Inkrementacja,1,4,85.17333333333333,3946.496000000001,223.14,215.3,0.0,0.0,3
Dokument JSON: Inkrementacja,1,8,84.18,3946.154666666667,351.1666666666667,304.5333333333333,0.0,0.0,3
Dokument JSON: Inkrementacja,2,1,75.42,3825.664,81.895,89.475,0.0,0.0,2
Dokument JSON: Inkrementacja,2,2,87.6,3826.176,324.415,130.85,0.0,0.0,2
Dokument JSON: Inkrementacja,2,4,84.215,3827.712,460.78,214.25,0.0,0.0,2
Dokument JSON: Inkrementacja,2,8,135.03333333333333,3828.736,399.41,379.5333333333333,0.0,0.0,3
Dokument JSON: Inkrementacja,4,1,75.055,3799.04,57.28,74.185,0.0,0.0,2
Dokument JSON: Inkrementacja,4,2,106.18,3803.648,100.28,94.79,0.0,0.0,2
Dokument JSON: Inkrementacja,4,4,109.32,3811.328,404.545,196.7,0.0,0.0,2
Dokument JSON: Inkrementacja,4,8,139.19,3818.496,496.3,319.06666666666666,0.01,0.0,3
Dokument JSON: Odczyt,1,1,33.64,3940.352,102.36,72.95,0.0,0.0,1
Dokument JSON: Odczyt,1,2,88.735,3944.448,207.825,134.45,0.0,0.0,2
Dokument JSON: Odczyt,1,4,91.195,3945.984,287.85,215.4,0.0,0.0,2
Dokument JSON: Odczyt,1,8,71.85666666666667,3946.496000000001,550.18,378.3666666666666,0.0,0.0,3
Dokument JSON: Odczyt,2,1,47.38,3825.664,57.59,60.47,0.0,0.0,1
Dokument JSON: Odczyt,2,2,92.34,3830.784,98.22,63.35,0.0,0.0,1
Dokument JSON: Odczyt,2,4,91.7,3829.76,430.9,214.2,0.0,0.0,2
Dokument JSON: Odczyt,2,8,75.17,3826.176,643.385,213.59500000000003,0.0,0.0,2
Dokument JSON: Odczyt,4,1,38.73,3798.016,65.41,51.23,0.0,0.0,1
Dokument JSON: Odczyt,4,2,94.55,3804.16,93.02,35.25,0.0,0.0,1
Dokument JSON: Odczyt,4,4,114.365,3809.28,269.465,197.05,0.0,0.0,2
Dokument JSON: Odczyt,4,8,77.645,3814.912,559.885,237.65,0.0,0.0,2
Dokument JSON: Odczyt częściowy,1,1,66.66499999999999,3940.864,141.755,92.875,0.0,0.0,2
Dokument JSON: Odczyt częściowy,1,2,102.01,3944.96,75.75999999999999,134.75,0.0,0.0,2
Dokument JSON: Odczyt częściowy,1,4,58.08,3945.472,447.385,215.2,0.0,0.0,2
Dokument JSON: Odczyt częściowy,1,8,84.85000000000001,3946.837333333333,395.3233333333333,378.8333333333333,0.0,0.0,3
Dokument JSON: Odczyt częściowy,2,1,60.545,3825.664,162.005,89.6,0.0,0.0,2
Dokument JSON: Odczyt częściowy,2,2,90.245,3831.808,274.91,131.39999999999998,0.0,0.0,2
Dokument JSON: Odczyt częściowy,2,4,108.18,3830.272,439.465,213.85,0.0,0.0,2
Dokument JSON: Odczyt częściowy,2,8,125.84,3827.370666666667,488.97333333333336,349.6333333333334,0.0,307.1999999999971,3
Dokument JSON: Odczyt częściowy,4,1,63.18,3798.528,161.85500000000002,74.33,0.0,0.0,2
Dokument JSON: Odczyt częściowy,4,2,71.625,3804.672,340.1,115.7,0.0,0.0,2
Dokument JSON: Odczyt częściowy,4,4,134.41,3808.768,311.64,197.1,0.0,0.0,2
Dokument JSON: Odczyt częściowy,4,8,92.75,3813.888,600.42,195.395,0.0,0.0,2
Dokument JSON: Usuwanie,1,1,61.96,3942.4,45.07,54.14,0.0,0.0,1
