Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,62.705714285714286,41.355714285714285,74.92285714285715,52.871428571428574,0.0,0.0,7
Aktualizacja (Update),1,2,88.27142857142857,61.54714285714285,117.25571428571428,76.24142857142859,0.0,0.0,7
Aktualizacja (Update),1,4,100.57,101.77272727272728,150.03545454545454,124.34545454545454,0.0,86.0,11
Aktualizacja (Update),1,8,100.84666666666666,181.25,256.3072222222222,214.26666666666668,0.0,8.0,18
Aktualizacja (Update),2,1,63.66142857142857,55.59428571428571,54.67285714285715,26.13142857142857,0.0,59.0,7
Aktualizacja (Update),2,2,84.46142857142857,76.12285714285714,136.69285714285712,50.04285714285714,0.0,0.0,7
Aktualizacja (Update),2,4,126.445,116.15,249.745,98.4475,0.0,0.0,8
Aktualizacja (Update),2,8,153.01818181818183,195.43636363636367,419.24,194.61818181818185,0.0,7.0,11
Aktualizacja (Update),4,1,63.62285714285714,40.66,42.5,26.17142857142857,0.0,59.1,7
Aktualizacja (Update),4,2,88.70285714285716,61.3,112.59714285714288,50.69428571428572,0.0126953125,0.0,7
Aktualizacja (Update),4,4,127.84,100.545,246.94,97.815,0.00390625,0.0,8
Aktualizacja (Update),4,8,164.45818181818183,179.22727272727272,404.1263636363637,192.9,0.00390625,0.0,11
Odczyt (Read),1,1,55.045,40.748333333333335,54.48333333333333,52.525,0.0,45.6,6
Odczyt (Read),1,2,97.375,60.46333333333333,99.88,76.50166666666667,0.0,0.0,6
Odczyt (Read),1,4,95.76875,99.70625,199.3,124.7125,0.0,0.0,8
Odczyt (Read),1,8,99.02846153846151,177.1153846153846,337.52153846153846,217.4307692307692,0.0,31.0,13
Odczyt (Read),2,1,53.005,55.453333333333326,89.53833333333334,27.02333333333333,0.0,0.0,6
Odczyt (Read),2,2,87.08,75.26666666666667,165.87166666666667,50.02,0.0,44.0,6
Odczyt (Read),2,4,117.615,114.18333333333334,191.6383333333333,88.83666666666666,0.3000000000000007,0.0,6
Odczyt (Read),2,8,128.68699999999998,191.13,472.504,195.66,0.1000000000000014,18.0,10
Odczyt (Read),4,1,54.21833333333333,40.45,88.29333333333334,26.825,0.0,0.0,6
Odczyt (Read),4,2,89.90500000000002,60.00666666666667,100.29166666666669,49.156666666666666,0.0,44.0,6
Odczyt (Read),4,4,111.09,99.17142857142858,279.0728571428571,97.35,0.0,0.0,7
Odczyt (Read),4,8,129.81,175.11111111111111,409.2711111111111,190.53333333333333,0.0,0.0,9
Usuwanie (Delete),1,1,57.57714285714286,41.83714285714286,117.22714285714284,56.212857142857146,0.0,0.0,7
Usuwanie (Delete),1,2,80.82714285714285,62.47571428571428,143.31714285714287,82.14857142857143,0.0,60.0,7
Usuwanie (Delete),1,4,97.6518181818182,103.2909090909091,200.2263636363637,133.20909090909092,0.0,20.0,11
Usuwanie (Delete),1,8,99.4388888888889,185.65,231.2061111111111,203.35,0.0,190.0,18
Usuwanie (Delete),2,1,62.93714285714286,56.2,97.95857142857145,29.705714285714286,0.0,0.0,7
Usuwanie (Delete),2,2,89.50571428571428,76.79571428571428,135.1042857142857,57.02285714285715,0.0,0.0,7
Usuwanie (Delete),2,4,149.2875,117.85,200.1175,110.13625,0.0,107.0,8
Usuwanie (Delete),2,8,166.32999999999998,199.1909090909091,309.92545454545456,168.69363636363636,0.0,193.0,11
Usuwanie (Delete),4,1,59.26857142857143,40.691428571428574,61.605714285714285,29.004285714285714,0.0,0.0,7
Usuwanie (Delete),4,2,80.32142857142857,61.91285714285714,147.35714285714286,55.69714285714286,0.0,0.0,7
Usuwanie (Delete),4,4,146.53875,102.2875,238.74875,106.96375,0.0,95.0,8
Usuwanie (Delete),4,8,154.04090909090908,182.15454545454543,386.6863636363637,176.38545454545454,0.0,193.0,11
Zapis (Insert),1,1,56.11,37.94714285714286,108.0085714285714,52.60428571428572,0.0,0.0,7
Zapis (Insert),1,2,86.65142857142857,48.38857142857143,118.17142857142856,76.29857142857144,0.0,43.8,7
Zapis (Insert),1,4,96.61727272727272,75.13454545454546,177.8881818181818,124.1181818181818,0.0,79.0,11
Zapis (Insert),1,8,98.91722222222222,127.27777777777776,277.3988888888889,213.5,0.0,124.0,18
Zapis (Insert),2,1,61.277142857142856,52.95857142857143,76.69285714285715,26.79,0.0,0.0,7
Zapis (Insert),2,2,83.59142857142857,62.31428571428571,117.57428571428572,44.00071428571429,0.0,0.0,7
Zapis (Insert),2,4,123.04,89.6375,254.55625,97.39125,0.0,119.0,8
Zapis (Insert),2,8,159.0209090909091,143.77272727272728,414.4745454545455,192.9090909090909,0.0,137.0,11
Zapis (Insert),4,1,54.88142857142857,37.80285714285714,81.47,26.018571428571427,0.0,0.0,7
Zapis (Insert),4,2,83.20285714285714,47.66285714285714,140.6357142857143,50.05428571428571,0.0,0.0,7
Zapis (Insert),4,4,131.72125,75.51625,234.13,97.57375,0.0,119.0,8
Zapis (Insert),4,8,156.67727272727274,126.51818181818182,434.93545454545455,189.5818181818182,0.00390625,0.0,11
