Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,1792.8376,0.557775,0.53229547,0.85672027,1.0278593
Aktualizacja (Update),1,2,3124.9023,0.6388849,0.6104075,0.9144465,1.1031423
Aktualizacja (Update),1,4,4328.2563,0.92188966,0.737049,1.143783,2.1116693
Aktualizacja (Update),1,8,5655.1304,1.4135656,1.0311744,1.6314254,22.986847
Aktualizacja (Update),2,1,1866.1605,0.5358596,0.51216555,0.8312457,0.98224497
Aktualizacja (Update),2,2,3188.6702,0.6260267,0.602056,0.9092012,1.0847081
Aktualizacja (Update),2,4,5475.528,0.72791195,0.7023035,1.0610634,1.274464
Aktualizacja (Update),2,8,7687.573,1.0397948,0.990945,1.47489,1.7988222
Aktualizacja (Update),4,1,1860.2279,0.5375685,0.5170475,0.8099715,0.95698535
Aktualizacja (Update),4,2,3187.8457,0.62533474,0.604306,0.89403135,1.0439638
Aktualizacja (Update),4,4,5466.864,0.730501,0.70453095,1.0607691,1.2723033
Aktualizacja (Update),4,8,7720.4487,1.0353103,1.0018145,1.4992626,1.8201271
Odczyt (Read),1,1,3316.9402,0.3014827,0.25823998,0.50858504,0.6356082
Odczyt (Read),1,2,5847.964,0.34142634,0.3105925,0.53844225,0.66126907
Odczyt (Read),1,4,8520.292,0.46661052,0.441476,0.7556013,0.92258835
Odczyt (Read),1,8,10256.253,0.7772425,0.65105546,1.1952034,1.7069917
Odczyt (Read),2,1,3334.342,0.29990923,0.255433,0.5132298,0.64179826
Odczyt (Read),2,2,5765.745,0.3461782,0.316869,0.54716235,0.66912305
Odczyt (Read),2,4,8606.823,0.46317,0.43962198,0.7479092,0.9145379
Odczyt (Read),2,8,11551.018,0.6901028,0.63302445,1.126244,1.418802
Odczyt (Read),4,1,3281.9827,0.30469388,0.259437,0.5201242,0.6455291
Odczyt (Read),4,2,5772.292,0.3450867,0.314592,0.5406173,0.66377014
Odczyt (Read),4,4,8645.915,0.4599696,0.437288,0.7439741,0.9099885
Odczyt (Read),4,8,11557.717,0.69004095,0.633256,1.125148,1.4212571
Usuwanie (Delete),1,1,2298.632,0.43504134,0.398849,0.70363915,0.84340847
Usuwanie (Delete),1,2,3982.9856,0.49975398,0.478585,0.7612731,0.90651834
Usuwanie (Delete),1,4,5902.208,0.6747358,0.5795945,0.9746852,1.2978206
Usuwanie (Delete),1,8,7943.0728,1.0053695,0.85113454,1.407368,11.066529
Usuwanie (Delete),2,1,2287.1233,0.43723047,0.40764552,0.7018468,0.8404477
Usuwanie (Delete),2,2,3941.754,0.5040576,0.482969,0.77197045,0.9165402
Usuwanie (Delete),2,4,6796.7266,0.58529943,0.5580815,0.92476326,1.127228
Usuwanie (Delete),2,8,9335.9375,0.8559307,0.838966,1.356152,1.624832
Usuwanie (Delete),4,1,2241.9797,0.44603434,0.41555798,0.71856374,0.8585819
Usuwanie (Delete),4,2,3920.1868,0.5097412,0.4887535,0.77500945,0.91883713
Usuwanie (Delete),4,4,6810.76,0.5856274,0.558439,0.9229411,1.1255933
Usuwanie (Delete),4,8,9351.197,0.8537548,0.83398503,1.356494,1.6319973
Zapis (Insert),1,1,1860.6155,0.5374566,0.513471,0.8193892,0.99123436
Zapis (Insert),1,2,3140.7815,0.6366877,0.607038,0.91873723,1.1398454
Zapis (Insert),1,4,4255.844,0.937993,0.748809,1.1663712,8.8809185
Zapis (Insert),1,8,5609.691,1.4254575,1.048397,1.6844594,22.676973
Zapis (Insert),2,1,1830.1499,0.54640335,0.5214585,0.85061973,1.0102891
Zapis (Insert),2,2,3202.1665,0.6239716,0.6000345,0.90543944,1.0631021
Zapis (Insert),2,4,5379.3223,0.74160314,0.7132345,1.0870221,1.3341463
Zapis (Insert),2,8,7606.251,1.050905,1.0109506,1.5173193,1.8650311
Zapis (Insert),4,1,1859.1721,0.5378738,0.51540303,0.81783175,0.9775015
Zapis (Insert),4,2,3211.5208,0.6219038,0.599674,0.89333624,1.048033
Zapis (Insert),4,4,5435.195,0.7351886,0.7085855,1.067731,1.2960718
Zapis (Insert),4,8,7605.0103,1.0511705,1.0126135,1.5156685,1.8345323
