Operacja,CPU Limit,Procesy Klienckie,Przepustowosc [ops/s],Srednia [ms],Mediana (p50) [ms],Percentyl 95 (p95) [ms],Percentyl 99 (p99) [ms]
Aktualizacja (Update),1,1,2286.6953,0.4373123,0.4023785,0.71001905,0.8568831
Aktualizacja (Update),1,2,4111.602,0.4861186,0.464765,0.7291431,0.86501
Aktualizacja (Update),1,4,6449.146,0.6191251,0.550864,0.893525,1.1693951
Aktualizacja (Update),1,8,8575.253,0.93100965,0.708333,1.208999,1.9764931
Aktualizacja (Update),2,1,2305.491,0.43374708,0.3995875,0.698919,0.84251
Aktualizacja (Update),2,2,4148.1753,0.48205876,0.46106,0.724123,0.8579711
Aktualizacja (Update),2,4,7454.6914,0.534297,0.513271,0.820626,0.9893231
Aktualizacja (Update),2,8,11293.768,0.7069379,0.67635,1.121857,1.370459
Aktualizacja (Update),4,1,1995.3915,0.5011548,0.47994548,0.79455215,0.933059
Aktualizacja (Update),4,2,3364.8762,0.5940551,0.58226,0.840677,0.970111
Aktualizacja (Update),4,4,7300.859,0.54623425,0.525207,0.83504,1.004641
Aktualizacja (Update),4,8,11174.535,0.71430576,0.685631,1.137703,1.385327
Odczyt (Read),1,1,3310.6602,0.30205455,0.25794,0.5252302,0.6654622
Odczyt (Read),1,2,6127.772,0.32617342,0.3023695,0.51195407,0.62933606
Odczyt (Read),1,4,9087.495,0.43890786,0.405641,0.679327,0.817821
Odczyt (Read),1,8,12207.338,0.6536369,0.554397,0.9589551,1.324569
Odczyt (Read),2,1,3441.0554,0.2906085,0.246161,0.49967214,0.6459021
Odczyt (Read),2,2,6211.6924,0.32150918,0.297536,0.50224,0.615894
Odczyt (Read),2,4,9732.875,0.41003862,0.385346,0.652634,0.782725
Odczyt (Read),2,8,13839.352,0.57734096,0.541379,0.913723,1.146271
Odczyt (Read),4,1,2951.0554,0.33886182,0.3134965,0.5681791,0.69332206
Odczyt (Read),4,2,5701.1934,0.34995648,0.330321,0.550033,0.66756505
Odczyt (Read),4,4,9706.353,0.41148663,0.386111,0.655387,0.785067
Odczyt (Read),4,8,13771.484,0.5785499,0.542569,0.915277,1.150227
Usuwanie (Delete),1,1,2322.2595,0.4306151,0.395152,0.70094,0.84774905
Usuwanie (Delete),1,2,4123.523,0.4835497,0.46252602,0.72924304,0.865699
Usuwanie (Delete),1,4,6628.777,0.60086364,0.5249715,0.8621961,1.125677
Usuwanie (Delete),1,8,8872.84,0.89992493,0.709681,1.207497,1.8228014
Usuwanie (Delete),2,1,2273.1416,0.4399198,0.4088845,0.7155724,0.86085504
Usuwanie (Delete),2,2,4208.9717,0.47514883,0.4544405,0.714951,0.847437
Usuwanie (Delete),2,4,7478.3667,0.532684,0.5114695,0.82031,0.99199104
Usuwanie (Delete),2,8,11186.422,0.71334016,0.68418,1.140886,1.403134
Usuwanie (Delete),4,1,2004.0736,0.49898368,0.477562,0.790164,0.92841303
Usuwanie (Delete),4,2,3596.374,0.5559178,0.54046,0.820922,0.954464
Usuwanie (Delete),4,4,7416.8965,0.5382209,0.516618,0.8281261,1.000107
Usuwanie (Delete),4,8,11156.329,0.71552473,0.689786,1.139812,1.377759
Zapis (Insert),1,1,2185.9043,0.4574766,0.4257305,0.751482,0.9017682
Zapis (Insert),1,2,4074.619,0.48990995,0.467922,0.7384881,0.877387
Zapis (Insert),1,4,6639.519,0.6000865,0.526874,0.86338603,1.133606
Zapis (Insert),1,8,8890.358,0.8977654,0.696378,1.188425,1.8809651
Zapis (Insert),2,1,2262.7366,0.44194275,0.4085195,0.71720606,0.8635241
Zapis (Insert),2,2,4120.157,0.4849406,0.464052,0.727594,0.86248
Zapis (Insert),2,4,7470.1797,0.5342236,0.513135,0.82128304,0.99097806
Zapis (Insert),2,8,11370.348,0.7026733,0.674973,1.119179,1.363271
Zapis (Insert),4,1,1972.2145,0.50704426,0.48714697,0.8000581,0.9394101
Zapis (Insert),4,2,3768.35,0.5302277,0.512123,0.79048514,0.92651606
Zapis (Insert),4,4,7168.98,0.554506,0.53264,0.84888905,1.02133
Zapis (Insert),4,8,11316.13,0.7051141,0.677326,1.123808,1.367769
