Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,61.1725,1597.184,87.08250000000001,79.6775,0.0,40.95999999999913,4
Aktualizacja (Update),1,2,72.8475,1599.232,143.57,120.7,0.0,0.0,4
Aktualizacja (Update),1,4,77.31166666666667,1600.1706666666666,237.66666666666663,192.35,0.0,0.0,6
Aktualizacja (Update),1,8,96.5525,1601.024,211.44875,323.5,0.0,266.2399999999998,8
Aktualizacja (Update),2,1,49.1975,1582.08,158.5925,62.5625,0.0,0.0,4
Aktualizacja (Update),2,2,82.745,1584.128,80.595,84.8225,0.0,163.84000000000017,4
Aktualizacja (Update),2,4,106.134,1584.128,256.358,185.36,0.0,0.0,5
Aktualizacja (Update),2,8,117.07666666666668,1584.2986666666666,367.8533333333333,340.53333333333336,0.0,276.4799999999996,6
Aktualizacja (Update),4,1,61.8,1566.72,39.84,99.20333333333332,0.0,51.20000000000073,3
Aktualizacja (Update),4,2,77.645,1569.792,113.2875,126.3425,0.0,0.0,4
Aktualizacja (Update),4,4,104.294,1569.9968,233.83,221.2,0.0,0.0,5
Aktualizacja (Update),4,8,120.715,1569.109333333333,332.285,363.35,0.0,276.4799999999996,6
Odczyt (Read),1,1,44.93,1596.928,168.82999999999998,79.38499999999999,0.0,0.0,2
Odczyt (Read),1,2,53.406666666666666,1597.7813333333334,260.46666666666664,120.56666666666666,0.0,0.0,3
Odczyt (Read),1,4,90.66,1599.488,171.86666666666667,146.85333333333332,0.0,0.0,3
Odczyt (Read),1,8,69.166,1599.488,464.402,332.86,0.0,0.0,5
Odczyt (Read),2,1,42.67,1581.056,53.77,50.505,0.0,40.95999999999913,2
Odczyt (Read),2,2,84.805,1583.104,84.515,104.15,0.0,0.0,2
Odczyt (Read),2,4,88.77333333333333,1583.445333333333,231.45333333333332,130.35666666666663,0.0,0.0,3
Odczyt (Read),2,8,86.50399999999999,1583.104,548.356,339.9,0.1999999999999993,0.0,5
Odczyt (Read),4,1,49.095,1565.696,165.82500000000002,90.615,0.0,0.0,2
Odczyt (Read),4,2,83.995,1568.768,81.69,140.35,0.0,0.0,2
Odczyt (Read),4,4,79.64333333333333,1569.109333333333,295.39666666666665,221.7,0.0,0.0,3
Odczyt (Read),4,8,98.6225,1567.744,368.305,374.2,0.0,0.0,4
Usuwanie (Delete),1,1,50.79333333333333,1598.1226666666669,112.77333333333333,77.03,0.0,0.0,3
Usuwanie (Delete),1,2,83.39666666666666,1599.488,70.85666666666667,92.65666666666668,0.0,153.60000000000036,3
Usuwanie (Delete),1,4,92.8425,1600.512,112.1225,160.4275,0.0,0.0,4
Usuwanie (Delete),1,8,86.04333333333334,1601.536,305.795,330.93333333333334,0.0,0.0,6
Usuwanie (Delete),2,1,49.75333333333333,1581.7386666666669,137.53,76.36666666666666,0.0,0.0,3
Usuwanie (Delete),2,2,54.035,1583.8719999999998,271.585,120.0,0.0,0.0,4
Usuwanie (Delete),2,4,83.175,1584.128,304.95,168.775,0.0,0.0,4
Usuwanie (Delete),2,8,102.558,1585.152,332.492,319.64,0.0,0.0,5
Usuwanie (Delete),4,1,50.61666666666667,1567.744,137.82666666666668,111.75333333333332,0.0,0.0,3
Usuwanie (Delete),4,2,78.19,1569.792,154.59,139.76666666666668,0.0,0.0,3
Usuwanie (Delete),4,4,80.2175,1570.048,266.95,209.0,0.0,0.0,4
Usuwanie (Delete),4,8,106.644,1570.2016,291.256,317.36600000000004,0.0,0.0,5
Zapis (Insert),1,1,51.7975,1594.112,159.725,79.6325,0.0,0.0,4
Zapis (Insert),1,2,78.4925,1598.464,136.2975,100.4225,0.0,0.0,4
Zapis (Insert),1,4,100.612,1599.2832,109.852,194.16,0.0,30.720000000001164,5
Zapis (Insert),1,8,85.85444444444445,1598.3502222222223,359.3411111111111,357.5777777777778,0.0,276.4799999999996,9
Zapis (Insert),2,1,45.13,1577.728,163.42000000000002,63.0875,0.0,0.0,4
Zapis (Insert),2,2,73.96000000000001,1582.848,141.19,103.825,0.0,0.0,4
Zapis (Insert),2,4,121.8075,1583.104,139.24,186.1,0.0,30.720000000001164,4
Zapis (Insert),2,8,116.09166666666664,1581.9093333333333,333.3283333333333,348.2166666666667,0.0,276.4799999999996,6
Zapis (Insert),4,1,56.182500000000005,1564.416,147.015,97.54,0.0,0.0,4
Zapis (Insert),4,2,72.51,1567.744,140.95,140.15,0.0,0.0,4
Zapis (Insert),4,4,100.068,1568.5632,289.214,221.56,0.0,266.2399999999998,5
Zapis (Insert),4,8,116.77833333333332,1567.061333333333,323.62333333333333,384.4333333333333,0.0,276.4799999999996,6
