Operacja,CPU Limit,Procesy Klienckie,CPU Baza [%],RAM Baza [MiB],CPU Klient [%],RAM Klient [MiB],Odczyt Baza [MiB],Zapis Baza [MiB],Liczba probek
Aktualizacja (Update),1,1,56.76499999999999,42.12458333333333,41.677083333333336,26.339166666666667,0.0,12.299999999999995,24
Aktualizacja (Update),1,2,77.63814814814815,61.84222222222223,89.98,50.91740740740741,0.0,34.0,27
Aktualizacja (Update),1,4,96.20277777777778,101.33472222222224,172.26361111111112,97.95305555555557,0.0,64.0,36
Aktualizacja (Update),1,8,96.97063829787234,180.3404255319149,208.6068085106383,192.19574468085108,0.0,121.0,47
Aktualizacja (Update),2,1,57.88,49.63782608695652,47.20260869565218,27.631304347826084,0.0,13.199999999999989,23
Aktualizacja (Update),2,2,79.3052,69.2696,82.45479999999999,51.2328,0.0,35.0,25
Aktualizacja (Update),2,4,107.53892857142856,109.225,154.3742857142857,99.10428571428572,0.0,63.0,28
Aktualizacja (Update),2,8,120.57222222222224,187.2,229.32444444444445,191.12138888888887,0.0,94.0,36
Aktualizacja (Update),4,1,56.07347826086957,78.01130434782608,47.16652173913043,66.88739130434783,0.0,16.700000000000003,23
Aktualizacja (Update),4,2,78.17,98.00269230769231,76.58807692307693,90.31,0.0,35.0,26
Aktualizacja (Update),4,4,107.79655172413791,142.10344827586206,153.15206896551723,138.54827586206898,4.099999999999994,62.0,29
Aktualizacja (Update),4,8,119.40513513513513,219.22702702702705,249.6297297297297,228.73243243243243,0.0,92.0,37
Odczyt (Read),1,1,47.038125,41.14375,69.520625,26.52,0.0,1.2000000000000028,16
Odczyt (Read),1,2,76.94294117647058,61.04882352941176,99.04,48.90588235294118,0.0,9.0,17
Odczyt (Read),1,4,97.12592592592593,100.17296296296296,181.25074074074075,96.40851851851852,0.0,4.0,27
Odczyt (Read),1,8,95.27135135135136,177.48108108108107,272.3848648648649,191.23783783783784,0.0,38.0,37
Odczyt (Read),2,1,48.894,49.553333333333335,62.67333333333333,27.64,0.0,5.400000000000006,15
Odczyt (Read),2,2,78.08882352941177,68.39588235294117,99.1435294117647,50.95117647058823,0.0,2.0,17
Odczyt (Read),2,4,95.50571428571428,107.53333333333332,186.4219047619048,98.51809523809524,0.0,4.0,21
Odczyt (Read),2,8,103.49566666666666,184.16333333333333,287.5293333333333,192.74666666666664,0.0,30.0,30
Odczyt (Read),4,1,49.452666666666666,77.57866666666668,54.400666666666666,66.57533333333333,0.0,9.399999999999991,15
Odczyt (Read),4,2,76.57705882352941,97.46529411764703,102.23941176470588,90.7370588235294,0.0,8.0,17
Odczyt (Read),4,4,98.64619047619048,138.1142857142857,153.71952380952382,138.4904761904762,0.0,4.0,21
Odczyt (Read),4,8,106.13466666666666,216.58,264.4483333333333,225.87266666666667,0.0,3.0,30
Usuwanie (Delete),1,1,56.16041666666666,42.004583333333336,47.494166666666665,26.92875,0.0,11.299999999999995,24
Usuwanie (Delete),1,2,80.30760000000001,62.7516,78.58319999999999,48.27832,0.0,13.0,25
Usuwanie (Delete),1,4,95.40424242424244,103.22424242424243,175.07393939393938,100.8518181818182,0.0,29.0,33
Usuwanie (Delete),1,8,98.35066666666664,184.20444444444445,185.95822222222225,189.628,0.0,68.0,45
Usuwanie (Delete),2,1,57.846363636363634,49.85227272727273,46.55090909090909,26.424954545454547,0.0,8.400000000000006,22
Usuwanie (Delete),2,2,78.9932,70.184,99.4756,53.5236,0.0,13.0,25
Usuwanie (Delete),2,4,108.81407407407409,110.5851851851852,137.52592592592592,100.61592592592594,0.0,28.0,27
Usuwanie (Delete),2,8,118.51083333333334,190.79166666666663,234.58166666666668,190.7811111111111,0.0,91.0,36
Usuwanie (Delete),4,1,58.69863636363636,78.45454545454545,35.965,66.95818181818181,0.0,8.0,22
Usuwanie (Delete),4,2,80.372,98.9744,79.676,90.7028,0.0,10.0,25
Usuwanie (Delete),4,4,105.8125,144.9,153.11535714285716,139.73928571428573,0.0,28.0,28
Usuwanie (Delete),4,8,119.07135135135135,222.5108108108108,239.1283783783784,226.83486486486484,0.0,91.0,37
Zapis (Insert),1,1,56.59434782608696,38.138260869565215,37.75173913043478,26.49043478260869,0.0,19.40000000000001,23
Zapis (Insert),1,2,77.18296296296296,47.345925925925926,82.50703703703704,50.160740740740735,0.0,32.0,27
Zapis (Insert),1,4,95.36911764705884,73.17117647058824,142.8291176470588,96.40558823529412,0.0,74.0,34
Zapis (Insert),1,8,97.27923076923078,123.725,221.92384615384617,189.9923076923077,0.0,114.0,52
Zapis (Insert),2,1,55.96608695652174,46.06652173913044,48.26434782608696,27.309565217391302,0.0,26.1,23
Zapis (Insert),2,2,77.5323076923077,55.55615384615385,94.52576923076924,51.32,0.0,41.0,26
Zapis (Insert),2,4,108.01321428571428,81.57571428571428,148.3117857142857,98.43,0.0999999999999996,73.0,28
Zapis (Insert),2,8,120.51055555555556,131.05,246.2088888888889,190.7611111111111,0.0,125.0,36
Zapis (Insert),4,1,56.34652173913044,74.25434782608696,47.506086956521735,66.60608695652174,0.0,13.600000000000009,23
Zapis (Insert),4,2,78.32192307692307,84.13076923076923,82.24153846153847,90.3803846153846,0.0,31.0,26
Zapis (Insert),4,4,106.0810344827586,109.8106896551724,150.13620689655173,138.77586206896552,1.7999999999999972,77.0,29
Zapis (Insert),4,8,120.70222222222222,164.14722222222224,245.46,229.18055555555557,0.0,152.0,36
